t_s,Bx_uT,By_uT,Bz_uT
6.581187248229980469e-02,-5.759899999999999665e+01,-2.114999999999999858e+01,-1.815000000000000000e+02
1.315238475799560547e-01,-5.759899999999999665e+01,-2.129899999999999949e+01,-1.831939999999999884e+02
2.020866870880126953e-01,-5.789999999999999858e+01,-2.039999999999999858e+01,-1.817419999999999902e+02
2.679150104522705078e-01,-5.729999999999999716e+01,-2.025000000000000000e+01,-1.817419999999999902e+02
3.338108062744140625e-01,-5.714999999999999858e+01,-2.129899999999999949e+01,-1.819840000000000089e+02
3.997697830200195312e-01,-5.745000000000000284e+01,-2.144999999999999929e+01,-1.822259999999999991e+02
4.658119678497314453e-01,-5.759899999999999665e+01,-2.100000000000000000e+01,-1.824679999999999893e+02
5.363309383392333984e-01,-5.729999999999999716e+01,-2.100000000000000000e+01,-1.831939999999999884e+02
6.023588180541992188e-01,-5.714999999999999858e+01,-2.100000000000000000e+01,-1.822259999999999991e+02
6.681408882141113281e-01,-5.729999999999999716e+01,-2.144999999999999929e+01,-1.831939999999999884e+02
7.340826988220214844e-01,-5.745000000000000284e+01,-2.085000000000000142e+01,-1.829509999999999934e+02
8.044810295104980469e-01,-5.789999999999999858e+01,-2.054899999999999949e+01,-1.817419999999999902e+02
8.704288005828857422e-01,-5.775000000000000000e+01,-2.085000000000000142e+01,-1.805310000000000059e+02
9.360818862915039062e-01,-5.745000000000000284e+01,-2.054899999999999949e+01,-1.822259999999999991e+02
1.002226829528808594e+00,-5.670000000000000284e+01,-2.114999999999999858e+01,-1.822259999999999991e+02
1.067941665649414062e+00,-5.745000000000000284e+01,-2.144999999999999929e+01,-1.815000000000000000e+02
1.138778686523437500e+00,-5.759899999999999665e+01,-2.129899999999999949e+01,-1.827090000000000032e+02
1.204674005508422852e+00,-5.625000000000000000e+01,-2.085000000000000142e+01,-1.822259999999999991e+02
1.270552635192871094e+00,-5.775000000000000000e+01,-2.114999999999999858e+01,-1.817419999999999902e+02
1.336388826370239258e+00,-5.729999999999999716e+01,-2.114999999999999858e+01,-1.819840000000000089e+02
1.402317047119140625e+00,-5.729999999999999716e+01,-2.100000000000000000e+01,-1.815000000000000000e+02
1.472905874252319336e+00,-5.745000000000000284e+01,-2.114999999999999858e+01,-1.822259999999999991e+02
1.538836956024169922e+00,-5.729999999999999716e+01,-2.144999999999999929e+01,-1.827090000000000032e+02
1.604913711547851562e+00,-5.700000000000000000e+01,-2.085000000000000142e+01,-1.815000000000000000e+02
1.670670747756958008e+00,-5.745000000000000284e+01,-2.100000000000000000e+01,-1.824679999999999893e+02
1.741049766540527344e+00,-5.759899999999999665e+01,-2.010000000000000142e+01,-1.824679999999999893e+02
1.806971788406372070e+00,-5.759899999999999665e+01,-2.114999999999999858e+01,-1.827090000000000032e+02
1.872757911682128906e+00,-5.714999999999999858e+01,-2.114999999999999858e+01,-1.812580000000000098e+02
1.938822746276855469e+00,-5.729999999999999716e+01,-1.994999999999999929e+01,-1.812580000000000098e+02
2.004576921463012695e+00,-5.789999999999999858e+01,-2.175000000000000000e+01,-1.815000000000000000e+02
2.075381994247436523e+00,-5.745000000000000284e+01,-2.069999999999999929e+01,-1.815000000000000000e+02
2.141187667846679688e+00,-5.670000000000000284e+01,-2.129899999999999949e+01,-1.817419999999999902e+02
2.207119703292846680e+00,-5.609899999999999665e+01,-2.114999999999999858e+01,-1.817419999999999902e+02
2.273047685623168945e+00,-5.729999999999999716e+01,-2.114999999999999858e+01,-1.812580000000000098e+02
2.338852643966674805e+00,-5.684899999999999665e+01,-1.994999999999999929e+01,-1.812580000000000098e+02
2.409536838531494141e+00,-5.609899999999999665e+01,-2.144999999999999929e+01,-1.815000000000000000e+02
2.475474834442138672e+00,-5.670000000000000284e+01,-2.175000000000000000e+01,-1.819840000000000089e+02
2.541272640228271484e+00,-5.684899999999999665e+01,-2.085000000000000142e+01,-1.819840000000000089e+02
2.607262849807739258e+00,-5.639999999999999858e+01,-2.069999999999999929e+01,-1.815000000000000000e+02
2.677855968475341797e+00,-5.654999999999999716e+01,-2.054899999999999949e+01,-1.824679999999999893e+02
2.743554592132568359e+00,-5.595000000000000284e+01,-2.085000000000000142e+01,-1.824679999999999893e+02
2.809445858001708984e+00,-5.564999999999999858e+01,-2.160000000000000142e+01,-1.824679999999999893e+02
2.875407695770263672e+00,-5.564999999999999858e+01,-2.114999999999999858e+01,-1.822259999999999991e+02
2.941152811050415039e+00,-5.625000000000000000e+01,-2.144999999999999929e+01,-1.817419999999999902e+02
3.011893987655639648e+00,-5.609899999999999665e+01,-2.129899999999999949e+01,-1.819840000000000089e+02
3.077788829803466797e+00,-5.550000000000000000e+01,-2.114999999999999858e+01,-1.819840000000000089e+02
3.143737792968750000e+00,-5.564999999999999858e+01,-2.085000000000000142e+01,-1.824679999999999893e+02
3.209822893142700195e+00,-5.489999999999999858e+01,-2.175000000000000000e+01,-1.822259999999999991e+02
3.275584936141967773e+00,-5.534899999999999665e+01,-2.160000000000000142e+01,-1.815000000000000000e+02
3.346217870712280273e+00,-5.564999999999999858e+01,-2.085000000000000142e+01,-1.815000000000000000e+02
3.412092924118041992e+00,-5.564999999999999858e+01,-2.144999999999999929e+01,-1.824679999999999893e+02
3.478130817413330078e+00,-5.475000000000000000e+01,-2.085000000000000142e+01,-1.815000000000000000e+02
3.543979883193969727e+00,-5.609899999999999665e+01,-2.160000000000000142e+01,-1.819840000000000089e+02
3.614432811737060547e+00,-5.414999999999999858e+01,-2.160000000000000142e+01,-1.824679999999999893e+02
3.680224895477294922e+00,-5.475000000000000000e+01,-2.054899999999999949e+01,-1.812580000000000098e+02
3.746040821075439453e+00,-5.475000000000000000e+01,-2.100000000000000000e+01,-1.812580000000000098e+02
3.812134742736816406e+00,-5.459899999999999665e+01,-2.175000000000000000e+01,-1.829509999999999934e+02
3.877916812896728516e+00,-5.459899999999999665e+01,-2.069999999999999929e+01,-1.817419999999999902e+02
3.948733806610107422e+00,-5.445000000000000284e+01,-2.085000000000000142e+01,-1.831939999999999884e+02
4.014552831649780273e+00,-5.445000000000000284e+01,-2.129899999999999949e+01,-1.822259999999999991e+02
4.080453872680664062e+00,-5.445000000000000284e+01,-2.025000000000000000e+01,-1.824679999999999893e+02
4.146385908126831055e+00,-5.429999999999999716e+01,-2.069999999999999929e+01,-1.817419999999999902e+02
4.212295770645141602e+00,-5.475000000000000000e+01,-2.025000000000000000e+01,-1.824679999999999893e+02
4.282850027084350586e+00,-5.370000000000000284e+01,-2.085000000000000142e+01,-1.822259999999999991e+02
4.348957777023315430e+00,-5.339999999999999858e+01,-2.144999999999999929e+01,-1.827090000000000032e+02
4.414744615554809570e+00,-5.400000000000000000e+01,-2.085000000000000142e+01,-1.829509999999999934e+02
4.480498790740966797e+00,-5.370000000000000284e+01,-2.039999999999999858e+01,-1.819840000000000089e+02
4.550992727279663086e+00,-5.384899999999999665e+01,-2.054899999999999949e+01,-1.834360000000000070e+02
4.616807937622070312e+00,-5.279999999999999716e+01,-2.039999999999999858e+01,-1.824679999999999893e+02
4.682851791381835938e+00,-5.339999999999999858e+01,-2.054899999999999949e+01,-1.834360000000000070e+02
4.748819828033447266e+00,-5.264999999999999858e+01,-2.054899999999999949e+01,-1.815000000000000000e+02
4.814499616622924805e+00,-5.400000000000000000e+01,-2.039999999999999858e+01,-1.815000000000000000e+02
4.885208606719970703e+00,-5.384899999999999665e+01,-2.069999999999999929e+01,-1.824679999999999893e+02
4.951141834259033203e+00,-5.295000000000000284e+01,-2.085000000000000142e+01,-1.815000000000000000e+02
5.017035007476806641e+00,-5.309899999999999665e+01,-2.100000000000000000e+01,-1.822259999999999991e+02
5.082975864410400391e+00,-5.279999999999999716e+01,-2.085000000000000142e+01,-1.824679999999999893e+02
5.148837804794311523e+00,-5.309899999999999665e+01,-2.085000000000000142e+01,-1.831939999999999884e+02
5.219417810440063477e+00,-5.220000000000000284e+01,-1.994999999999999929e+01,-1.819840000000000089e+02
5.285393714904785156e+00,-5.129999999999999716e+01,-2.069999999999999929e+01,-1.819840000000000089e+02
5.351380825042724609e+00,-5.309899999999999665e+01,-2.054899999999999949e+01,-1.829509999999999934e+02
5.417249917984008789e+00,-5.204999999999999716e+01,-2.085000000000000142e+01,-1.827090000000000032e+02
5.487650632858276367e+00,-5.234899999999999665e+01,-2.114999999999999858e+01,-1.817419999999999902e+02
5.553480863571166992e+00,-5.189999999999999858e+01,-2.039999999999999858e+01,-1.829509999999999934e+02
5.619150638580322266e+00,-5.175000000000000000e+01,-2.039999999999999858e+01,-1.827090000000000032e+02
5.685236930847167969e+00,-5.159899999999999665e+01,-2.085000000000000142e+01,-1.819840000000000089e+02
5.751070976257324219e+00,-5.100000000000000000e+01,-2.025000000000000000e+01,-1.819840000000000089e+02
5.821863889694213867e+00,-5.129999999999999716e+01,-2.069999999999999929e+01,-1.815000000000000000e+02
5.887623786926269531e+00,-5.204999999999999716e+01,-2.100000000000000000e+01,-1.829509999999999934e+02
5.953502893447875977e+00,-5.129999999999999716e+01,-2.114999999999999858e+01,-1.822259999999999991e+02
6.019420862197875977e+00,-5.054999999999999716e+01,-2.085000000000000142e+01,-1.817419999999999902e+02
6.085223913192749023e+00,-5.114999999999999858e+01,-2.054899999999999949e+01,-1.827090000000000032e+02
6.155999898910522461e+00,-5.039999999999999858e+01,-1.994999999999999929e+01,-1.815000000000000000e+02
6.221883773803710938e+00,-5.114999999999999858e+01,-2.025000000000000000e+01,-1.836769999999999925e+02
6.287979841232299805e+00,-5.054999999999999716e+01,-2.114999999999999858e+01,-1.834360000000000070e+02
6.353723764419555664e+00,-5.009899999999999665e+01,-1.994999999999999929e+01,-1.831939999999999884e+02
6.424148797988891602e+00,-4.920000000000000284e+01,-2.054899999999999949e+01,-1.824679999999999893e+02
6.489979743957519531e+00,-5.039999999999999858e+01,-2.039999999999999858e+01,-1.836769999999999925e+02
6.555619716644287109e+00,-5.009899999999999665e+01,-1.979899999999999949e+01,-1.836769999999999925e+02
6.621799707412719727e+00,-4.920000000000000284e+01,-1.994999999999999929e+01,-1.822259999999999991e+02
6.687540769577026367e+00,-4.934899999999999665e+01,-1.979899999999999949e+01,-1.829509999999999934e+02
6.758270978927612305e+00,-4.920000000000000284e+01,-1.979899999999999949e+01,-1.827090000000000032e+02
6.824169874191284180e+00,-4.995000000000000284e+01,-2.039999999999999858e+01,-1.829509999999999934e+02
6.890058994293212891e+00,-4.920000000000000284e+01,-2.069999999999999929e+01,-1.822259999999999991e+02
6.955986738204956055e+00,-4.964999999999999858e+01,-2.039999999999999858e+01,-1.827090000000000032e+02
7.021762609481811523e+00,-4.889999999999999858e+01,-2.010000000000000142e+01,-1.829509999999999934e+02
