step,timestamp,n,rate_Hz,axis,mean_uT,sigma_uT,sigma_detrend_uT,drift_uT_per_s,p2p_uT
b1,20260518_173113,599,14.95,Bx,-46.4878,9.2330,9.0651,0.15141,30.1510
b1,20260518_173113,599,14.95,By,-19.8844,1.1262,1.1083,0.01724,5.2500
b1,20260518_173113,599,14.95,Bz,-182.6091,0.6824,0.6791,-0.00579,4.3570
b2,20260518_173413,897,14.95,Bx,-71.3602,0.4164,0.4157,-0.00140,2.3990
b2,20260518_173413,897,14.95,By,-23.6926,0.4241,0.4238,-0.00100,2.4000
b2,20260518_173413,897,14.95,Bz,-183.0838,0.5967,0.5967,-0.00010,3.3880
b3,20260518_192748,896,14.92,Bx,281.4348,0.4312,0.4052,-0.00850,2.7010
b3,20260518_192748,896,14.92,By,-1168.8636,0.4907,0.4431,0.01215,3.4490
b3,20260518_192748,896,14.92,Bz,-3466.1300,1.1274,0.7365,0.04922,7.2610
b4,20260518_193050,897,14.95,Bx,-65.1428,2.9424,2.9414,0.00450,10.5000
b4,20260518_193050,897,14.95,By,-36.7742,3.8079,3.8078,0.00126,13.3500
b4,20260518_193050,897,14.95,Bz,-180.0362,1.7719,1.7719,0.00070,9.4380
