t_s,Bx_uT,By_uT,Bz_uT
7.054018974304199219e-02,2.815489999999999782e+02,-1.169099999999999909e+03,-3.467134000000000015e+03
1.364400386810302734e-01,2.816999999999999886e+02,-1.168799999999999955e+03,-3.467376000000000204e+03
2.025473117828369141e-01,2.812500000000000000e+02,-1.169400000000000091e+03,-3.467858999999999924e+03
2.685422897338867188e-01,2.811000000000000227e+02,-1.168799999999999955e+03,-3.467617999999999938e+03
3.345820903778076172e-01,2.821499999999999773e+02,-1.169099999999999909e+03,-3.469070000000000164e+03
4.054913520812988281e-01,2.813999999999999773e+02,-1.168799999999999955e+03,-3.467617999999999938e+03
4.714941978454589844e-01,2.812500000000000000e+02,-1.169250000000000000e+03,-3.468101000000000113e+03
5.374872684478759766e-01,2.815489999999999782e+02,-1.170150000000000091e+03,-3.468585999999999785e+03
6.035232543945312500e-01,2.822989999999999782e+02,-1.168949000000000069e+03,-3.467134000000000015e+03
6.694242954254150391e-01,2.818500000000000227e+02,-1.168049999999999955e+03,-3.467376000000000204e+03
7.404379844665527344e-01,2.809499999999999886e+02,-1.169400000000000091e+03,-3.468342999999999847e+03
8.063061237335205078e-01,2.818500000000000227e+02,-1.169099999999999909e+03,-3.468585999999999785e+03
8.724153041839599609e-01,2.820000000000000000e+02,-1.168650000000000091e+03,-3.467376000000000204e+03
9.384551048278808594e-01,2.813999999999999773e+02,-1.169099999999999909e+03,-3.467617999999999938e+03
1.008835077285766602e+00,2.820000000000000000e+02,-1.169250000000000000e+03,-3.468585999999999785e+03
1.074769258499145508e+00,2.816999999999999886e+02,-1.169699000000000069e+03,-3.468827999999999975e+03
1.140799999237060547e+00,2.815489999999999782e+02,-1.169699000000000069e+03,-3.466648999999999887e+03
1.206832170486450195e+00,2.813999999999999773e+02,-1.168650000000000091e+03,-3.467617999999999938e+03
1.272855043411254883e+00,2.816999999999999886e+02,-1.169400000000000091e+03,-3.467617999999999938e+03
1.343601226806640625e+00,2.827500000000000000e+02,-1.168949000000000069e+03,-3.466407999999999902e+03
1.409587383270263672e+00,2.821499999999999773e+02,-1.170449000000000069e+03,-3.468827999999999975e+03
1.475620269775390625e+00,2.818500000000000227e+02,-1.169250000000000000e+03,-3.467617999999999938e+03
1.541562080383300781e+00,2.815489999999999782e+02,-1.168799999999999955e+03,-3.467858999999999924e+03
1.607432365417480469e+00,2.816999999999999886e+02,-1.169250000000000000e+03,-3.468101000000000113e+03
1.678326129913330078e+00,2.811000000000000227e+02,-1.168650000000000091e+03,-3.465199000000000069e+03
1.744343042373657227e+00,2.812500000000000000e+02,-1.169549999999999955e+03,-3.467134000000000015e+03
1.810422182083129883e+00,2.816999999999999886e+02,-1.168949000000000069e+03,-3.467134000000000015e+03
1.876386165618896484e+00,2.824499999999999886e+02,-1.168650000000000091e+03,-3.466891000000000076e+03
1.946810245513916016e+00,2.813999999999999773e+02,-1.168799999999999955e+03,-3.467858999999999924e+03
2.012657165527343750e+00,2.813999999999999773e+02,-1.168500000000000000e+03,-3.466891000000000076e+03
2.078798055648803711e+00,2.813999999999999773e+02,-1.168049999999999955e+03,-3.467134000000000015e+03
