t_s,Bx_uT,By_uT,Bz_uT
6.552600860595703125e-02,-7.154999999999999716e+01,-2.369999999999999929e+01,-1.831939999999999884e+02
1.314747333526611328e-01,-7.125000000000000000e+01,-2.310000000000000142e+01,-1.829509999999999934e+02
1.974577903747558594e-01,-7.034999999999999432e+01,-2.339999999999999858e+01,-1.834360000000000070e+02
2.634179592132568359e-01,-7.154999999999999716e+01,-2.385000000000000142e+01,-1.827090000000000032e+02
3.341138362884521484e-01,-7.065000000000000568e+01,-2.339999999999999858e+01,-1.839199999999999875e+02
3.999788761138916016e-01,-7.109999999999999432e+01,-2.385000000000000142e+01,-1.817419999999999902e+02
4.658789634704589844e-01,-7.184999999999999432e+01,-2.385000000000000142e+01,-1.827090000000000032e+02
5.317380428314208984e-01,-7.125000000000000000e+01,-2.354899999999999949e+01,-1.824679999999999893e+02
5.976259708404541016e-01,-7.169899999999999807e+01,-2.339999999999999858e+01,-1.844039999999999964e+02
6.685070991516113281e-01,-7.079999999999999716e+01,-2.400000000000000000e+01,-1.836769999999999925e+02
7.344276905059814453e-01,-7.154999999999999716e+01,-2.414999999999999858e+01,-1.834360000000000070e+02
8.004567623138427734e-01,-7.154999999999999716e+01,-2.444999999999999929e+01,-1.824679999999999893e+02
8.664197921752929688e-01,-7.140000000000000568e+01,-2.339999999999999858e+01,-1.836769999999999925e+02
9.367847442626953125e-01,-7.094899999999999807e+01,-2.385000000000000142e+01,-1.834360000000000070e+02
1.002529859542846680e+00,-7.109999999999999432e+01,-2.414999999999999858e+01,-1.827090000000000032e+02
1.068338871002197266e+00,-7.184999999999999432e+01,-2.339999999999999858e+01,-1.834360000000000070e+02
1.134320735931396484e+00,-7.109999999999999432e+01,-2.414999999999999858e+01,-1.822259999999999991e+02
1.200152873992919922e+00,-7.140000000000000568e+01,-2.414999999999999858e+01,-1.822259999999999991e+02
1.270869970321655273e+00,-7.140000000000000568e+01,-2.444999999999999929e+01,-1.819840000000000089e+02
1.336905956268310547e+00,-7.215000000000000568e+01,-2.385000000000000142e+01,-1.824679999999999893e+02
1.402813911437988281e+00,-7.050000000000000000e+01,-2.354899999999999949e+01,-1.834360000000000070e+02
1.468732833862304688e+00,-7.109999999999999432e+01,-2.369999999999999929e+01,-1.819840000000000089e+02
1.534491062164306641e+00,-7.109999999999999432e+01,-2.414999999999999858e+01,-1.827090000000000032e+02
1.605200052261352539e+00,-7.154999999999999716e+01,-2.385000000000000142e+01,-1.824679999999999893e+02
1.671217918395996094e+00,-7.109999999999999432e+01,-2.339999999999999858e+01,-1.839199999999999875e+02
1.737091064453125000e+00,-7.125000000000000000e+01,-2.369999999999999929e+01,-1.836769999999999925e+02
1.802869796752929688e+00,-7.200000000000000000e+01,-2.414999999999999858e+01,-1.841620000000000061e+02
1.873191833496093750e+00,-7.109999999999999432e+01,-2.385000000000000142e+01,-1.831939999999999884e+02
1.939130067825317383e+00,-7.125000000000000000e+01,-2.369999999999999929e+01,-1.827090000000000032e+02
2.004997730255126953e+00,-7.184999999999999432e+01,-2.369999999999999929e+01,-1.834360000000000070e+02
2.070949792861938477e+00,-7.125000000000000000e+01,-2.264999999999999858e+01,-1.844039999999999964e+02
2.136805057525634766e+00,-7.140000000000000568e+01,-2.400000000000000000e+01,-1.839199999999999875e+02
2.207619905471801758e+00,-7.140000000000000568e+01,-2.354899999999999949e+01,-1.834360000000000070e+02
2.273513793945312500e+00,-7.140000000000000568e+01,-2.400000000000000000e+01,-1.831939999999999884e+02
2.339405059814453125e+00,-7.109999999999999432e+01,-2.369999999999999929e+01,-1.834360000000000070e+02
2.405334949493408203e+00,-7.125000000000000000e+01,-2.325000000000000000e+01,-1.831939999999999884e+02
2.471148967742919922e+00,-7.079999999999999716e+01,-2.444999999999999929e+01,-1.831939999999999884e+02
2.541851043701171875e+00,-7.125000000000000000e+01,-2.400000000000000000e+01,-1.836769999999999925e+02
2.607754945755004883e+00,-7.094899999999999807e+01,-2.385000000000000142e+01,-1.829509999999999934e+02
2.673877954483032227e+00,-7.154999999999999716e+01,-2.354899999999999949e+01,-1.829509999999999934e+02
2.739681005477905273e+00,-7.079999999999999716e+01,-2.354899999999999949e+01,-1.831939999999999884e+02
2.810057878494262695e+00,-7.184999999999999432e+01,-2.339999999999999858e+01,-1.829509999999999934e+02
2.875982999801635742e+00,-7.169899999999999807e+01,-2.369999999999999929e+01,-1.827090000000000032e+02
2.941797018051147461e+00,-7.065000000000000568e+01,-2.310000000000000142e+01,-1.824679999999999893e+02
3.007806777954101562e+00,-7.184999999999999432e+01,-2.310000000000000142e+01,-1.824679999999999893e+02
3.073719024658203125e+00,-7.154999999999999716e+01,-2.429899999999999949e+01,-1.831939999999999884e+02
3.144400119781494141e+00,-7.169899999999999807e+01,-2.354899999999999949e+01,-1.836769999999999925e+02
3.210447072982788086e+00,-7.140000000000000568e+01,-2.325000000000000000e+01,-1.824679999999999893e+02
3.276448965072631836e+00,-7.140000000000000568e+01,-2.325000000000000000e+01,-1.836769999999999925e+02
3.342239856719970703e+00,-7.154999999999999716e+01,-2.369999999999999929e+01,-1.829509999999999934e+02
3.408043861389160156e+00,-7.140000000000000568e+01,-2.385000000000000142e+01,-1.829509999999999934e+02
3.478794813156127930e+00,-7.154999999999999716e+01,-2.400000000000000000e+01,-1.839199999999999875e+02
3.544739961624145508e+00,-7.109999999999999432e+01,-2.279899999999999949e+01,-1.839199999999999875e+02
3.610577821731567383e+00,-7.154999999999999716e+01,-2.414999999999999858e+01,-1.839199999999999875e+02
3.676613092422485352e+00,-7.109999999999999432e+01,-2.475000000000000000e+01,-1.836769999999999925e+02
3.746957063674926758e+00,-7.184999999999999432e+01,-2.279899999999999949e+01,-1.831939999999999884e+02
3.812880754470825195e+00,-7.094899999999999807e+01,-2.339999999999999858e+01,-1.836769999999999925e+02
3.878672122955322266e+00,-7.184999999999999432e+01,-2.339999999999999858e+01,-1.844039999999999964e+02
3.944716930389404297e+00,-7.169899999999999807e+01,-2.339999999999999858e+01,-1.827090000000000032e+02
4.010520935058593750e+00,-7.169899999999999807e+01,-2.400000000000000000e+01,-1.822259999999999991e+02
4.081420898437500000e+00,-7.200000000000000000e+01,-2.369999999999999929e+01,-1.817419999999999902e+02
4.147144794464111328e+00,-7.169899999999999807e+01,-2.414999999999999858e+01,-1.819840000000000089e+02
4.213099002838134766e+00,-7.169899999999999807e+01,-2.400000000000000000e+01,-1.836769999999999925e+02
4.278950929641723633e+00,-7.094899999999999807e+01,-2.385000000000000142e+01,-1.834360000000000070e+02
4.344913721084594727e+00,-7.184999999999999432e+01,-2.339999999999999858e+01,-1.831939999999999884e+02
4.415583848953247070e+00,-7.200000000000000000e+01,-2.369999999999999929e+01,-1.824679999999999893e+02
4.481450796127319336e+00,-7.184999999999999432e+01,-2.339999999999999858e+01,-1.829509999999999934e+02
4.547447919845581055e+00,-7.094899999999999807e+01,-2.369999999999999929e+01,-1.831939999999999884e+02
4.613363981246948242e+00,-7.169899999999999807e+01,-2.369999999999999929e+01,-1.839199999999999875e+02
4.683826923370361328e+00,-7.050000000000000000e+01,-2.414999999999999858e+01,-1.848880000000000052e+02
4.749718904495239258e+00,-7.109999999999999432e+01,-2.339999999999999858e+01,-1.834360000000000070e+02
4.815545082092285156e+00,-7.215000000000000568e+01,-2.294999999999999929e+01,-1.829509999999999934e+02
4.881488084793090820e+00,-7.094899999999999807e+01,-2.369999999999999929e+01,-1.824679999999999893e+02
