t_s,Bx_uT,By_uT,Bz_uT
6.577587127685546875e-02,-7.125000000000000000e+01,-4.364999999999999858e+01,-1.742390000000000043e+02
1.317009925842285156e-01,-7.094899999999999807e+01,-4.439999999999999858e+01,-1.749660000000000082e+02
1.975181102752685547e-01,-7.065000000000000568e+01,-4.364999999999999858e+01,-1.749660000000000082e+02
2.681651115417480469e-01,-7.109999999999999432e+01,-4.409899999999999665e+01,-1.749660000000000082e+02
3.341801166534423828e-01,-7.094899999999999807e+01,-4.395000000000000284e+01,-1.766589999999999918e+02
4.000170230865478516e-01,-7.140000000000000568e+01,-4.484899999999999665e+01,-1.747239999999999895e+02
4.661400318145751953e-01,-7.065000000000000568e+01,-4.425000000000000000e+01,-1.761759999999999877e+02
5.364100933074951172e-01,-7.065000000000000568e+01,-4.395000000000000284e+01,-1.749660000000000082e+02
6.022820472717285156e-01,-7.094899999999999807e+01,-4.454999999999999716e+01,-1.756920000000000073e+02
6.681210994720458984e-01,-7.140000000000000568e+01,-4.320000000000000284e+01,-1.769019999999999868e+02
7.341749668121337891e-01,-7.125000000000000000e+01,-4.379999999999999716e+01,-1.752079999999999984e+02
7.998960018157958984e-01,-7.034999999999999432e+01,-4.409899999999999665e+01,-1.756920000000000073e+02
8.706429004669189453e-01,-7.079999999999999716e+01,-4.395000000000000284e+01,-1.761759999999999877e+02
9.365570545196533203e-01,-7.065000000000000568e+01,-4.350000000000000000e+01,-1.764170000000000016e+02
1.002472877502441406e+00,-7.050000000000000000e+01,-4.395000000000000284e+01,-1.766589999999999918e+02
1.068324804306030273e+00,-7.019899999999999807e+01,-4.364999999999999858e+01,-1.764170000000000016e+02
1.134266853332519531e+00,-7.094899999999999807e+01,-4.470000000000000284e+01,-1.756920000000000073e+02
1.204900979995727539e+00,-7.079999999999999716e+01,-4.379999999999999716e+01,-1.764170000000000016e+02
1.270788192749023438e+00,-7.079999999999999716e+01,-4.395000000000000284e+01,-1.754499999999999886e+02
1.336668968200683594e+00,-7.034999999999999432e+01,-4.439999999999999858e+01,-1.764170000000000016e+02
1.402532815933227539e+00,-7.079999999999999716e+01,-4.439999999999999858e+01,-1.759329999999999927e+02
1.473306894302368164e+00,-7.094899999999999807e+01,-4.409899999999999665e+01,-1.764170000000000016e+02
1.538860082626342773e+00,-7.140000000000000568e+01,-4.395000000000000284e+01,-1.771440000000000055e+02
1.604655027389526367e+00,-7.065000000000000568e+01,-4.409899999999999665e+01,-1.769019999999999868e+02
1.670629978179931641e+00,-7.004999999999999716e+01,-4.364999999999999858e+01,-1.776279999999999859e+02
1.736639976501464844e+00,-7.079999999999999716e+01,-4.364999999999999858e+01,-1.778700000000000045e+02
1.807292938232421875e+00,-7.034999999999999432e+01,-4.454999999999999716e+01,-1.778700000000000045e+02
1.873255014419555664e+00,-6.990000000000000568e+01,-4.439999999999999858e+01,-1.773849999999999909e+02
1.939100027084350586e+00,-7.079999999999999716e+01,-4.320000000000000284e+01,-1.776279999999999859e+02
2.005146980285644531e+00,-7.034999999999999432e+01,-4.395000000000000284e+01,-1.766589999999999918e+02
2.070891141891479492e+00,-7.004999999999999716e+01,-4.409899999999999665e+01,-1.790800000000000125e+02
2.141442060470581055e+00,-7.065000000000000568e+01,-4.395000000000000284e+01,-1.771440000000000055e+02
2.207501173019409180e+00,-7.019899999999999807e+01,-4.350000000000000000e+01,-1.778700000000000045e+02
2.273530960083007812e+00,-6.990000000000000568e+01,-4.275000000000000000e+01,-1.769019999999999868e+02
2.339267015457153320e+00,-6.959999999999999432e+01,-4.409899999999999665e+01,-1.785960000000000036e+02
2.409585952758789062e+00,-7.019899999999999807e+01,-4.439999999999999858e+01,-1.778700000000000045e+02
2.475587129592895508e+00,-6.959999999999999432e+01,-4.304999999999999716e+01,-1.781119999999999948e+02
2.541363954544067383e+00,-7.004999999999999716e+01,-4.379999999999999716e+01,-1.788379999999999939e+02
2.607367038726806641e+00,-7.034999999999999432e+01,-4.350000000000000000e+01,-1.785960000000000036e+02
2.673193931579589844e+00,-7.079999999999999716e+01,-4.364999999999999858e+01,-1.785960000000000036e+02
2.743867874145507812e+00,-6.975000000000000000e+01,-4.334899999999999665e+01,-1.788379999999999939e+02
2.809809923171997070e+00,-6.944899999999999807e+01,-4.304999999999999716e+01,-1.798050000000000068e+02
2.875792980194091797e+00,-6.944899999999999807e+01,-4.379999999999999716e+01,-1.790800000000000125e+02
2.941653013229370117e+00,-6.990000000000000568e+01,-4.379999999999999716e+01,-1.790800000000000125e+02
3.007483005523681641e+00,-6.975000000000000000e+01,-4.259899999999999665e+01,-1.788379999999999939e+02
3.078202247619628906e+00,-7.004999999999999716e+01,-4.259899999999999665e+01,-1.795629999999999882e+02
3.144063949584960938e+00,-7.004999999999999716e+01,-4.304999999999999716e+01,-1.785960000000000036e+02
3.210083007812500000e+00,-7.004999999999999716e+01,-4.334899999999999665e+01,-1.793220000000000027e+02
3.276024103164672852e+00,-7.034999999999999432e+01,-4.364999999999999858e+01,-1.810159999999999911e+02
3.346392154693603516e+00,-7.019899999999999807e+01,-4.320000000000000284e+01,-1.798050000000000068e+02
3.412290096282958984e+00,-7.004999999999999716e+01,-4.364999999999999858e+01,-1.788379999999999939e+02
3.478089094161987305e+00,-6.915000000000000568e+01,-4.289999999999999858e+01,-1.795629999999999882e+02
3.544066190719604492e+00,-7.050000000000000000e+01,-4.350000000000000000e+01,-1.785960000000000036e+02
3.609903812408447266e+00,-6.959999999999999432e+01,-4.334899999999999665e+01,-1.807740000000000009e+02
3.680612087249755859e+00,-6.990000000000000568e+01,-4.320000000000000284e+01,-1.805310000000000059e+02
3.746512889862060547e+00,-7.004999999999999716e+01,-4.334899999999999665e+01,-1.790800000000000125e+02
3.812472105026245117e+00,-6.929999999999999716e+01,-4.245000000000000284e+01,-1.802899999999999920e+02
3.878376007080078125e+00,-7.004999999999999716e+01,-4.320000000000000284e+01,-1.798050000000000068e+02
3.944215059280395508e+00,-6.990000000000000568e+01,-4.304999999999999716e+01,-1.795629999999999882e+02
4.014818191528320312e+00,-6.959999999999999432e+01,-4.304999999999999716e+01,-1.800480000000000018e+02
4.080848932266235352e+00,-6.944899999999999807e+01,-4.214999999999999858e+01,-1.795629999999999882e+02
4.146905183792114258e+00,-6.929999999999999716e+01,-4.259899999999999665e+01,-1.802899999999999920e+02
4.212707042694091797e+00,-6.959999999999999432e+01,-4.245000000000000284e+01,-1.785960000000000036e+02
4.283071994781494141e+00,-6.854999999999999716e+01,-4.214999999999999858e+01,-1.807740000000000009e+02
4.348927974700927734e+00,-6.959999999999999432e+01,-4.289999999999999858e+01,-1.807740000000000009e+02
4.414764165878295898e+00,-6.915000000000000568e+01,-4.289999999999999858e+01,-1.802899999999999920e+02
4.480719804763793945e+00,-6.900000000000000000e+01,-4.229999999999999716e+01,-1.800480000000000018e+02
4.546518087387084961e+00,-6.944899999999999807e+01,-4.259899999999999665e+01,-1.807740000000000009e+02
4.617295980453491211e+00,-6.884999999999999432e+01,-4.139999999999999858e+01,-1.802899999999999920e+02
4.683243036270141602e+00,-6.869899999999999807e+01,-4.184899999999999665e+01,-1.810159999999999911e+02
4.749156236648559570e+00,-6.929999999999999716e+01,-4.229999999999999716e+01,-1.812580000000000098e+02
4.815057039260864258e+00,-6.809999999999999432e+01,-4.200000000000000000e+01,-1.812580000000000098e+02
4.880873918533325195e+00,-6.854999999999999716e+01,-4.229999999999999716e+01,-1.807740000000000009e+02
4.951570987701416016e+00,-6.915000000000000568e+01,-4.139999999999999858e+01,-1.802899999999999920e+02
5.017529010772705078e+00,-7.019899999999999807e+01,-4.154999999999999716e+01,-1.805310000000000059e+02
5.083555221557617188e+00,-6.990000000000000568e+01,-4.245000000000000284e+01,-1.810159999999999911e+02
5.149488925933837891e+00,-6.825000000000000000e+01,-4.170000000000000284e+01,-1.805310000000000059e+02
5.220085144042968750e+00,-6.900000000000000000e+01,-4.214999999999999858e+01,-1.812580000000000098e+02
5.285829067230224609e+00,-6.884999999999999432e+01,-4.154999999999999716e+01,-1.812580000000000098e+02
5.351644992828369141e+00,-6.884999999999999432e+01,-4.154999999999999716e+01,-1.827090000000000032e+02
5.417691946029663086e+00,-6.959999999999999432e+01,-4.229999999999999716e+01,-1.817419999999999902e+02
5.483448028564453125e+00,-6.884999999999999432e+01,-4.139999999999999858e+01,-1.795629999999999882e+02
5.554207086563110352e+00,-6.869899999999999807e+01,-4.184899999999999665e+01,-1.800480000000000018e+02
5.620240926742553711e+00,-6.825000000000000000e+01,-4.109899999999999665e+01,-1.817419999999999902e+02
5.686057090759277344e+00,-6.915000000000000568e+01,-4.184899999999999665e+01,-1.817419999999999902e+02
5.751945972442626953e+00,-6.809999999999999432e+01,-4.170000000000000284e+01,-1.802899999999999920e+02
5.817828178405761719e+00,-6.884999999999999432e+01,-4.170000000000000284e+01,-1.812580000000000098e+02
5.888510942459106445e+00,-6.809999999999999432e+01,-4.154999999999999716e+01,-1.819840000000000089e+02
5.954575061798095703e+00,-6.884999999999999432e+01,-4.125000000000000000e+01,-1.812580000000000098e+02
6.020293951034545898e+00,-6.854999999999999716e+01,-4.079999999999999716e+01,-1.824679999999999893e+02
6.086133003234863281e+00,-6.779999999999999716e+01,-4.139999999999999858e+01,-1.815000000000000000e+02
6.156460046768188477e+00,-6.840000000000000568e+01,-4.109899999999999665e+01,-1.810159999999999911e+02
6.222405195236206055e+00,-6.794899999999999807e+01,-4.170000000000000284e+01,-1.822259999999999991e+02
6.288248062133789062e+00,-6.884999999999999432e+01,-4.020000000000000284e+01,-1.817419999999999902e+02
6.354228973388671875e+00,-6.869899999999999807e+01,-4.095000000000000284e+01,-1.815000000000000000e+02
6.420111179351806641e+00,-6.794899999999999807e+01,-4.139999999999999858e+01,-1.817419999999999902e+02
6.490811824798583984e+00,-6.779999999999999716e+01,-4.125000000000000000e+01,-1.824679999999999893e+02
