q_mm,q_target_mm,direction,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
140.0,140.0,down,150,-45.4598,0.3988,-35.9438,0.4370,-234.8124,0.5786,-326.8948,1132.9202,3231.3176,241.8583
138.0,138.0,down,150,-44.4328,0.3978,-36.3798,0.4325,-236.0578,0.5869,-325.8678,1132.4842,3230.0722,242.9425
136.0,136.0,down,150,-43.1488,0.4160,-36.6438,0.4133,-237.2950,0.5695,-324.5838,1132.2202,3228.8350,243.9539
134.0,134.0,down,150,-41.8958,0.4080,-37.0398,0.4237,-238.3763,0.6163,-323.3308,1131.8242,3227.7537,244.8478
132.0,132.0,down,150,-40.5028,0.4096,-37.4859,0.3910,-239.7426,0.5284,-321.9378,1131.3781,3226.3874,246.0126
130.0,130.0,down,150,-38.9128,0.4062,-37.9708,0.4119,-241.3432,0.5811,-320.3478,1130.8932,3224.7868,247.3914
128.0,128.0,down,150,-37.5178,0.3808,-38.5948,0.3838,-242.9483,0.6376,-318.9528,1130.2692,3223.1817,248.8394
126.0,126.0,down,150,-35.8968,0.4225,-39.1078,0.4289,-244.4327,0.6363,-317.3318,1129.7562,3221.6973,250.1306
124.0,124.0,down,150,-34.0968,0.4621,-39.5008,0.3719,-246.1574,0.5683,-315.5318,1129.3632,3219.9726,251.6274
122.0,122.0,down,150,-32.3607,0.3927,-40.1568,0.4374,-247.9676,0.5807,-313.7957,1128.7072,3218.1624,253.2740
120.0,120.0,down,150,-30.4308,0.3825,-40.7288,0.4340,-249.8293,0.5689,-311.8658,1128.1352,3216.3007,254.9501
118.0,118.0,down,150,-28.4768,0.3858,-41.6228,0.4298,-252.0074,0.5728,-309.9118,1127.2412,3214.1226,257.0041
116.0,116.0,down,150,-26.2888,0.3813,-42.2488,0.3881,-254.2109,0.5697,-307.7238,1126.6152,3211.9191,259.0352
114.0,114.0,down,150,-24.1688,0.3868,-43.2418,0.4391,-256.6004,0.5938,-305.6038,1125.6222,3209.5296,261.3384
112.0,112.0,down,150,-21.7058,0.4048,-43.9508,0.4473,-258.9509,0.5970,-303.1408,1124.9132,3207.1791,263.5496
110.0,110.0,down,150,-19.0588,0.3828,-44.9558,0.4432,-261.5758,0.5982,-300.4938,1123.9082,3204.5542,266.0942
108.0,108.0,down,150,-16.4377,0.4370,-45.8718,0.4029,-264.4540,0.6223,-297.8727,1122.9922,3201.6760,268.9058
106.0,106.0,down,150,-13.4108,0.4142,-47.1218,0.4374,-267.3322,0.6462,-294.8458,1121.7422,3198.7978,271.7845
104.0,104.0,down,150,-10.3878,0.4095,-48.4348,0.4144,-270.5477,0.6165,-291.8228,1120.4292,3195.5823,275.0453
102.0,102.0,down,150,-7.0648,0.3830,-49.7938,0.4417,-274.0454,0.5495,-288.4998,1119.0702,3192.0846,278.6220
100.0,100.0,down,150,-3.4159,0.3979,-51.2818,0.3850,-277.4269,0.5709,-284.8509,1117.5822,3188.7031,282.1475
98.0,98.0,down,150,0.3028,0.4127,-52.8588,0.3905,-281.4135,0.6312,-281.1322,1116.0052,3184.7165,286.3349
