Bx_uT,By_uT,Bz_uT
7.275000000000000000e+01,-3.675000000000000000e+01,-4.404399999999999693e+01
7.290000000000000568e+01,-3.675000000000000000e+01,-4.404399999999999693e+01
7.304999999999999716e+01,-3.539999999999999858e+01,-4.404399999999999693e+01
7.394899999999999807e+01,-3.614999999999999858e+01,-4.404399999999999693e+01
7.350000000000000000e+01,-3.600000000000000000e+01,-4.404399999999999693e+01
7.334999999999999432e+01,-3.584899999999999665e+01,-4.331700000000000017e+01
7.290000000000000568e+01,-3.600000000000000000e+01,-4.355899999999999750e+01
7.215000000000000568e+01,-3.675000000000000000e+01,-4.452799999999999869e+01
7.259999999999999432e+01,-3.659899999999999665e+01,-4.210799999999999699e+01
7.244899999999999807e+01,-3.600000000000000000e+01,-4.428600000000000136e+01
7.350000000000000000e+01,-3.570000000000000284e+01,-4.404399999999999693e+01
7.290000000000000568e+01,-3.554999999999999716e+01,-4.307600000000000051e+01
7.319899999999999807e+01,-3.629999999999999716e+01,-4.380199999999999960e+01
7.304999999999999716e+01,-3.554999999999999716e+01,-4.283400000000000318e+01
7.290000000000000568e+01,-3.584899999999999665e+01,-4.404399999999999693e+01
7.304999999999999716e+01,-3.614999999999999858e+01,-4.307600000000000051e+01
7.319899999999999807e+01,-3.509899999999999665e+01,-4.404399999999999693e+01
7.319899999999999807e+01,-3.570000000000000284e+01,-4.380199999999999960e+01
7.259999999999999432e+01,-3.629999999999999716e+01,-4.307600000000000051e+01
7.319899999999999807e+01,-3.600000000000000000e+01,-4.331700000000000017e+01
7.275000000000000000e+01,-3.659899999999999665e+01,-4.283400000000000318e+01
7.259999999999999432e+01,-3.675000000000000000e+01,-4.428600000000000136e+01
7.244899999999999807e+01,-3.600000000000000000e+01,-4.331700000000000017e+01
7.304999999999999716e+01,-3.554999999999999716e+01,-4.380199999999999960e+01
7.275000000000000000e+01,-3.570000000000000284e+01,-4.404399999999999693e+01
7.304999999999999716e+01,-3.659899999999999665e+01,-4.452799999999999869e+01
7.304999999999999716e+01,-3.629999999999999716e+01,-4.331700000000000017e+01
7.229999999999999716e+01,-3.584899999999999665e+01,-4.380199999999999960e+01
7.379999999999999716e+01,-3.570000000000000284e+01,-4.404399999999999693e+01
7.379999999999999716e+01,-3.570000000000000284e+01,-4.307600000000000051e+01
7.259999999999999432e+01,-3.584899999999999665e+01,-4.234899999999999665e+01
7.244899999999999807e+01,-3.614999999999999858e+01,-4.452799999999999869e+01
7.290000000000000568e+01,-3.539999999999999858e+01,-4.452799999999999869e+01
7.290000000000000568e+01,-3.614999999999999858e+01,-4.428600000000000136e+01
7.259999999999999432e+01,-3.539999999999999858e+01,-4.331700000000000017e+01
7.290000000000000568e+01,-3.645000000000000284e+01,-4.477000000000000313e+01
7.275000000000000000e+01,-3.584899999999999665e+01,-4.428600000000000136e+01
7.319899999999999807e+01,-3.539999999999999858e+01,-4.307600000000000051e+01
7.244899999999999807e+01,-3.614999999999999858e+01,-4.452799999999999869e+01
7.275000000000000000e+01,-3.570000000000000284e+01,-4.259199999999999875e+01
7.275000000000000000e+01,-3.570000000000000284e+01,-4.283400000000000318e+01
7.259999999999999432e+01,-3.570000000000000284e+01,-4.477000000000000313e+01
7.334999999999999432e+01,-3.570000000000000284e+01,-4.477000000000000313e+01
7.290000000000000568e+01,-3.659899999999999665e+01,-4.307600000000000051e+01
7.319899999999999807e+01,-3.659899999999999665e+01,-4.331700000000000017e+01
7.319899999999999807e+01,-3.539999999999999858e+01,-4.452799999999999869e+01
7.304999999999999716e+01,-3.614999999999999858e+01,-4.331700000000000017e+01
7.275000000000000000e+01,-3.554999999999999716e+01,-4.428600000000000136e+01
7.334999999999999432e+01,-3.600000000000000000e+01,-4.307600000000000051e+01
7.215000000000000568e+01,-3.600000000000000000e+01,-4.331700000000000017e+01
7.290000000000000568e+01,-3.645000000000000284e+01,-4.380199999999999960e+01
7.259999999999999432e+01,-3.600000000000000000e+01,-4.404399999999999693e+01
7.184999999999999432e+01,-3.629999999999999716e+01,-4.355899999999999750e+01
7.290000000000000568e+01,-3.614999999999999858e+01,-4.283400000000000318e+01
7.215000000000000568e+01,-3.600000000000000000e+01,-4.404399999999999693e+01
7.290000000000000568e+01,-3.539999999999999858e+01,-4.307600000000000051e+01
7.229999999999999716e+01,-3.614999999999999858e+01,-4.355899999999999750e+01
7.304999999999999716e+01,-3.659899999999999665e+01,-4.283400000000000318e+01
7.350000000000000000e+01,-3.659899999999999665e+01,-4.428600000000000136e+01
7.259999999999999432e+01,-3.614999999999999858e+01,-4.404399999999999693e+01
7.334999999999999432e+01,-3.629999999999999716e+01,-4.380199999999999960e+01
7.304999999999999716e+01,-3.614999999999999858e+01,-4.355899999999999750e+01
7.259999999999999432e+01,-3.614999999999999858e+01,-4.210799999999999699e+01
7.244899999999999807e+01,-3.600000000000000000e+01,-4.307600000000000051e+01
7.259999999999999432e+01,-3.614999999999999858e+01,-4.283400000000000318e+01
7.290000000000000568e+01,-3.554999999999999716e+01,-4.404399999999999693e+01
7.259999999999999432e+01,-3.554999999999999716e+01,-4.259199999999999875e+01
7.275000000000000000e+01,-3.600000000000000000e+01,-4.355899999999999750e+01
7.350000000000000000e+01,-3.629999999999999716e+01,-4.380199999999999960e+01
7.215000000000000568e+01,-3.570000000000000284e+01,-4.283400000000000318e+01
7.259999999999999432e+01,-3.554999999999999716e+01,-4.355899999999999750e+01
7.215000000000000568e+01,-3.629999999999999716e+01,-4.307600000000000051e+01
7.334999999999999432e+01,-3.645000000000000284e+01,-4.380199999999999960e+01
7.304999999999999716e+01,-3.570000000000000284e+01,-4.404399999999999693e+01
7.425000000000000000e+01,-3.659899999999999665e+01,-4.259199999999999875e+01
7.319899999999999807e+01,-3.629999999999999716e+01,-4.355899999999999750e+01
7.290000000000000568e+01,-3.600000000000000000e+01,-4.355899999999999750e+01
7.319899999999999807e+01,-3.554999999999999716e+01,-4.380199999999999960e+01
7.259999999999999432e+01,-3.600000000000000000e+01,-4.283400000000000318e+01
7.319899999999999807e+01,-3.645000000000000284e+01,-4.355899999999999750e+01
7.319899999999999807e+01,-3.614999999999999858e+01,-4.307600000000000051e+01
7.275000000000000000e+01,-3.675000000000000000e+01,-4.307600000000000051e+01
7.290000000000000568e+01,-3.614999999999999858e+01,-4.404399999999999693e+01
7.200000000000000000e+01,-3.554999999999999716e+01,-4.355899999999999750e+01
7.259999999999999432e+01,-3.554999999999999716e+01,-4.355899999999999750e+01
7.304999999999999716e+01,-3.570000000000000284e+01,-4.331700000000000017e+01
7.259999999999999432e+01,-3.600000000000000000e+01,-4.428600000000000136e+01
7.290000000000000568e+01,-3.659899999999999665e+01,-4.355899999999999750e+01
7.275000000000000000e+01,-3.600000000000000000e+01,-4.283400000000000318e+01
7.290000000000000568e+01,-3.659899999999999665e+01,-4.307600000000000051e+01
7.290000000000000568e+01,-3.675000000000000000e+01,-4.355899999999999750e+01
7.275000000000000000e+01,-3.600000000000000000e+01,-4.428600000000000136e+01
7.275000000000000000e+01,-3.584899999999999665e+01,-4.380199999999999960e+01
7.334999999999999432e+01,-3.584899999999999665e+01,-4.501200000000000045e+01
7.304999999999999716e+01,-3.675000000000000000e+01,-4.259199999999999875e+01
7.275000000000000000e+01,-3.645000000000000284e+01,-4.307600000000000051e+01
