q_mm,q_target_mm,direction,mark10_pos_mm,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
140.000,140.0,down,-0.000,150,91.5598,0.3913,-33.5788,0.4239,-53.4800,0.6404,-189.8752,1135.2852,3412.6500,111.2243
138.000,138.0,down,-2.000,150,90.3348,0.3976,-33.7808,0.3647,-52.8347,0.6075,-191.1002,1135.0832,3413.2953,109.9683
136.000,136.0,down,-4.000,150,88.9098,0.4011,-33.9158,0.4469,-52.1781,0.5991,-192.5252,1134.9482,3413.9519,108.5255
134.000,134.0,down,-6.000,150,87.6178,0.3947,-34.0868,0.4123,-51.3925,0.6383,-193.8172,1134.7772,3414.7375,107.1447
132.000,132.0,down,-8.000,150,86.0048,0.4560,-34.3008,0.4304,-50.6714,0.5564,-195.4302,1134.5632,3415.4586,105.5507
130.000,130.0,down,-10.000,150,84.2958,0.3870,-34.4228,0.4053,-49.8596,0.6146,-197.1392,1134.4412,3416.2704,103.8109
128.000,128.0,down,-12.000,150,82.6678,0.4160,-34.6568,0.3922,-49.0434,0.6089,-198.7672,1134.2072,3417.0866,102.1779
126.000,126.0,down,-14.000,150,80.8268,0.4252,-34.9598,0.4022,-48.0626,0.5946,-200.6082,1133.9042,3418.0674,100.3254
124.000,124.0,down,-16.000,150,79.1947,0.4347,-35.2378,0.4144,-47.0769,0.5696,-202.2403,1133.6262,3419.0531,98.6395
122.000,122.0,down,-18.000,150,77.2198,0.3966,-35.5197,0.4116,-46.0153,0.5603,-204.2152,1133.3443,3420.1147,96.6538
120.000,120.0,down,-20.000,150,75.0718,0.4026,-35.7158,0.4239,-44.8619,0.6198,-206.3632,1133.1482,3421.2681,94.4668
118.000,118.0,down,-22.000,150,72.9138,0.4002,-36.0008,0.4279,-43.7243,0.5476,-208.5212,1132.8632,3422.4057,92.3271
116.000,116.0,down,-24.000,150,70.6578,0.4280,-36.4877,0.4339,-42.2868,0.5665,-210.7772,1132.3763,3423.8432,90.0670
114.000,114.0,down,-26.000,150,68.2258,0.4289,-36.7388,0.4186,-40.8317,0.6258,-213.2092,1132.1252,3425.2983,87.5884
112.000,112.0,down,-28.000,150,65.5518,0.3847,-37.2218,0.4265,-39.2990,0.6786,-215.8832,1131.6422,3426.8310,85.0112
110.000,110.0,down,-30.000,150,62.8298,0.4144,-37.5438,0.4022,-37.7858,0.5981,-218.6052,1131.3202,3428.3442,82.3704
108.000,108.0,down,-32.000,150,60.0758,0.4270,-38.0198,0.4056,-36.1012,0.6478,-221.3592,1130.8442,3430.0288,79.7364
106.000,106.0,down,-34.000,150,56.9788,0.4127,-38.5178,0.4115,-34.2074,0.5468,-224.4562,1130.3462,3431.9226,76.8138
104.000,104.0,down,-36.000,150,53.7898,0.3925,-38.8818,0.3942,-32.3227,0.6253,-227.6452,1129.9822,3433.8073,73.8234
102.000,102.0,down,-38.000,150,50.3567,0.3868,-39.5338,0.4398,-29.9853,0.5673,-231.0783,1129.3302,3436.1447,70.6954
100.000,100.0,down,-40.000,150,46.7097,0.4379,-40.1337,0.4265,-27.7621,0.5774,-234.7253,1128.7303,3438.3679,67.5518
98.000,98.0,down,-42.000,150,42.9798,0.4071,-40.8058,0.4153,-25.2211,0.6461,-238.4552,1128.0582,3440.9089,64.4087
96.000,96.0,down,-44.000,150,39.0088,0.4384,-41.4738,0.3924,-22.5447,0.5822,-242.4262,1127.3902,3443.5853,61.2375
94.000,94.0,down,-46.000,150,34.4878,0.3487,-42.2238,0.3656,-19.5970,0.5924,-246.9472,1126.6402,3446.5330,57.9336
92.000,92.0,down,-48.000,150,29.8868,0.4178,-43.0228,0.3967,-16.5283,0.5704,-251.5482,1125.8412,3449.6017,54.9306
90.000,90.0,down,-50.000,150,24.9608,0.4153,-43.9898,0.3774,-13.0904,0.5358,-256.4742,1124.8742,3453.0396,52.2446
88.000,88.0,down,-52.000,150,19.8868,0.4197,-44.8468,0.4251,-9.4088,0.5444,-261.5482,1124.0172,3456.7212,49.9524
86.000,86.0,down,-54.000,150,14.1508,0.4163,-45.9798,0.4774,-5.3465,0.6068,-267.2842,1122.8842,3460.7835,48.4042
84.000,84.0,down,-56.000,150,8.3907,0.4062,-47.0418,0.3939,-1.2213,0.5374,-273.0443,1121.8222,3464.9087,47.7999
82.000,82.0,down,-58.000,150,1.7917,0.3822,-48.2638,0.3973,3.3799,0.6119,-279.6433,1120.6002,3469.5099,48.4152
80.000,80.0,down,-60.000,150,-5.0828,0.4140,-49.5038,0.4611,8.4457,0.6275,-286.5178,1119.3602,3474.5757,50.4756
78.000,78.0,down,-62.000,150,-12.3278,0.3949,-50.9908,0.4032,14.0068,0.6741,-293.7628,1117.8732,3480.1368,54.2976
76.000,76.0,down,-64.000,150,-20.2087,0.4086,-52.5097,0.4315,19.9100,0.6084,-301.6437,1116.3543,3486.0400,59.6831
74.000,74.0,down,-66.000,150,-28.5358,0.3838,-54.1358,0.4261,26.6085,0.5659,-309.9708,1114.7282,3492.7385,66.7307
72.000,72.0,down,-68.000,150,-37.6388,0.4203,-55.9498,0.3971,33.8427,0.6231,-319.0738,1112.9142,3499.9727,75.4479
70.000,70.0,down,-70.000,150,-47.3727,0.4116,-57.8428,0.4176,41.5965,0.5891,-328.8077,1111.0212,3507.7265,85.5584
68.000,68.0,down,-72.000,150,-57.9138,0.4102,-59.9798,0.4041,50.1614,0.6164,-339.3488,1108.8842,3516.2914,97.3024
66.000,66.0,down,-74.000,150,-69.4958,0.3727,-62.3549,0.4159,59.5994,0.5593,-350.9308,1106.5091,3525.7294,110.7695
64.000,64.0,down,-76.000,150,-81.7038,0.4400,-64.9018,0.4229,69.8215,0.5906,-363.1388,1103.9622,3535.9515,125.5500
62.000,62.0,down,-78.000,150,-95.0208,0.4305,-67.6058,0.4173,81.2101,0.5969,-376.4558,1101.2582,3547.3401,142.1076
60.000,60.0,down,-80.000,150,-109.3128,0.3989,-70.6488,0.4262,93.6087,0.6247,-390.7478,1098.2152,3559.7387,160.3220
60.000,60.0,up,-80.000,150,-109.3168,0.4120,-70.6608,0.4054,93.6393,0.5560,-390.7518,1098.2032,3559.7693,160.3478
62.030,62.0,up,-77.970,150,-95.0228,0.4111,-67.6838,0.4254,81.2408,0.6082,-376.4578,1101.1802,3547.3708,142.1636
