phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.1900,nan,0.00130,0.00193,11,655.4398,-3471.9900,-433.0830,3559.7580,
approach,2,-0.3900,nan,0.00140,0.00111,12,655.0498,-3469.3496,-430.4696,3556.7936,
approach,3,-0.5900,nan,0.00210,0.00170,12,655.0198,-3466.8300,-426.9362,3553.9043,
approach,4,-0.7900,nan,0.00265,0.00096,12,653.8196,-3463.3500,-423.9350,3549.9288,
approach,5,-1.0000,nan,0.00185,0.00119,12,653.0696,-3459.8698,-419.4338,3545.8601,
approach,6,-1.1900,nan,0.00180,0.00096,12,652.0498,-3455.8194,-415.4166,3541.2466,
approach,7,-1.3700,nan,0.00095,0.00044,12,650.9994,-3450.8098,-410.8188,3535.6273,
approach,8,-1.5900,nan,0.00270,0.00126,12,650.1298,-3445.7098,-404.7208,3529.7852,
approach,9,-1.7900,nan,0.00255,0.00170,12,649.3196,-3441.5700,-399.2994,3524.9766,
approach,10,-2.0000,nan,0.00155,0.00126,12,648.2096,-3435.2396,-392.5720,3517.8345,
approach,11,-2.2000,nan,0.00220,0.00148,13,646.8300,-3429.4798,-384.4894,3511.0615,
approach,12,-2.3900,nan,0.00050,0.00052,12,645.5396,-3421.8900,-376.0196,3502.4910,
approach,13,-2.5900,nan,0.00195,0.00089,12,643.8298,-3414.7198,-366.7264,3494.1832,
approach,14,-2.7900,nan,0.00090,0.00089,12,641.5500,-3405.5098,-354.9654,3483.5447,
approach,15,-3.0000,nan,0.00100,0.00170,12,639.3000,-3395.0996,-341.4132,3471.5946,
approach,16,-3.1900,nan,-0.00005,0.00104,12,636.4498,-3382.7398,-325.6348,3457.4608,
approach,17,-3.3700,nan,-0.00130,0.00089,13,633.1200,-3368.0700,-308.1628,3440.8866,
approach,18,-3.5900,nan,-0.00235,0.00163,12,629.3698,-3349.9800,-285.0760,3420.4884,
approach,19,-3.7900,nan,-0.00440,0.00148,13,624.3498,-3328.3747,-259.7463,3396.3744,
approach,20,-4.0000,nan,-0.00690,0.00104,12,617.7247,-3299.0748,-227.2783,3364.0948,
approach,21,-4.1900,nan,-0.00960,0.00119,13,608.6098,-3255.2100,-185.1298,3316.7863,
approach,22,-4.4000,nan,-0.01570,0.00074,13,591.0596,-3166.8900,-117.7086,3223.7244,
approach,23,-4.5900,nan,-0.03470,0.00104,13,460.1098,-2494.1696,283.4788,2552.0469,
probe,1,-4.7700,0.1800,-0.02430,0.00074,21,465.5332,-2553.1331,305.0274,2613.0923,
probe,2,-4.9800,0.3900,-0.01550,0.00133,21,477.0560,-2645.4186,315.2652,2706.5133,
probe,3,-5.1700,0.5800,-0.00920,0.00126,20,491.2125,-2754.0936,320.0750,2815.8071,
probe,4,-5.3800,0.7900,-0.00020,0.00104,21,506.8500,-2873.0810,321.7386,2935.1332,
probe,5,-5.5700,0.9800,0.00990,0.00200,20,517.5805,-2956.0728,320.8171,3018.1418,
probe,6,-5.7700,1.1800,0.02680,0.00104,21,545.1330,-3142.3166,307.7163,3204.0619,
probe,7,-5.9800,1.3900,0.04900,0.00208,21,561.6228,-3240.8998,294.8490,3302.3912,
probe,8,-6.1700,1.5800,0.07680,0.00193,21,597.8331,-3447.5498,260.1494,3508.6581,
probe,9,-6.3900,1.8000,0.10750,0.00133,21,615.8536,-3550.3614,239.4494,3611.3263,
probe,10,-6.5700,1.9800,0.14045,0.00141,20,654.6999,-3773.7663,179.4829,3834.3394,
probe,11,-6.7700,2.1800,0.17930,0.00163,21,688.3998,-3962.3999,123.5007,4023.6500,
probe,12,-6.9800,2.3900,0.22060,0.00133,21,724.1061,-4160.2126,45.6166,4223.0060,
probe,13,-7.1700,2.5800,0.26865,0.00215,18,748.1883,-4295.4348,-12.3233,4360.1259,
probe,14,-7.3700,2.7800,0.31910,0.00089,21,787.8922,-4515.0118,-113.7212,4584.6524,
probe,15,-7.5700,2.9800,0.37200,0.00119,19,844.4623,-4831.8564,-285.7415,4913.4103,
probe,16,-7.7700,3.1800,0.43295,0.00237,20,890.0832,4746.4327,-438.8263,4849.0659,
probe,17,-7.9800,3.3900,0.49970,0.00237,21,937.9875,4476.9752,-618.5519,4615.8135,
probe,18,-8.1700,3.5800,0.57330,0.00133,21,987.0934,4191.7320,-830.7859,4385.7925,
probe,19,-8.3800,3.7900,0.65080,0.00208,21,1019.6884,4001.4115,-976.7676,4243.2456,
probe,20,-8.5700,3.9800,0.74630,0.00178,21,1101.1833,3578.4498,-1351.4893,3980.5064,
probe,21,-8.7700,4.1800,0.85070,0.00326,21,1165.2832,3242.1498,-1674.8549,3830.7387,
probe,22,-8.9700,4.3800,0.96780,0.00222,21,1230.6833,2885.2498,-2037.9087,3740.6309,
probe,23,-9.1700,4.5800,1.10100,0.00297,21,1298.0662,2514.0164,-2449.8192,3742.5752,
probe,24,-9.3800,4.7900,1.24630,0.00319,20,1345.4997,2254.0497,-2747.9098,3800.2786,
probe,25,-9.5700,4.9800,1.43240,0.00356,21,1445.6435,1735.4062,-3411.8367,4091.7172,
