trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,1,0.0000,0.0000,-5.7700,-0.02820,0.00148,24,-203.6267,-4581.4215,683.8740,6.8261,114.9034,165.6903,22.3483,257.8282,-437.1103,4636.6551
3,2,0.4480,0.4400,-6.2100,-0.04590,0.00119,24,-172.6863,-4419.7025,421.1200,0.4219,1.3246,0.9245,53.2887,419.5472,-699.8644,4443.0769
3,3,0.8960,0.8800,-6.6500,0.00360,0.00163,23,-153.2790,-4483.7348,322.9086,0.4148,0.8116,0.7508,72.6960,355.5148,-798.0757,4497.9598
3,4,1.3440,1.3200,-7.0900,0.09580,0.00141,24,-159.4992,-4784.8207,386.1049,0.5938,0.5961,0.6058,66.4758,54.4290,-734.8795,4803.0226
3,5,1.7920,1.7800,-7.5500,0.24250,0.00163,24,-193.9130,-5273.3292,552.0967,0.4291,0.5794,0.7503,32.0620,-434.0795,-568.8876,5305.6963
3,6,2.2400,2.2300,-8.0000,0.44845,0.00252,24,-236.6928,-5887.4942,770.7290,0.4219,0.7859,0.5696,-10.7178,-1048.2446,-350.2553,5942.4435
3,7,2.6880,2.6600,-8.4300,0.73110,0.00400,23,-293.6877,-6567.0246,1030.5157,0.4907,0.7663,0.5649,-67.7127,-1727.7749,-90.4687,6653.8731
3,8,3.1360,3.1200,-8.8900,1.14110,0.00341,23,-362.0362,-7306.5629,1317.6580,0.3945,0.7156,0.9662,-136.0612,-2467.3132,196.6736,7433.2466
3,9,3.5840,3.5700,-9.3400,1.72705,0.00830,24,-420.7513,-8067.0113,1598.9256,0.5097,0.9524,0.5805,-194.7763,-3227.7617,477.9412,8234.6989
3,10,4.0320,4.0300,-9.8000,2.59915,0.01275,24,-473.0110,-8839.9073,1874.4513,0.4511,0.9324,0.6329,-247.0360,-4000.6576,753.4670,9048.8269
