trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,loading,1,0.0000,0.0000,-5.7900,-0.02750,0.00170,24,-191.8740,-4686.0623,637.2306,6.6603,107.0741,156.9216,14.2430,273.2632,-384.1708,4733.0812
1,loading,2,0.3500,0.3400,-6.1300,-0.04110,0.00089,24,-169.9573,-4548.4672,430.8003,0.3956,0.9158,0.7266,36.1596,410.8583,-590.6010,4571.9829
1,loading,3,0.7000,0.6900,-6.4800,-0.03430,0.00119,24,-148.8721,-4499.2108,285.5194,0.4144,0.5874,0.7270,57.2448,460.1147,-735.8820,4510.7186
1,loading,4,1.0500,1.0400,-6.8300,0.01870,0.00133,23,-136.6612,-4602.8740,238.0437,0.3945,0.8192,0.7099,69.4558,356.4515,-783.3577,4611.0509
1,loading,5,1.4000,1.3800,-7.1700,0.10080,0.00126,24,-145.9375,-4873.1681,300.2903,0.5013,0.6243,0.7701,60.1795,86.1574,-721.1111,4884.5920
1,loading,6,1.7500,1.7400,-7.5300,0.21490,0.00170,24,-170.1075,-5254.6667,417.3290,0.4511,0.3956,0.5195,36.0095,-295.3412,-604.0723,5273.9569
1,loading,7,2.1000,2.0800,-7.8700,0.36240,0.00193,24,-199.7313,-5717.1615,565.4330,0.3394,0.7777,0.5195,6.3856,-757.8360,-455.9683,5748.5253
1,loading,8,2.4500,2.4400,-8.2300,0.54945,0.00163,24,-233.1119,-6246.8420,738.2613,0.3680,0.8479,0.7370,-26.9949,-1287.5165,-283.1400,6294.6331
1,loading,9,2.8000,2.7800,-8.5700,0.79355,0.00385,24,-279.5163,-6786.2554,930.7530,0.4017,0.8253,0.7071,-73.3993,-1826.9299,-90.6483,6855.4864
1,loading,10,3.1500,3.1400,-8.9300,1.13015,0.00638,24,-327.8695,-7361.6223,1138.5690,0.4682,0.9939,0.5696,-121.7526,-2402.2968,117.1677,7456.3611
1,loading,11,3.5000,3.4800,-9.2700,1.57900,0.00415,23,-372.1683,-7975.9932,1347.0929,0.5390,0.9376,0.7976,-166.0513,-3016.6677,325.6915,8097.5080
1,unloading,1,3.1500,3.0900,-8.8800,0.79520,0.00326,23,-315.9160,-7317.2767,1096.0285,0.4658,0.9871,0.6667,-109.7990,-2357.9512,74.6272,7405.6478
1,unloading,2,2.8000,2.6800,-8.4700,0.43745,0.00237,24,-261.1210,-6646.7176,853.2705,0.4753,0.9723,0.5746,-55.0040,-1687.3921,-168.1309,6706.3485
1,unloading,3,2.4500,2.2800,-8.0700,0.24660,0.00222,24,-213.7198,-6020.7379,639.2158,0.3945,0.8360,0.6266,-7.6029,-1061.4124,-382.1856,6058.3461
1,unloading,4,2.1000,1.8600,-7.6500,0.10425,0.00222,24,-172.8867,-5441.7535,447.4572,0.3829,0.8870,0.4286,33.2303,-482.4280,-573.9441,5462.8554
1,unloading,5,1.7500,1.4800,-7.2700,0.02195,0.00119,24,-142.3115,-4963.9573,283.4626,0.3063,0.9038,0.4660,63.8054,-4.6318,-737.9387,4974.0804
1,unloading,6,1.4000,1.0600,-6.8500,-0.03150,0.00067,24,-119.6230,-4586.3055,156.5737,0.4511,0.6459,0.7689,86.4939,373.0200,-864.8277,4590.5363
1,unloading,7,1.0500,1.0600,-6.8500,-0.02800,0.00089,23,-119.4978,-4587.4315,157.8243,0.3394,0.7512,0.6041,86.6191,371.8940,-863.5770,4591.7008
1,unloading,8,0.7000,0.6700,-6.4600,-0.05330,0.00133,23,-126.7316,-4409.1963,175.1237,0.4550,0.6225,0.6472,79.3853,550.1292,-846.2777,4414.4922
1,unloading,9,0.3500,0.2600,-6.0500,-0.04560,0.00148,24,-153.1233,-4461.0902,347.8061,0.4779,0.7463,0.7403,52.9936,498.2353,-673.5952,4477.2471
1,unloading,10,0.0000,-0.1400,-5.6500,-0.02830,0.00170,24,-175.8171,-4547.3647,507.9172,0.3064,0.6056,0.6044,30.2999,411.9608,-513.4841,4579.0193
