trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,B_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,loading,1,0.0000,0.0000,-6.0000,-0.02600,0.00119,24,28,-158.7281,-4786.9632,445.0030,5.0661,122.3895,172.1208,11.7723,279.8317,-385.9192,4810.2224
2,loading,2,0.3500,0.3300,-6.3300,-0.04025,0.00185,24,24,-138.1288,-4642.4222,233.2073,0.4907,0.5009,0.6329,32.3716,424.3726,-597.7149,4650.3279
2,loading,3,0.7000,0.6900,-6.6900,-0.04055,0.00096,24,24,-115.1155,-4579.2919,80.3838,0.4334,0.4323,0.8312,55.3849,487.5030,-750.5385,4581.4438
2,loading,4,1.0500,1.0300,-7.0300,0.01450,0.00059,23,23,-100.8625,-4679.5144,23.5687,0.3463,0.7884,0.7503,69.6380,387.2804,-807.3536,4680.6606
2,loading,5,1.4000,1.3900,-7.3900,0.10185,0.00141,24,24,-109.7316,-4961.3786,77.1577,0.4311,0.5597,0.6682,60.7689,105.4163,-753.7646,4963.1917
2,loading,6,1.7500,1.7300,-7.7300,0.22420,0.00170,24,24,-131.9936,-5360.9938,182.7498,0.3460,0.6933,0.6368,38.5068,-294.1990,-648.1725,5365.7315
2,loading,7,2.1000,2.0700,-8.0700,0.37660,0.00133,23,23,-156.9130,-5821.3097,303.2786,0.4761,0.7129,0.7404,13.5874,-754.5149,-527.6437,5831.3160
2,loading,8,2.4500,2.4300,-8.4300,0.57635,0.00208,24,24,-190.2160,-6339.8718,450.4023,0.5314,1.0827,0.6041,-19.7155,-1273.0769,-380.5199,6358.6963
2,loading,9,2.8000,2.7700,-8.7700,0.84520,0.00460,24,24,-233.4374,-6883.7007,615.2043,0.4311,1.3296,0.8065,-62.9370,-1816.9059,-215.7180,6915.0781
2,loading,10,3.1500,3.1300,-9.1300,1.21290,0.00460,23,23,-274.5776,-7465.6452,783.9115,0.3760,1.3127,0.6293,-104.0772,-2398.8503,-47.0107,7511.7088
2,loading,11,3.5000,3.5000,-9.5000,1.71370,0.00667,24,23,-312.7023,-8077.2021,950.9544,0.4222,1.1710,0.6989,-142.2019,-3010.4072,120.0321,8138.9981
2,unloading,1,3.1500,3.1500,-9.1500,0.89100,0.00385,24,23,-272.3565,-7530.9981,781.5548,0.4308,0.9741,0.5644,-101.8561,-2464.2032,-49.3675,7576.3407
2,unloading,2,2.8000,2.8100,-8.8100,0.53735,0.00356,24,24,-231.0585,-6960.3544,605.6857,0.3535,0.9951,0.7266,-60.5580,-1893.5595,-225.2366,6990.4775
2,unloading,3,2.4500,2.4700,-8.4700,0.32065,0.00267,24,23,-191.4828,-6408.8267,449.6570,0.4341,0.7851,0.6441,-20.9824,-1342.0318,-381.2652,6427.4347
2,unloading,4,2.1000,2.1300,-8.1300,0.18090,0.00163,24,23,-155.4229,-5907.3314,311.0223,0.5043,0.6455,0.5405,15.0775,-840.5365,-519.9000,5917.5548
2,unloading,5,1.7500,1.7900,-7.7900,0.08045,0.00119,24,24,-128.7138,-5442.3299,185.3316,0.5512,0.6385,0.6978,41.7866,-375.5350,-645.5907,5447.0056
2,unloading,6,1.4000,1.4100,-7.4100,0.00230,0.00208,23,23,-103.7891,-4985.4250,54.7972,0.3816,0.6262,0.5645,66.7113,81.3699,-776.1251,4986.8063
2,unloading,7,1.0500,1.0700,-7.0700,-0.03735,0.00208,24,24,-88.4211,-4674.8518,-29.5234,0.3680,0.6857,0.6987,82.0793,391.9431,-860.4456,4675.7811
2,unloading,8,0.7000,0.7300,-6.7300,-0.05810,0.00126,24,23,-94.1731,-4503.1081,-20.9172,0.3359,0.7987,0.6354,76.3273,563.6867,-851.8395,4504.1413
2,unloading,9,0.3500,0.3900,-6.3900,-0.05175,0.00193,24,24,-116.6431,-4531.1873,114.1027,0.4987,0.6618,0.7176,53.8574,535.6075,-716.8196,4534.1244
2,unloading,10,0.0000,0.0500,-6.0500,-0.03685,0.00082,24,24,-137.8033,-4605.4861,259.3430,0.3306,0.6512,0.8523,32.6971,461.3088,-571.5793,4614.8403
