trial,phase,step,F_target_N,F_mean_N,F_error_N,F_std_N,F_n_samples,B_n_samples,mark10_pos_mm,d_actual_mm,target_reached,status,control_iters,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,force_loading,1,0.00000,-0.05195,-0.05195,0.00096,24,28,-2.0100,0.4000,0,max_iters,24,48.5083,-2979.9716,-1226.0752,3.9286,93.1700,162.9792,21.6646,254.2338,381.2888,3222.7076
2,force_loading,2,0.15000,0.09765,-0.05235,0.00133,24,28,-3.1100,1.5000,0,max_iters,24,12.2122,-2830.2364,-1227.5966,0.4025,2.7631,1.2373,-14.6315,403.9689,379.7674,3085.0253
2,force_loading,3,0.30000,0.24625,-0.05375,0.00067,24,28,-3.6900,2.0800,0,max_iters,24,13.3498,-3006.8232,-1930.2610,0.3786,1.9729,1.2889,-13.4939,227.3821,-322.8970,3573.1040
2,force_loading,4,0.45000,0.42885,-0.02115,0.00141,24,24,-4.1900,2.5800,1,reached,20,19.2811,-3200.2235,-2813.6935,0.3507,0.3832,0.7806,-7.5626,33.9818,-1206.3295,4261.2995
2,force_loading,5,0.60000,0.54090,-0.05910,0.00096,24,23,-4.5000,2.8900,0,max_iters,24,23.3596,-3310.8553,-3410.7266,0.5527,0.6253,0.8690,-3.4841,-76.6500,-1803.3626,4753.4582
2,force_loading,6,0.75000,0.74120,-0.00880,0.00148,24,23,-4.8800,3.2700,1,reached,13,29.5003,-3463.7710,-4307.6007,0.2506,0.6174,0.9237,2.6566,-229.5657,-2700.2367,5527.5676
2,force_loading,7,0.90000,0.88885,-0.01115,0.00104,24,24,-5.1100,3.5000,1,reached,4,33.0543,-3574.4710,-4999.3162,0.4345,0.5598,1.0258,6.2106,-340.2656,-3391.9522,6145.8195
2,force_loading,8,1.05000,0.92710,-0.12290,0.00104,24,24,-5.1900,3.5800,0,max_iters,24,34.6317,-3613.0354,-5260.4749,0.4952,0.4152,0.8471,7.7880,-378.8300,-3653.1109,6381.8352
2,force_loading,9,1.20000,0.91760,-0.28240,0.00074,24,24,-5.1900,3.5800,0,max_iters,24,34.8821,-3612.3592,-5257.8533,0.4510,0.5856,0.7370,8.0384,-378.1538,-3650.4893,6379.2928
2,force_loading,10,1.35000,0.91165,-0.43835,0.00082,24,23,-5.1900,3.5800,0,max_iters,24,35.0660,-3612.4528,-5256.4925,0.2927,0.5194,0.9329,8.2224,-378.2475,-3649.1285,6378.2254
2,force_loading,11,1.50000,0.90545,-0.59455,0.00156,24,23,-5.1900,3.5800,0,max_iters,24,34.9615,-3611.2767,-5253.5883,0.3463,0.4778,0.7844,8.1179,-377.0714,-3646.2243,6375.1653
