trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,90,holding,force_hold,0.81000,0.800000,-0.010000,3.0900,-4.8800,0.0000,none,46.8770,-4146.8980,-4389.8800,33.6560,-671.8425,-2839.2247,6039.0402
1,90,holding,force_hold,0.81000,0.797900,-0.012100,3.0900,-4.8800,0.0362,none,46.8770,-4146.2970,-4390.8480,33.6560,-671.2415,-2840.1927,6039.3313
1,90,holding,force_hold,0.81000,0.796300,-0.013700,3.0900,-4.8800,0.1244,none,46.8770,-4148.1010,-4391.8160,33.6560,-673.0455,-2841.1607,6041.2736
1,90,holding,force_hold,0.81000,0.795300,-0.014700,3.0900,-4.8800,0.2137,none,46.8770,-4146.2970,-4392.7830,33.6560,-671.2415,-2842.1277,6040.7383
1,90,holding,force_hold,0.81000,0.797300,-0.012700,3.0900,-4.8800,0.3021,none,48.0790,-4177.5490,-4454.7360,34.8580,-702.4935,-2904.0807,6107.2825
1,90,holding,force_hold,0.81000,0.795600,-0.014400,3.0900,-4.8800,0.3902,none,48.6800,-4177.5490,-4454.7360,35.4590,-702.4935,-2904.0807,6107.2873
1,90,holding,force_hold,0.81000,0.795000,-0.015000,3.0900,-4.8800,0.4781,none,48.6800,-4175.7470,-4453.7680,35.4590,-700.6915,-2903.1127,6105.3487
1,90,holding,force_hold,0.81000,0.794500,-0.015500,3.0900,-4.8800,0.5669,none,48.0790,-4176.3480,-4451.8320,34.8580,-701.2925,-2901.1767,6104.3429
1,90,holding,force_hold,0.81000,0.793700,-0.016300,3.0900,-4.8800,0.6556,none,48.6800,-4175.1450,-4453.7680,35.4590,-700.0895,-2903.1127,6104.9369
1,90,holding,force_hold,0.81000,0.793700,-0.016300,3.0900,-4.8800,0.7438,none,48.6800,-4174.5460,-4451.8320,35.4590,-699.4905,-2901.1767,6103.1150
