trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,75,holding,force_hold,0.75000,0.726100,-0.023900,3.1800,-5.5700,0.0000,none,3.1800,0.0000,-59.4980,-5669.8320,-3232.1520,12.0728,-1703.8083,-2052.4126,6526.6639
1,75,holding,force_hold,0.75000,0.725200,-0.024800,3.1800,-5.5700,0.0377,none,3.1800,0.0000,-60.7000,-5668.6310,-3234.0880,10.8708,-1702.6073,-2054.3486,6526.5908
1,75,holding,force_hold,0.75000,0.725500,-0.024500,3.1800,-5.5700,0.1260,none,3.1800,0.0000,-60.0990,-5669.2310,-3233.1200,11.4718,-1703.2073,-2053.3806,6526.6268
1,75,holding,force_hold,0.75000,0.726900,-0.023100,3.1800,-5.5700,0.2143,none,3.1800,0.0000,-60.0990,-5669.8320,-3234.0880,11.4718,-1703.8083,-2054.3486,6527.6284
1,75,holding,force_hold,0.75000,0.726300,-0.023700,3.1800,-5.5700,0.3028,none,3.1800,0.0000,-61.9020,-5882.5860,-3353.1520,9.6688,-1916.5623,-2173.4126,6771.4310
1,75,holding,force_hold,0.75000,0.727100,-0.022900,3.1800,-5.5700,0.3911,none,3.1800,0.0000,-61.3010,-5879.5810,-3351.2160,10.2698,-1913.5573,-2171.4766,6767.8563
1,75,holding,force_hold,0.75000,0.728700,-0.021300,3.1800,-5.5700,0.4793,none,3.1800,0.0000,-60.7000,-5878.9810,-3350.2480,10.8708,-1912.9573,-2170.5086,6766.8504
1,75,holding,force_hold,0.75000,0.728100,-0.021900,3.1800,-5.5700,0.5678,none,3.1800,0.0000,-61.9020,-5875.9760,-3350.2480,9.6688,-1909.9523,-2170.5086,6764.2507
1,75,holding,force_hold,0.75000,0.726900,-0.023100,3.1800,-5.5700,0.6562,none,3.1800,0.0000,-61.9020,-5875.3750,-3349.2810,9.6688,-1909.3513,-2169.5416,6763.2497
1,75,holding,force_hold,0.75000,0.724900,-0.025100,3.1800,-5.5700,0.7443,none,3.1800,0.0000,-61.3010,-5874.1730,-3349.2810,10.2698,-1908.1493,-2169.5416,6762.2000
1,75,holding,force_hold,0.75000,0.724200,-0.025800,3.1800,-5.5700,0.8328,none,3.1800,0.0000,-61.3010,-5874.1730,-3348.3120,10.2698,-1908.1493,-2168.5726,6761.7202
1,75,holding,force_hold,0.75000,0.724400,-0.025600,3.1800,-5.5700,0.9212,none,3.1800,0.0000,-61.3010,-5873.5700,-3349.2810,10.2698,-1907.5463,-2169.5416,6761.6762
1,75,holding,force_hold,0.75000,0.724900,-0.025100,3.1800,-5.5700,1.0094,none,3.1800,0.0000,-61.9020,-5874.7730,-3348.3120,9.6688,-1908.7493,-2168.5726,6762.2469
1,75,holding,force_hold,0.75000,0.725800,-0.024200,3.1800,-5.5700,1.0979,none,3.1800,0.0000,-61.9020,-5874.1730,-3348.3120,9.6688,-1908.1493,-2168.5726,6761.7256
1,75,holding,force_hold,0.75000,0.724400,-0.025600,3.1800,-5.5700,1.1862,none,3.1800,0.0000,-61.9020,-5872.9680,-3346.3760,9.6688,-1906.9443,-2166.6366,6759.7202
1,75,holding,force_hold,0.75000,0.722800,-0.027200,3.1800,-5.5700,1.2741,none,3.1800,0.0000,-61.3010,-5872.9680,-3347.3430,10.2698,-1906.9443,-2167.6036,6760.1935
1,75,holding,force_hold,0.75000,0.724600,-0.025400,3.1800,-5.5700,1.3626,none,3.1800,0.0000,-61.9020,-5871.7680,-3346.3760,9.6688,-1905.7443,-2166.6366,6758.6777
1,75,holding,force_hold,0.75000,0.723900,-0.026100,3.1800,-5.5700,1.4511,none,3.1800,0.0000,-60.7000,-5872.3680,-3346.3760,10.8708,-1906.3443,-2166.6366,6759.1880
1,75,holding,force_hold,0.75000,0.724400,-0.025600,3.1800,-5.5700,1.5394,none,3.1800,0.0000,-61.3010,-5872.9680,-3345.4080,10.2698,-1906.9443,-2165.6686,6759.2356
