trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.0000,2.972700,1117.2580,-6600.1780,10345.0180,395.6754,-7384.3990,5811.7915,12321.9322
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.0530,2.973200,1119.0610,-6603.7860,10335.3380,397.4784,-7388.0070,5802.1115,12315.9043
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.1409,2.972100,1113.0510,-6597.7760,10339.2100,391.4684,-7381.9970,5805.9835,12315.3885
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.2299,2.973000,1119.6620,-6600.1780,10334.3680,398.0794,-7384.3990,5801.1415,12313.2106
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.3169,2.971000,1118.4600,-6601.3830,10336.3040,396.8774,-7385.6040,5803.0775,12315.3721
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.4049,2.970200,1113.0510,-6598.9760,10331.4710,391.4684,-7383.1970,5798.2445,12309.5353
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.4935,2.969700,1120.2630,-6602.5840,10343.0770,398.6804,-7386.8050,5809.8505,12321.8646
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.5814,2.970000,1114.8540,-6596.5750,10342.1110,393.2714,-7380.7960,5808.8845,12317.3439
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.6692,2.969500,1114.2530,-6611.5990,10338.2390,392.6704,-7395.8200,5805.0125,12322.0934
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.7571,2.969500,1113.6520,-6601.3830,10339.2100,392.0694,-7385.6040,5805.9835,12317.3756
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.8449,2.969100,1117.2580,-6598.9760,10339.2100,395.6754,-7383.1970,5805.9835,12316.4123
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,0.9329,2.967600,1114.2530,-6601.9840,10337.2690,392.6704,-7386.2050,5804.0425,12316.1229
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.0209,2.968800,1121.4650,-6601.3830,10333.4020,399.8824,-7385.6040,5800.1755,12313.2099
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.1089,2.968200,1117.2580,-6598.3760,10331.4710,395.6754,-7382.5970,5798.2445,12309.5948
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.1969,2.967000,1116.6580,-6600.7810,10340.1760,395.0754,-7385.0020,5806.9495,12318.1360
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.2849,2.965700,1113.0510,-6601.9840,10334.3680,391.4684,-7386.2050,5801.1415,12313.5794
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.3729,2.965100,1113.6520,-6604.9890,10343.0770,392.0694,-7389.2100,5809.8505,12322.5542
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.4609,2.966300,1123.2680,-6598.3760,10344.0470,401.6854,-7382.5970,5810.8205,12320.6982
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.5489,2.964500,1115.4550,-6604.3860,10335.3380,393.8724,-7388.6070,5802.1115,12315.8989
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.6368,2.964800,1120.2630,-6602.5840,10343.0770,398.6804,-7386.8050,5809.8505,12321.8646
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,1.7249,2.964500,1116.0560,-6605.5890,10343.0770,394.4734,-7389.8100,5809.8505,12323.0933
