time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780345050.173668,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.0000,1.938400,1031.9160,-5136.1440,9070.1600,330.4431,-5748.5423,4519.9487,10474.3796,,,
1780345050.261200,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.0489,1.938300,1036.1230,-5132.5380,9073.0610,334.6501,-5744.9363,4522.8497,10475.5398,,,
1780345050.349602,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.1370,1.936500,1033.1190,-5136.1440,9071.1300,331.6461,-5748.5423,4520.9187,10475.3382,,,
1780345050.437618,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.2249,1.936100,1028.9120,-5137.3460,9075.9680,327.4391,-5749.7443,4525.7567,10479.7032,,,
1780345050.525633,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.3129,1.935100,1035.5220,-5132.5380,9079.8400,334.0491,-5744.9363,4529.6287,10481.3523,,,
1780345050.613665,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.4009,1.934600,1034.3200,-5133.1410,9065.3220,332.8471,-5745.5393,4515.1107,10468.9549,,,
1780345050.701680,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.4889,1.936800,1033.1190,-5136.7440,9070.1600,331.6461,-5749.1423,4519.9487,10474.7924,,,
1780345050.789387,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.5770,1.935600,1030.1130,-5132.5380,9075.9680,328.6401,-5744.9363,4525.7567,10477.4651,,,
1780345050.877711,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.6650,1.933100,1032.5170,-5133.1410,9076.9380,331.0441,-5745.5393,4526.7267,10478.8373,,,
1780345050.965531,session_20260601_160931,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2900,4.2900,,-0.0100,-7.9400,0.7530,1.933400,1031.3150,-5140.3510,9076.9380,329.8421,-5752.7493,4526.7267,10482.2527,,,
