time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780411725.532393,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.085200,2.20000,2.085200,-0.114800,nan,4.1000,4.1000,,-7.8500,0.0000,-3330.7400,10141.8720,8413.8560,-3330.7400,10141.8720,8413.8560,-1856.2576,4747.6138,4474.2219,13592.0701,,,
1780411725.533325,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.084300,2.20000,2.084300,-0.115700,nan,4.1000,4.1000,,-7.8500,0.0014,-3331.3420,10140.6710,8414.8260,-3331.3420,10140.6710,8414.8260,-1856.8596,4746.4128,4475.1919,13591.9220,,,
1780411725.538719,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.085800,2.20000,2.085800,-0.114200,nan,4.1000,4.1000,,-7.8500,0.0026,-3330.7400,10140.6710,8403.2100,-3330.7400,10140.6710,8403.2100,-1856.2576,4746.4128,4463.5759,13584.5860,,,
1780411725.626065,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.085700,2.20000,2.085700,-0.114300,nan,4.1000,4.1000,,-7.8500,0.0075,-3329.5390,10140.0640,8415.7910,-3329.5390,10140.0640,8415.7910,-1855.0566,4745.8058,4476.1569,13591.6248,,,
1780411725.714283,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.085000,2.20000,2.085000,-0.115000,nan,4.1000,4.1000,,-7.8500,0.0955,-3331.3420,10143.6740,8415.7910,-3331.3420,10143.6740,8415.7910,-1856.8596,4749.4158,4476.1569,13594.7600,,,
1780411725.802756,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.084400,2.20000,2.084400,-0.115600,nan,4.1000,4.1000,,-7.8500,0.1837,-3333.7460,10138.2660,8413.8560,-3333.7460,10138.2660,8413.8560,-1859.2636,4744.0078,4474.2219,13590.1167,,,
1780411725.890744,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.083400,2.20000,2.083400,-0.116600,nan,4.1000,4.1000,,-7.8500,0.2718,-3330.7400,10140.0640,8410.9540,-3330.7400,10140.0640,8410.9540,-1856.2576,4745.8058,4471.3199,13588.9247,,,
1780411725.978842,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.083200,2.20000,2.083200,-0.116800,nan,4.1000,4.1000,,-7.8500,0.3599,-3331.3420,10142.4740,8408.0470,-3331.3420,10142.4740,8408.0470,-1856.8596,4748.2158,4468.4129,13589.0718,,,
1780411726.067745,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.082800,2.20000,2.082800,-0.117200,nan,4.1000,4.1000,,-7.8500,0.4481,-3330.7400,10138.2660,8417.7280,-3330.7400,10138.2660,8417.7280,-1856.2576,4744.0078,4478.0939,13591.7773,,,
1780411726.155536,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.082000,2.20000,2.082000,-0.118000,nan,4.1000,4.1000,,-7.8500,0.5364,-3333.7460,10143.0770,8416.7620,-3333.7460,10143.0770,8416.7620,-1859.2636,4748.8188,4477.1279,13595.5050,,,
