time_s,session_id,trial,repeat_id,pair_id,state_index,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,nominal_F_target_N,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780424788.728680,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92820,2.05000,2.05000,1.928200,-0.121800,nan,4.5600,4.5600,,-8.1500,0.0000,-2515.1830,12351.7490,3296.0400,-2515.1830,12351.7490,3296.0400,-1302.6583,6558.6802,650.6381,13029.0341,,,
1780424788.729187,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93930,2.05000,2.05000,1.939300,-0.110700,nan,4.5600,4.5600,,-8.1500,0.0004,-2522.9970,12348.1430,3297.9760,-2522.9970,12348.1430,3297.9760,-1310.4723,6555.0742,652.5741,13027.6166,,,
1780424788.729187,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93490,2.05000,2.05000,1.934900,-0.115100,nan,4.5600,4.5600,,-8.1500,0.0007,-2520.5930,12345.1410,3296.0400,-2520.5930,12345.1410,3296.0400,-1308.0683,6552.0722,650.6381,13023.8157,,,
1780424788.815367,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93350,2.05000,2.05000,1.933500,-0.116500,nan,4.5600,4.5600,,-8.1500,0.0010,-2518.7900,12353.5520,3305.7200,-2518.7900,12353.5520,3305.7200,-1306.2653,6560.4832,660.3181,13033.8918,,,
1780424788.903931,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,3.92610,2.05000,2.05000,3.926100,+1.876100,nan,4.5600,4.5600,,-8.1500,0.0869,-2520.5930,12347.5410,3296.0400,-2520.5930,12347.5410,3296.0400,-1308.0683,6554.4722,650.6381,13026.0906,,,
1780424788.991769,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92780,2.05000,2.05000,1.927800,-0.122200,nan,4.5600,4.5600,,-8.1500,0.1751,-2518.1880,12356.5590,3299.9120,-2518.1880,12356.5590,3299.9120,-1305.6633,6563.4902,654.5101,13035.1540,,,
1780424789.079760,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93420,2.05000,2.05000,1.934200,-0.115800,nan,4.5600,4.5600,,-8.1500,0.2633,-2519.9920,12349.9460,3291.2000,-2519.9920,12349.9460,3291.2000,-1307.4673,6556.8772,645.7981,13027.0305,,,
1780424789.168014,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.61130,2.05000,2.05000,1.611300,-0.438700,nan,4.5600,4.5600,,-8.1500,0.3518,-2515.7850,12361.9680,3297.9760,-2515.7850,12361.9680,3297.9760,-1303.2603,6568.8992,652.5741,13039.3279,,,
1780424789.256653,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93690,2.05000,2.05000,1.936900,-0.113100,nan,4.5600,4.5600,,-8.1500,0.4395,-2522.3950,12348.7460,3297.9760,-2522.3950,12348.7460,3297.9760,-1309.8703,6555.6772,652.5741,13028.0716,,,
1780424789.344855,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93640,2.05000,2.05000,1.936400,-0.113600,nan,4.5600,4.5600,,-8.1500,0.5279,-2514.5830,12347.5410,3298.9430,-2514.5830,12347.5410,3298.9430,-1302.0583,6554.4722,653.5411,13025.6639,,,
1780424789.432389,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93880,2.05000,2.05000,1.938800,-0.111200,nan,4.5600,4.5600,,-8.1500,0.6160,-2518.1880,12363.7650,3300.8800,-2518.1880,12363.7650,3300.8800,-1305.6633,6570.6962,655.4781,13042.2300,,,
1780424789.520385,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93730,2.05000,2.05000,1.937300,-0.112700,nan,4.5600,4.5600,,-8.1500,0.7040,-2519.3900,12363.1680,3297.9760,-2519.3900,12363.1680,3297.9760,-1306.8653,6570.0992,652.5741,13041.1616,,,
1780424789.608663,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93880,2.05000,2.05000,1.938800,-0.111200,nan,4.5600,4.5600,,-8.1500,0.7923,-2524.8000,12349.3440,3301.8470,-2524.8000,12349.3440,3301.8470,-1312.2753,6556.2752,656.4451,13030.0846,,,
1780424789.696917,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93470,2.05000,2.05000,1.934700,-0.115300,nan,4.5600,4.5600,,-8.1500,0.8805,-2522.9970,12337.9250,3302.8160,-2522.9970,12337.9250,3302.8160,-1310.4723,6544.8562,657.4141,13019.1590,,,
1780424789.785316,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93770,2.05000,2.05000,1.937700,-0.112300,nan,4.5600,4.5600,,-8.1500,0.9688,-2516.3860,12360.7670,3293.1360,-2516.3860,12360.7670,3293.1360,-1303.8613,6567.6982,647.7341,13037.0819,,,
1780424789.873583,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.94160,2.05000,2.05000,1.941600,-0.108400,nan,4.5600,4.5600,,-8.1500,1.0570,-2513.3810,12351.7490,3298.9430,-2513.3810,12351.7490,3298.9430,-1300.8563,6558.6802,653.5411,13029.4210,,,
1780424789.961779,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93850,2.05000,2.05000,1.938500,-0.111500,nan,4.5600,4.5600,,-8.1500,1.1451,-2518.7900,12356.5590,3298.9430,-2518.7900,12356.5590,3298.9430,-1306.2653,6563.4902,653.5411,13035.0251,,,
1780424790.049808,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93900,2.05000,2.05000,1.939000,-0.111000,nan,4.5600,4.5600,,-8.1500,1.2334,-2520.5930,12344.5380,3291.2000,-2520.5930,12344.5380,3291.2000,-1308.0683,6551.4692,645.7981,13022.0200,,,
1780424790.137839,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.94130,2.05000,2.05000,1.941300,-0.108700,nan,4.5600,4.5600,,-8.1500,1.3214,-2519.9920,12333.1190,3297.9760,-2519.9920,12333.1190,3297.9760,-1307.4673,6540.0502,652.5741,13012.7948,,,
1780424790.226339,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93600,2.05000,2.05000,1.936000,-0.114000,nan,4.5600,4.5600,,-8.1500,1.4097,-2519.9920,12349.3440,3297.0070,-2519.9920,12349.3440,3297.0070,-1307.4673,6556.2752,651.6051,13027.9282,,,
1780424790.314266,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.94110,2.05000,2.05000,1.941100,-0.108900,nan,4.5600,4.5600,,-8.1500,1.4984,-2520.5930,12351.7490,3300.8800,-2520.5930,12351.7490,3300.8800,-1308.0683,6558.6802,655.4781,13031.3047,,,
1780424790.402325,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93650,2.05000,2.05000,1.936500,-0.113500,nan,4.5600,4.5600,,-8.1500,1.5861,-2518.1880,12360.1600,3295.0720,-2518.1880,12360.1600,3295.0720,-1305.6633,6567.0912,649.6701,13037.3435,,,
1780424790.491501,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93070,2.05000,2.05000,1.930700,-0.119300,nan,4.5600,4.5600,,-8.1500,1.6743,-2516.9880,12362.5650,3297.0070,-2516.9880,12362.5650,3297.0070,-1304.4633,6569.4962,651.6051,13039.8810,,,
1780424790.579016,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92110,2.05000,2.05000,1.921100,-0.128900,nan,4.5600,4.5600,,-8.1500,1.7631,-2519.9920,12359.5620,3291.2000,-2519.9920,12359.5620,3291.2000,-1307.4673,6566.4932,645.7981,13036.1471,,,
1780424790.667210,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92320,2.05000,2.05000,1.923200,-0.126800,nan,4.5600,4.5600,,-8.1500,1.8504,-2519.3900,12330.7140,3297.9760,-2519.3900,12330.7140,3297.9760,-1306.8653,6537.6452,652.5741,13010.3989,,,
1780424790.754767,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92570,2.05000,2.05000,1.925700,-0.124300,nan,4.5600,4.5600,,-8.1500,1.9388,-2521.1950,12351.1460,3301.8470,-2521.1950,12351.1460,3301.8470,-1308.6703,6558.0772,656.4451,13031.0946,,,
1780424790.843503,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92850,2.05000,2.05000,1.928500,-0.121500,nan,4.5600,4.5600,,-8.1500,2.0269,-2522.9970,12358.9600,3294.1040,-2522.9970,12358.9600,3294.1040,-1310.4723,6565.8912,648.7021,13036.8910,,,
1780424790.931291,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93030,2.05000,2.05000,1.930300,-0.119700,nan,4.5600,4.5600,,-8.1500,2.1151,-2518.1880,12355.3540,3294.1040,-2518.1880,12355.3540,3294.1040,-1305.6633,6562.2852,648.7021,13032.5425,,,
1780424791.019803,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91980,2.05000,2.05000,1.919800,-0.130200,nan,4.5600,4.5600,,-8.1500,2.2033,-2521.1950,12351.7490,3300.8800,-2521.1950,12351.7490,3300.8800,-1308.6703,6558.6802,655.4781,13031.4211,,,
1780424791.107524,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91960,2.05000,2.05000,1.919600,-0.130400,nan,4.5600,4.5600,,-8.1500,2.2913,-2524.1990,12360.7670,3298.9430,-2524.1990,12360.7670,3298.9430,-1311.6743,6567.6982,653.5411,13040.0601,,,
1780424791.195922,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92340,2.05000,2.05000,1.923400,-0.126600,nan,4.5600,4.5600,,-8.1500,2.3794,-2519.3900,12350.5440,3298.9430,-2519.3900,12350.5440,3298.9430,-1306.8653,6557.4752,653.5411,13029.4393,,,
1780424791.283894,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92700,2.05000,2.05000,1.927000,-0.123000,nan,4.5600,4.5600,,-8.1500,2.4678,-2521.7950,12356.5590,3297.9760,-2521.7950,12356.5590,3297.9760,-1309.2703,6563.4902,652.5741,13035.3614,,,
1780424791.372605,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92900,2.05000,2.05000,1.929000,-0.121000,nan,4.5600,4.5600,,-8.1500,2.5560,-2518.7900,12352.9540,3301.8470,-2518.7900,12352.9540,3301.8470,-1306.2653,6559.8852,656.4451,13032.3432,,,
1780424791.461187,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92350,2.05000,2.05000,1.923500,-0.126500,nan,4.5600,4.5600,,-8.1500,2.6441,-2519.3900,12349.3440,3298.9430,-2519.3900,12349.3440,3298.9430,-1306.8653,6556.2752,653.5411,13028.3018,,,
1780424791.548893,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92440,2.05000,2.05000,1.924400,-0.125600,nan,4.5600,4.5600,,-8.1500,2.7324,-2520.5930,12356.5590,3297.9760,-2520.5930,12356.5590,3297.9760,-1308.0683,6563.4902,652.5741,13035.1289,,,
1780424791.636539,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93090,2.05000,2.05000,1.930900,-0.119100,nan,4.5600,4.5600,,-8.1500,2.8204,-2518.1880,12354.7520,3299.9120,-2518.1880,12354.7520,3299.9120,-1305.6633,6561.6832,654.5101,13033.4411,,,
1780424791.724680,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93180,2.05000,2.05000,1.931800,-0.118200,nan,4.5600,4.5600,,-8.1500,2.9085,-2515.7850,12357.1570,3297.9760,-2515.7850,12357.1570,3297.9760,-1303.2603,6564.0882,652.5741,13034.7669,,,
1780424791.812818,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93420,2.05000,2.05000,1.934200,-0.115800,nan,4.5600,4.5600,,-8.1500,2.9968,-2518.1880,12356.5590,3301.8470,-2518.1880,12356.5590,3301.8470,-1305.6633,6563.4902,656.4451,13035.6440,,,
1780424791.901116,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93650,2.05000,2.05000,1.936500,-0.113500,nan,4.5600,4.5600,,-8.1500,3.0849,-2514.5830,12342.1330,3289.2640,-2514.5830,12342.1330,3289.2640,-1302.0583,6549.0642,643.8621,13018.0887,,,
1780424791.989645,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92820,2.05000,2.05000,1.928200,-0.121800,nan,4.5600,4.5600,,-8.1500,3.1731,-2523.5970,12344.5380,3297.9760,-2523.5970,12344.5380,3297.9760,-1311.0723,6551.4692,652.5741,13024.3159,,,
1780424792.077811,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92420,2.05000,2.05000,1.924200,-0.125800,nan,4.5600,4.5600,,-8.1500,3.2613,-2520.5930,12353.5520,3301.8470,-2520.5930,12353.5520,3301.8470,-1308.0683,6560.4832,656.4451,13033.2586,,,
1780424792.165876,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92420,2.05000,2.05000,1.924200,-0.125800,nan,4.5600,4.5600,,-8.1500,3.3494,-2523.5970,12355.9520,3296.0400,-2523.5970,12355.9520,3296.0400,-1311.0723,6562.8832,650.6381,13034.6450,,,
1780424792.253886,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92290,2.05000,2.05000,1.922900,-0.127100,nan,4.5600,4.5600,,-8.1500,3.4375,-2516.3860,12340.9330,3292.1680,-2516.3860,12340.9330,3292.1680,-1303.8613,6547.8642,646.7661,13018.0335,,,
1780424792.342646,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92300,2.05000,2.05000,1.923000,-0.127000,nan,4.5600,4.5600,,-8.1500,3.5258,-2518.1880,12354.1540,3298.9430,-2518.1880,12354.1540,3298.9430,-1305.6633,6561.0852,653.5411,13032.6289,,,
1780424792.430690,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.92830,2.05000,2.05000,1.928300,-0.121700,nan,4.5600,4.5600,,-8.1500,3.6140,-2519.9920,12361.3650,3296.0400,-2519.9920,12361.3650,3296.0400,-1307.4673,6568.2962,650.6381,13039.0791,,,
1780424792.518551,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.94130,2.05000,2.05000,1.941300,-0.108700,nan,4.5600,4.5600,,-8.1500,3.7021,-2519.3900,12349.3440,3296.0400,-2519.3900,12349.3440,3296.0400,-1306.8653,6556.2752,650.6381,13027.5670,,,
1780424792.606833,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93410,2.05000,2.05000,1.934100,-0.115900,nan,4.5600,4.5600,,-8.1500,3.7903,-2518.1880,12339.7280,3302.8160,-2518.1880,12339.7280,3302.8160,-1305.6633,6546.6592,657.4141,13019.9367,,,
1780424792.694984,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.93030,2.05000,2.05000,1.930300,-0.119700,nan,4.5600,4.5600,,-8.1500,3.8783,-2518.7900,12345.7380,3297.0070,-2518.7900,12345.7380,3297.0070,-1306.2653,6552.6692,651.6051,13024.2775,,,
1780424792.783315,session_20260602_142058,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,205,2.05000,1.91580,2.05000,2.05000,1.915800,-0.134200,nan,4.5600,4.5600,,-8.1500,3.9666,-2519.9920,12367.9730,3300.8800,-2519.9920,12367.9730,3300.8800,-1307.4673,6574.9042,655.4781,13046.5675,,,
