trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.0000,1.961400,-1125.6720,9660.4690,2961.1110,-273.0888,3418.0516,873.2123,10166.6109
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.0560,1.965500,-1125.0710,9660.4690,2961.1110,-272.4878,3418.0516,873.2123,10166.5444
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.1438,1.965400,-1127.4750,9659.8710,2959.1750,-274.8918,3417.4536,871.2763,10165.6787
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.2323,1.962900,-1125.6720,9668.2820,2967.8880,-273.0888,3425.8646,879.9893,10176.0097
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.3197,1.971500,-1128.0760,9666.4800,2965.9530,-275.4928,3424.0626,878.0543,10173.9996
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.4085,1.963800,-1129.8790,9656.2660,2967.8880,-277.2958,3413.8486,879.9893,10165.0607
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.4957,1.957300,-1132.2830,9662.2720,2959.1750,-279.6998,3419.8546,871.2763,10168.4946
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.5838,1.953300,-1129.8790,9660.4690,2961.1110,-277.2958,3418.0516,873.2123,10167.0776
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.6718,1.963900,-1128.0760,9656.2660,2963.0480,-275.4928,3413.8486,875.1493,10163.4483
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.7599,1.963600,-1128.6770,9658.0640,2964.0150,-276.0938,3415.6466,876.1163,10165.5052
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.8481,1.963400,-1126.2730,9657.4710,2966.9200,-273.6898,3415.0536,879.0213,10165.5227
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,0.9362,1.958100,-1123.2680,9655.0610,2956.2720,-270.6848,3412.6436,868.3733,10159.7971
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.0245,1.960900,-1127.4750,9659.2690,2966.9200,-274.8918,3416.8516,879.0213,10167.3641
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.1123,1.968700,-1128.6770,9664.0790,2962.0800,-276.0938,3421.6616,874.1813,10170.6564
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.2004,1.966900,-1128.6770,9657.4710,2959.1750,-276.0938,3415.0536,871.2763,10163.5316
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.2883,1.954300,-1125.0710,9659.2690,2960.1440,-272.4878,3416.8516,872.2453,10165.1225
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.3766,1.947200,-1127.4750,9653.2630,2957.2400,-274.8918,3410.8456,869.3413,10158.8363
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.4645,1.949600,-1124.4700,9662.8740,2959.1750,-271.8868,3420.4566,871.2763,10168.1996
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.5524,1.959700,-1128.6770,9659.2690,2960.1440,-276.0938,3416.8516,872.2453,10165.5222
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.6407,1.959900,-1127.4750,9662.8740,2960.1440,-274.8918,3420.4566,872.2453,10168.8144
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.7286,1.959100,-1129.2780,9657.4710,2969.8240,-276.6948,3415.0536,881.9253,10166.7040
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.8167,1.959600,-1129.2780,9659.8710,2965.9530,-276.6948,3417.4536,878.0543,10167.8539
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,1.9047,1.959600,-1130.4800,9656.2660,2963.0480,-277.8968,3413.8486,875.1493,10163.7154
