time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1780449370.215024,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.0000,2.225700,-1141.8990,10439.9680,2917.5520,-267.4967,3820.0186,840.2371,10899.9530,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.302668,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.0514,2.224500,-1147.9100,10444.7730,2920.4560,-273.5077,3824.8236,843.1411,10905.9637,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.390917,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.1394,2.226100,-1137.6920,10436.9600,2920.4560,-263.2897,3817.0106,843.1411,10897.4098,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.477735,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.2274,2.224400,-1141.2980,10438.7670,2917.5520,-266.8957,3818.8176,840.2371,10898.7397,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.565949,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.3152,2.230800,-1144.9040,10443.5780,2927.2310,-270.5017,3823.6286,849.9161,10906.3196,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.654545,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.4034,2.226800,-1138.8940,10434.5600,2922.3910,-264.4917,3814.6106,845.0761,10895.7556,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.742975,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.4914,2.226100,-1135.8890,10437.5620,2914.6480,-261.4867,3817.6126,837.3331,10896.2433,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.830669,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.5798,2.223300,-1140.6970,10437.5620,2915.6170,-266.2947,3817.6126,838.3021,10897.0048,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449370.919785,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.6675,2.238000,-1137.6920,10438.7670,2913.6790,-263.2897,3818.8176,836.3641,10897.3265,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780449371.006899,session_20260602_211458,1,1,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5900,1.5900,,-0.0100,-2.1800,0.7559,2.235000,-1139.4960,10444.1750,2919.4880,-265.0937,3824.2256,842.1731,10904.2493,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
