trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.798000,-0.002000,1.4200,-2.0300,0.0000,none,1.4200,0.0000,-1103.4350,9473.5620,4834.1920,-267.2789,2875.7467,1630.0740,10692.7713
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797700,-0.002300,1.4200,-2.0300,0.0533,none,1.4200,0.0000,-1101.0310,9475.3650,4833.2230,-264.8749,2877.5497,1629.1050,10693.6830
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797600,-0.002400,1.4200,-2.0300,0.1413,none,1.4200,0.0000,-1104.0370,9472.9590,4835.1600,-267.8809,2875.1437,1631.0420,10692.7369
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797400,-0.002600,1.4200,-2.0300,0.2295,none,1.4200,0.0000,-1105.8390,9472.3570,4838.0640,-269.6829,2874.5417,1633.9460,10693.7033
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797300,-0.002700,1.4200,-2.0300,0.3174,none,1.4200,0.0000,-1103.4350,9479.5730,4835.1600,-267.2789,2881.7577,1631.0420,10698.5347
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.796600,-0.003400,1.4200,-2.0300,0.4062,none,1.4200,0.0000,-1105.2380,9470.5590,4834.1920,-269.0819,2872.7437,1630.0740,10690.2971
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.796200,-0.003800,1.4200,-2.0300,0.4945,none,1.4200,0.0000,-1104.6380,9481.3750,4834.1920,-268.4819,2883.5597,1630.0740,10699.8182
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.798600,-0.001400,1.4200,-2.0300,0.5816,none,1.4200,0.0000,-1105.8390,9472.3570,4826.4480,-269.6829,2874.5417,1622.3300,10688.4530
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.798100,-0.001900,1.4200,-2.0300,0.6697,none,1.4200,0.0000,-1102.8340,9469.9520,4833.2230,-266.6779,2872.1367,1629.1050,10689.0728
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797900,-0.002100,1.4200,-2.0300,0.7575,none,1.4200,0.0000,-1104.6380,9470.5590,4836.1270,-268.4819,2872.7437,1632.0090,10691.1102
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.796900,-0.003100,1.4200,-2.0300,0.8458,none,1.4200,0.0000,-1107.6420,9474.7670,4827.4160,-271.4859,2876.9517,1623.2980,10691.2125
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.796700,-0.003300,1.4200,-2.0300,0.9338,none,1.4200,0.0000,-1109.4450,9471.7600,4830.3200,-273.2889,2873.9447,1626.2020,10690.0466
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797900,-0.002100,1.4200,-2.0300,1.0224,none,1.4200,0.0000,-1104.0370,9466.9540,4831.2880,-267.8809,2869.1387,1627.1700,10685.6661
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797300,-0.002700,1.4200,-2.0300,1.1099,none,1.4200,0.0000,-1104.0370,9476.5600,4835.1600,-267.8809,2878.7447,1631.0420,10695.9272
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.797000,-0.003000,1.4200,-2.0300,1.1979,none,1.4200,0.0000,-1106.4400,9462.1430,4832.2560,-270.2839,2864.3277,1628.1380,10682.0905
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794700,-0.005300,1.4200,-2.0300,1.2859,none,1.4200,0.0000,-1108.2440,9473.5620,4833.2230,-272.0879,2875.7467,1629.1050,10692.8306
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795400,-0.004600,1.4200,-2.0300,1.3739,none,1.4200,0.0000,-1107.6420,9475.9620,4832.2560,-271.4859,2878.1467,1628.1380,10694.4577
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794700,-0.005300,1.4200,-2.0300,1.4619,none,1.4200,0.0000,-1105.2380,9471.1570,4835.1600,-269.0819,2873.3417,1631.0420,10691.2646
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795200,-0.004800,1.4200,-2.0300,1.5501,none,1.4200,0.0000,-1107.6420,9472.3570,4828.3830,-271.4859,2874.5417,1624.2650,10689.5136
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795300,-0.004700,1.4200,-2.0300,1.6381,none,1.4200,0.0000,-1106.4400,9469.3540,4828.3830,-270.2839,2871.5387,1624.2650,10686.7281
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795500,-0.004500,1.4200,-2.0300,1.7262,none,1.4200,0.0000,-1102.8340,9471.7600,4836.1270,-266.6779,2873.9447,1632.0090,10691.9879
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794500,-0.005500,1.4200,-2.0300,1.8143,none,1.4200,0.0000,-1112.4510,9471.7600,4826.4480,-276.2949,2873.9447,1622.3300,10688.6101
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794300,-0.005700,1.4200,-2.0300,1.9024,none,1.4200,0.0000,-1104.0370,9475.3650,4832.2560,-267.8809,2877.5497,1628.1380,10693.5559
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795000,-0.005000,1.4200,-2.0300,1.9904,none,1.4200,0.0000,-1106.4400,9469.9520,4835.1600,-270.2839,2872.1367,1631.0420,10690.3214
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795200,-0.004800,1.4200,-2.0300,2.0784,none,1.4200,0.0000,-1101.6320,9468.7510,4829.3510,-265.4759,2870.9357,1625.2330,10686.1345
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794800,-0.005200,1.4200,-2.0300,2.1665,none,1.4200,0.0000,-1111.2480,9472.9590,4828.3830,-275.0919,2875.1437,1624.2650,10690.4213
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795000,-0.005000,1.4200,-2.0300,2.2548,none,1.4200,0.0000,-1107.0410,9473.5620,4832.2560,-270.8849,2875.7467,1628.1380,10692.2689
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794200,-0.005800,1.4200,-2.0300,2.3426,none,1.4200,0.0000,-1108.8450,9474.1600,4835.1600,-272.6889,2876.3447,1631.0420,10694.2983
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794900,-0.005100,1.4200,-2.0300,2.4310,none,1.4200,0.0000,-1104.6380,9471.7600,4833.2230,-268.4819,2873.9447,1629.1050,10690.8609
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.792700,-0.007300,1.4200,-2.0300,2.5188,none,1.4200,0.0000,-1107.6420,9475.9620,4831.2880,-271.4859,2878.1467,1627.1700,10694.0203
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794000,-0.006000,1.4200,-2.0300,2.6067,none,1.4200,0.0000,-1106.4400,9471.1570,4831.2880,-270.2839,2873.3417,1627.1700,10689.6384
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794100,-0.005900,1.4200,-2.0300,2.6949,none,1.4200,0.0000,-1104.6380,9469.9520,4838.0640,-268.4819,2872.1367,1633.9460,10691.4489
3,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.793400,-0.006600,1.4200,-2.0300,2.7829,none,1.4200,0.0000,-1107.6420,9471.1570,4833.2230,-271.4859,2873.3417,1629.1050,10690.6375
