# Stage J session 20260603_120909
# metadata={'sample_id': '', 'magnet_id': '', 'head_id': 'stamp_head_v1', 'force_calibration_id': 'force_calibration_20260602_190856', 'displacement_zero_id': 'stageD_session_20260602_201421'}
# F_HOLDS=[(180, 1.8)], HOLD_S=120.0, N_TRIALS=3
# live_tare_N=-2.90140
# B0=(-853.015697368421, 6435.980736842105, 3336.3073157894737)
# trial_start_pos=-0.0000
[trial 1 hold 180] contact_pos=-0.5900 F=0.1137 baseline=0.0217 dF_base=0.0920 dF_step=0.0400 slope=0.4444
[trial 1 hold 180 acquire] iter=1 targetF=1.8000 F=0.1145 err=1.6855 d=0.0000 pos=-0.5900
[trial 1 hold 180 acquire] iter=2 targetF=1.8000 F=0.2019 err=1.5981 d=0.1600 pos=-0.7500
[trial 1 hold 180 acquire] iter=3 targetF=1.8000 F=0.3049 err=1.4951 d=0.3200 pos=-0.9100
[trial 1 hold 180 acquire] iter=4 targetF=1.8000 F=0.4330 err=1.3670 d=0.4800 pos=-1.0700
[trial 1 hold 180 acquire] iter=5 targetF=1.8000 F=0.5777 err=1.2223 d=0.6500 pos=-1.2400
[trial 1 hold 180 acquire] iter=6 targetF=1.8000 F=0.7567 err=1.0433 d=0.8200 pos=-1.4100
[trial 1 hold 180 acquire] iter=7 targetF=1.8000 F=0.9761 err=0.8239 d=0.9800 pos=-1.5700
[trial 1 hold 180 acquire] iter=8 targetF=1.8000 F=1.1626 err=0.6374 d=1.1000 pos=-1.6900
[trial 1 hold 180 acquire] iter=9 targetF=1.8000 F=1.3713 err=0.4287 d=1.2200 pos=-1.8100
[trial 1 hold 180 acquire] iter=10 targetF=1.8000 F=1.5237 err=0.2763 d=1.3100 pos=-1.9000
[trial 1 hold 180 acquire] iter=11 targetF=1.8000 F=1.7090 err=0.0910 d=1.4100 pos=-2.0000
[trial 1 hold 180 acquire] iter=12 targetF=1.8000 F=1.8070 err=-0.0070 d=1.4400 pos=-2.0300
[trial 1 hold 180] done n=97 corrections=28 dF=-0.013200 dd=+0.060000 dB=-0.9809
[trial 2 hold 180] contact_pos=-0.6300 F=0.1271 baseline=0.0281 dF_base=0.0990 dF_step=0.0436 slope=0.4365
[trial 2 hold 180 acquire] iter=1 targetF=1.8000 F=0.1256 err=1.6744 d=0.0000 pos=-0.6300
[trial 2 hold 180 acquire] iter=2 targetF=1.8000 F=0.2167 err=1.5833 d=0.1600 pos=-0.7900
[trial 2 hold 180 acquire] iter=3 targetF=1.8000 F=0.3299 err=1.4701 d=0.3200 pos=-0.9500
[trial 2 hold 180 acquire] iter=4 targetF=1.8000 F=0.4668 err=1.3332 d=0.4900 pos=-1.1200
[trial 2 hold 180 acquire] iter=5 targetF=1.8000 F=0.6348 err=1.1652 d=0.6600 pos=-1.2900
[trial 2 hold 180 acquire] iter=6 targetF=1.8000 F=0.8312 err=0.9688 d=0.8200 pos=-1.4500
[trial 2 hold 180 acquire] iter=7 targetF=1.8000 F=0.9974 err=0.8026 d=0.9400 pos=-1.5700
[trial 2 hold 180 acquire] iter=8 targetF=1.8000 F=1.1915 err=0.6085 d=1.0600 pos=-1.6900
[trial 2 hold 180 acquire] iter=9 targetF=1.8000 F=1.4063 err=0.3937 d=1.1800 pos=-1.8100
[trial 2 hold 180 acquire] iter=10 targetF=1.8000 F=1.5673 err=0.2327 d=1.2700 pos=-1.9000
[trial 2 hold 180 acquire] iter=11 targetF=1.8000 F=1.7599 err=0.0401 d=1.3700 pos=-2.0000
[trial 2 hold 180 acquire] iter=12 targetF=1.8000 F=1.8636 err=-0.0636 d=1.4000 pos=-2.0300
[trial 2 hold 180 acquire] iter=13 targetF=1.8000 F=1.6529 err=0.1471 d=1.3700 pos=-2.0000
[trial 2 hold 180 acquire] iter=14 targetF=1.8000 F=1.8469 err=-0.0469 d=1.4000 pos=-2.0300
[trial 2 hold 180 acquire] iter=15 targetF=1.8000 F=1.6309 err=0.1691 d=1.3700 pos=-2.0000
[trial 2 hold 180 acquire] iter=16 targetF=1.8000 F=1.8361 err=-0.0361 d=1.4000 pos=-2.0300
[trial 2 hold 180 acquire] iter=17 targetF=1.8000 F=1.6118 err=0.1882 d=1.3700 pos=-2.0000
