time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1780510363.421088,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.761300,1.80000,1.761300,-0.038700,nan,1.3200,1.3200,,-2.0000,0.0000,-1137.0910,9144.8150,5202.0310,-1137.0910,9144.8150,5202.0310,-262.4263,2718.3045,1705.4329,10582.1427,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.421088,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.761400,1.80000,1.761400,-0.038600,nan,1.3200,1.3200,,-2.0000,0.0005,-1141.2980,9155.0290,5206.8720,-1141.2980,9155.0290,5206.8720,-266.6333,2728.5185,1710.2739,10593.8016,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.427886,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.761400,1.80000,1.761400,-0.038600,nan,1.3200,1.3200,,-2.0000,0.0008,-1138.2930,9147.2160,5206.8720,-1138.2930,9147.2160,5206.8720,-263.6283,2720.7055,1710.2739,10586.7270,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.516812,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.759900,1.80000,1.759900,-0.040100,nan,1.3200,1.3200,,-2.0000,0.0071,-1140.0960,9146.0160,5212.6790,-1140.0960,9146.0160,5212.6790,-265.4313,2719.5055,1716.0809,10588.7417,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.604697,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.759400,1.80000,1.759400,-0.040600,nan,1.3200,1.3200,,-2.0000,0.0959,-1134.6870,9150.2240,5203.9680,-1134.6870,9150.2240,5203.9680,-260.0223,2723.7135,1707.3699,10587.5114,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.693283,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.759800,1.80000,1.759800,-0.040200,nan,1.3200,1.3200,,-2.0000,0.1841,-1140.0960,9149.6260,5199.1270,-1140.0960,9149.6260,5199.1270,-265.4313,2723.1155,1702.5289,10585.1970,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.781605,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.759200,1.80000,1.759200,-0.040800,nan,1.3200,1.3200,,-2.0000,0.2723,-1133.4850,9150.8210,5210.7440,-1133.4850,9150.8210,5210.7440,-258.8203,2724.3105,1714.1459,10591.2306,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.870142,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758600,1.80000,1.758600,-0.041400,nan,1.3200,1.3200,,-2.0000,0.3604,-1134.0860,9144.8150,5199.1270,-1134.0860,9144.8150,5199.1270,-259.4213,2718.3045,1702.5289,10580.3929,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510363.958046,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.760000,1.80000,1.760000,-0.040000,nan,1.3200,1.3200,,-2.0000,0.4490,-1134.6870,9149.0230,5203.0000,-1134.6870,9149.0230,5203.0000,-260.0223,2722.5125,1706.4019,10585.9976,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510364.046171,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.759200,1.80000,1.759200,-0.040800,nan,1.3200,1.3200,,-2.0000,0.5373,-1135.2890,9151.4230,5213.6480,-1135.2890,9151.4230,5213.6480,-260.6243,2724.9125,1717.0499,10593.3729,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510364.134772,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.757800,1.80000,1.757800,-0.042200,nan,1.3200,1.3200,,-2.0000,0.6257,-1139.4960,9152.6240,5208.8070,-1139.4960,9152.6240,5208.8070,-264.8313,2726.1135,1712.2089,10592.4807,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510364.222924,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.757700,1.80000,1.757700,-0.042300,nan,1.3200,1.3200,,-2.0000,0.7140,-1134.6870,9149.0230,5207.8400,-1134.6870,9149.0230,5207.8400,-260.0223,2722.5125,1711.2419,10588.3773,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510364.311032,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758200,1.80000,1.758200,-0.041800,nan,1.3200,1.3200,,-2.0000,0.8023,-1137.0910,9153.8290,5207.8400,-1137.0910,9153.8290,5207.8400,-262.4263,2727.3185,1711.2419,10592.7881,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510364.399772,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758400,1.80000,1.758400,-0.041600,nan,1.3200,1.3200,,-2.0000,0.8908,-1146.1060,9156.2340,5206.8720,-1146.1060,9156.2340,5206.8720,-271.4413,2729.7235,1710.2739,10595.3620,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780510364.488060,session_20260603_135934,3,3,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758200,1.80000,1.758200,-0.041800,nan,1.3200,1.3200,,-2.0000,0.9791,-1135.8890,9151.4230,5205.9060,-1135.8890,9151.4230,5205.9060,-261.2243,2724.9125,1709.3079,10589.6291,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
