time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1780518085.213086,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.0000,1.848000,-1147.9100,9347.9520,5327.8720,-280.3114,3023.8271,1847.4347,10820.7266,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.301501,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.0515,1.847100,-1153.3180,9340.7360,5333.6790,-285.7194,3016.6111,1853.2417,10817.9306,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.390470,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.1399,1.847400,-1156.3240,9343.1410,5336.5840,-288.7254,3019.0161,1856.1467,10821.7604,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.478498,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.2284,1.846800,-1157.5250,9344.9440,5333.6790,-289.9264,3020.8191,1853.2417,10822.0134,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.567010,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.3168,1.847700,-1150.9140,9342.5430,5338.5200,-283.3154,3018.4181,1858.0827,10821.6223,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.655772,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.4054,1.848100,-1151.5150,9343.1410,5327.8720,-283.9164,3019.0161,1847.4347,10816.9538,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.743691,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.4938,1.846200,-1158.1260,9340.1430,5332.7110,-290.5274,3016.0181,1852.2737,10817.4550,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.831767,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.5821,1.846300,-1152.1170,9339.5360,5326.9060,-284.5184,3015.4111,1846.4687,10813.4284,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518085.920320,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.6710,1.847700,-1151.5150,9339.5360,5333.6790,-283.9164,3015.4111,1853.2417,10816.7024,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.009086,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.7592,1.846200,-1150.3130,9341.9410,5332.7110,-282.7144,3017.8161,1852.2737,10818.1740,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.097651,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.8477,1.846900,-1155.1210,9338.3350,5339.4880,-287.5224,3014.2101,1859.0507,10818.9157,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.186631,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,0.9360,1.845600,-1154.5200,9339.5360,5333.6790,-286.9214,3015.4111,1853.2417,10817.0227,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.274642,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.0249,1.845000,-1155.1210,9344.3460,5325.9360,-287.5224,3020.2211,1845.4987,10817.4258,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.363257,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.1129,1.843300,-1152.1170,9342.5430,5333.6790,-284.5184,3018.4181,1853.2417,10819.3630,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.451060,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.2016,1.844700,-1154.5200,9341.9410,5334.6480,-286.9214,3017.8161,1854.2107,10819.5770,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.540150,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.2899,1.845400,-1155.1210,9341.3430,5334.6480,-287.5224,3017.2181,1854.2107,10819.1249,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.628600,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.3785,1.843400,-1152.1170,9337.7330,5335.6160,-284.5184,3013.6081,1855.1787,10816.1652,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.717097,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.4670,1.843000,-1153.9190,9344.3460,5332.7110,-286.3204,3020.2211,1852.2737,10820.6348,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.805538,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.5554,1.844300,-1153.3180,9338.3350,5328.8400,-285.7194,3014.2101,1848.4027,10813.4721,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780518086.893539,session_20260603_161958,1,1,1,O_blind,direct_target,holding,disp_path_hold,direct_loading,150,1.5000,1.8000,1.4800,1.4800,,-0.0200,-2.0700,1.6438,1.843900,-1149.7120,9346.1490,5342.3910,-282.1134,3022.0241,1861.9537,10826.5175,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
