time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1780937983.647996,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.0000,1.434800,-646.0740,-307.1100,3853.6080,-171.7586,-1424.1572,1432.0120,3919.4416,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937983.735602,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.0478,1.434400,-646.0740,-308.3120,3852.6400,-171.7586,-1425.3592,1431.0440,3918.5843,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937983.823249,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.1355,1.435300,-644.2710,-307.1100,3857.4800,-169.9556,-1424.1572,1435.8840,3922.9522,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937983.911920,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.2235,1.434200,-644.8730,-311.9180,3849.7360,-170.5576,-1428.9652,1428.1400,3915.8168,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937983.999426,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.3114,1.432400,-641.8670,-302.9030,3849.7360,-167.5516,-1419.9502,1428.1400,3914.6150,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.087456,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.3995,1.431600,-645.4730,-311.3170,3856.5110,-171.1576,-1428.3642,1434.9150,3922.5286,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.176222,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.4876,1.432200,-649.6800,-310.1150,3854.5760,-175.3646,-1427.1622,1432.9800,3921.2258,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.264458,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.5758,1.430400,-641.2660,-305.3070,3857.4800,-166.9506,-1422.3542,1435.8840,3922.3190,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.352504,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.6640,1.432900,-644.2710,-310.1150,3858.4490,-169.9556,-1427.1622,1436.8530,3924.1413,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.439948,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.7520,1.432300,-643.0690,-302.3020,3855.5440,-168.7536,-1419.3492,1433.9480,3920.4775,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.528178,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.8401,1.430800,-644.2710,-303.5040,3854.5760,-169.9556,-1420.5512,1432.9800,3919.8158,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.616131,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,0.9282,1.431000,-644.2710,-309.5140,3851.6720,-169.9556,-1426.5612,1430.0760,3917.4304,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.704349,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.0163,1.431100,-646.0740,-307.7110,3852.6400,-171.7586,-1424.7582,1431.0440,3918.5371,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.793105,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.1044,1.429500,-644.2710,-307.7110,3851.6720,-169.9556,-1424.7582,1430.0760,3917.2884,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.880157,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.1924,1.430600,-645.4730,-307.1100,3851.6720,-171.1576,-1424.1572,1430.0760,3917.4391,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937984.968321,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.2804,4.351200,-649.6800,-305.3070,3843.9280,-175.3646,-1422.3542,1422.3320,3910.3809,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937985.057437,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.3685,1.428100,-648.4780,-313.7220,3848.7680,-174.1626,-1430.7692,1427.1720,3915.6047,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937985.145166,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.4568,1.429600,-638.2610,-306.5090,3850.7040,-163.9456,-1423.5562,1429.1080,3915.2581,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780937985.233289,session_20260608_125829,1,1,1,same_d_diff_f_old_timing_probe,direct_target,holding,disp_path_hold,direct_loading,160,1.6000,1.9000,1.5800,1.5800,,-0.0200,-2.1500,1.5448,1.429500,-642.4680,-305.3070,3851.6720,-168.1526,-1422.3542,1430.0760,3916.8041,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
