time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1780963281.742775,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.0000,5.806400,-730.8150,4651.1360,8562.9270,-285.1526,1824.9686,5403.1636,9771.9433,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963281.830237,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.0523,5.805500,-739.2290,4656.5460,8556.1540,-293.5666,1830.3786,5396.3906,9769.2196,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963281.918810,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.1401,5.805300,-741.6330,4650.5360,8566.8000,-295.9706,1824.3686,5407.0366,9775.8666,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.003927,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.2281,5.803600,-730.8150,4650.5360,8562.9270,-285.1526,1824.3686,5403.1636,9771.6577,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.095221,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.3163,5.801200,-732.0170,4654.1430,8561.9620,-286.3546,1827.9756,5402.1986,9772.6194,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.182950,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.4041,5.801800,-738.0270,4654.1430,8565.8340,-292.3646,1827.9756,5406.0706,9776.4637,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.270808,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.4921,5.801700,-735.6230,4657.1490,8560.0260,-289.9606,1830.9816,5400.2626,9772.6262,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.359726,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.5801,5.798800,-735.0220,4651.7380,8560.9920,-289.3596,1825.5706,5401.2286,9770.8499,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.447192,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.6686,5.796100,-736.8250,4654.1430,8562.9270,-291.1626,1827.9756,5403.1636,9773.8261,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1780963282.535254,session_20260608_194434,3,3,1,same_d_diff_f,direct_target,holding,disp_path_hold,direct_loading,280,2.8000,3.1000,2.7900,2.7900,,-0.0100,-4.4600,0.7562,5.796500,-741.0320,4657.1490,8559.0560,-295.3696,1830.9816,5399.2926,9772.1853,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
