trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.489400,-0.010600,2.4700,-4.2100,0.0000,none,2.4700,0.0000,-716.9920,4488.8660,7985.0310,-254.5947,1612.9991,4685.8516,9188.2923
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.488200,-0.011800,2.4700,-4.2100,0.0537,none,2.4700,0.0000,-716.3910,4488.2640,7980.1920,-253.9937,1612.3971,4681.0126,9183.7462
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.486900,-0.013100,2.4700,-4.2100,0.1412,none,2.4700,0.0000,-712.7850,4490.6710,7987.9360,-250.3877,1614.8041,4688.7566,9191.3715
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.488000,-0.012000,2.4700,-4.2100,0.2296,none,2.4700,0.0000,-712.1840,4490.0710,7980.1920,-249.7867,1614.2041,4681.0126,9184.3023
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.488500,-0.011500,2.4700,-4.2100,0.3180,none,2.4700,0.0000,-719.3960,4488.8660,7985.0310,-256.9987,1612.9991,4685.8516,9188.4802
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.485800,-0.014200,2.4700,-4.2100,0.4051,none,2.4700,0.0000,-717.5930,4488.8660,7984.0640,-255.1957,1612.9991,4684.8846,9187.4989
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.486800,-0.013200,2.4700,-4.2100,0.4932,none,2.4700,0.0000,-718.1940,4493.0740,7982.1270,-255.7967,1617.2071,4682.9476,9187.9197
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.486500,-0.013500,2.4700,-4.2100,0.5812,none,2.4700,0.0000,-715.1890,4490.0710,7985.0310,-252.7917,1614.2041,4685.8516,9188.7406
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.486400,-0.013600,2.4700,-4.2100,0.6694,none,2.4700,0.0000,-719.3960,4485.2630,7988.9060,-256.9987,1609.3961,4689.7266,9190.0889
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.483700,-0.016300,2.4700,-4.2100,0.7574,none,2.4700,0.0000,-723.0020,4487.0640,7985.0310,-260.6047,1611.1971,4685.8516,9187.8831
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.484200,-0.015800,2.4700,-4.2100,0.8458,none,2.4700,0.0000,-717.5930,4487.0640,7984.0640,-255.1957,1611.1971,4684.8846,9186.6186
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.483700,-0.016300,2.4700,-4.2100,0.9337,none,2.4700,0.0000,-716.3910,4488.2640,7980.1920,-253.9937,1612.3971,4681.0126,9183.7462
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.483900,-0.016100,2.4700,-4.2100,1.0217,none,2.4700,0.0000,-716.3910,4490.0710,7986.9680,-253.9937,1614.2041,4687.7886,9190.5175
3,450,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4.50000,4.484100,-0.015900,2.4700,-4.2100,1.1103,none,2.4700,0.0000,-718.1940,4486.4630,7978.2560,-255.7967,1610.5961,4679.0766,9181.3246
