# APMD fixed-force passive creep session 20260609_140100
# metadata={'sample_id': '', 'magnet_id': '', 'head_id': 'stamp_head_v1', 'force_calibration_id': 'force_calibration_20260602_190856', 'displacement_zero_id': 'stageD_session_20260602_201421'}
# F_HOLDS=[(450, 4.5)], HOLD_S=180.0, N_TRIALS=3
# live_tare_N=-2.94080
# B0=(-465.0416556291391, 2867.676284768212, 3307.835238410596)
# trial_start_pos=-0.0000
[trial 1 hold 450] contact_pos=-1.6900 F=0.2028 baseline=0.1132 dF_base=0.0896 dF_step=0.0372 slope=0.3100
[trial 1 hold 450 acquire] iter=1 targetF=4.5000 F=0.2020 err=4.2980 d=0.0000 pos=-1.6900
[trial 1 hold 450 acquire] iter=2 targetF=4.5000 F=0.2811 err=4.2189 d=0.1700 pos=-1.8600
[trial 1 hold 450 acquire] iter=3 targetF=4.5000 F=0.3618 err=4.1382 d=0.3400 pos=-2.0300
[trial 1 hold 450 acquire] iter=4 targetF=4.5000 F=0.4698 err=4.0302 d=0.5100 pos=-2.2000
[trial 1 hold 450 acquire] iter=5 targetF=4.5000 F=0.5883 err=3.9117 d=0.6600 pos=-2.3500
[trial 1 hold 450 acquire] iter=6 targetF=4.5000 F=0.7301 err=3.7699 d=0.8200 pos=-2.5100
[trial 1 hold 450 acquire] iter=7 targetF=4.5000 F=0.8984 err=3.6016 d=0.9800 pos=-2.6700
[trial 1 hold 450 acquire] iter=8 targetF=4.5000 F=1.0855 err=3.4145 d=1.1400 pos=-2.8300
[trial 1 hold 450 acquire] iter=9 targetF=4.5000 F=1.2996 err=3.2004 d=1.3100 pos=-3.0000
[trial 1 hold 450 acquire] iter=10 targetF=4.5000 F=1.5922 err=2.9078 d=1.4800 pos=-3.1700
[trial 1 hold 450 acquire] iter=11 targetF=4.5000 F=1.9139 err=2.5861 d=1.6400 pos=-3.3300
[trial 1 hold 450 acquire] iter=12 targetF=4.5000 F=2.2498 err=2.2502 d=1.8100 pos=-3.5000
[trial 1 hold 450 acquire] iter=13 targetF=4.5000 F=2.6900 err=1.8100 d=1.9800 pos=-3.6700
[trial 1 hold 450 acquire] iter=14 targetF=4.5000 F=3.1670 err=1.3330 d=2.1400 pos=-3.8300
[trial 1 hold 450 acquire] iter=15 targetF=4.5000 F=3.7178 err=0.7822 d=2.3100 pos=-4.0000
[trial 1 hold 450 acquire] iter=16 targetF=4.5000 F=4.2257 err=0.2743 d=2.4400 pos=-4.1300
[trial 1 hold 450 acquire] iter=17 targetF=4.5000 F=4.6147 err=-0.1147 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=18 targetF=4.5000 F=3.7269 err=0.7731 d=2.4400 pos=-4.1300
[trial 1 hold 450 acquire] iter=19 targetF=4.5000 F=4.7927 err=-0.2927 d=2.5600 pos=-4.2500
[trial 1 hold 450 acquire] iter=20 targetF=4.5000 F=3.4823 err=1.0177 d=2.4400 pos=-4.1300
[trial 1 hold 450 acquire] iter=21 targetF=4.5000 F=4.9547 err=-0.4547 d=2.6000 pos=-4.2900
[trial 1 hold 450 acquire] iter=22 targetF=4.5000 F=3.5886 err=0.9114 d=2.4800 pos=-4.1700
[trial 1 hold 450 acquire] iter=23 targetF=4.5000 F=4.9132 err=-0.4132 d=2.6000 pos=-4.2900
[trial 1 hold 450 acquire] iter=24 targetF=4.5000 F=3.5351 err=0.9649 d=2.4800 pos=-4.1700
[trial 1 hold 450 acquire] iter=25 targetF=4.5000 F=4.8787 err=-0.3787 d=2.6000 pos=-4.2900
[trial 1 hold 450 acquire] iter=26 targetF=4.5000 F=3.4968 err=1.0032 d=2.4800 pos=-4.1700
[trial 1 hold 450 acquire] iter=27 targetF=4.5000 F=5.1140 err=-0.6140 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=28 targetF=4.5000 F=3.6791 err=0.8209 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=29 targetF=4.5000 F=5.0746 err=-0.5746 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=30 targetF=4.5000 F=3.6362 err=0.8638 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=31 targetF=4.5000 F=5.0487 err=-0.5487 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=32 targetF=4.5000 F=3.6043 err=0.8957 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=33 targetF=4.5000 F=5.0291 err=-0.5291 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=34 targetF=4.5000 F=3.5849 err=0.9151 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=35 targetF=4.5000 F=5.0134 err=-0.5134 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=36 targetF=4.5000 F=3.5650 err=0.9350 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=37 targetF=4.5000 F=5.0003 err=-0.5003 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=38 targetF=4.5000 F=3.5437 err=0.9563 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=39 targetF=4.5000 F=4.9866 err=-0.4866 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=40 targetF=4.5000 F=3.5347 err=0.9653 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=41 targetF=4.5000 F=4.9769 err=-0.4769 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=42 targetF=4.5000 F=3.5194 err=0.9806 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=43 targetF=4.5000 F=4.9667 err=-0.4667 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=44 targetF=4.5000 F=3.5071 err=0.9929 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=45 targetF=4.5000 F=4.9601 err=-0.4601 d=2.6400 pos=-4.3300
[trial 1 hold 450 acquire] iter=46 targetF=4.5000 F=3.4890 err=1.0110 d=2.5200 pos=-4.2100
[trial 1 hold 450 acquire] iter=47 targetF=4.5000 F=5.2556 err=-0.7556 d=2.6900 pos=-4.3800
[trial 1 hold 450 acquire] iter=48 targetF=4.5000 F=3.7443 err=0.7557 d=2.5600 pos=-4.2500
[trial 1 hold 450 acquire] iter=49 targetF=4.5000 F=5.2274 err=-0.7274 d=2.6900 pos=-4.3800
[trial 1 hold 450 acquire] iter=50 targetF=4.5000 F=3.6977 err=0.8023 d=2.5400 pos=-4.2300
[trial 1 hold 450 acquire] iter=51 targetF=4.5000 F=5.0322 err=-0.5322 d=2.6700 pos=-4.3600
[trial 1 hold 450 acquire] iter=52 targetF=4.5000 F=3.5571 err=0.9429 d=2.5400 pos=-4.2300
[trial 1 hold 450 acquire] iter=53 targetF=4.5000 F=5.0302 err=-0.5302 d=2.6700 pos=-4.3600
[trial 1 hold 450 acquire] iter=54 targetF=4.5000 F=3.5534 err=0.9466 d=2.5400 pos=-4.2300
[trial 1 hold 450 acquire] iter=55 targetF=4.5000 F=5.0279 err=-0.5279 d=2.6700 pos=-4.3600
[trial 1 hold 450 acquire] iter=56 targetF=4.5000 F=3.5464 err=0.9536 d=2.5400 pos=-4.2300
[trial 1 hold 450 acquire] iter=57 targetF=4.5000 F=5.0225 err=-0.5225 d=2.6700 pos=-4.3600
