time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781041880.375875,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.760000,1.80000,1.760000,-0.040000,nan,1.5200,1.5200,,-3.5500,0.0000,-793.9200,2604.7330,6213.5920,-793.9200,2604.7330,6213.5920,-310.3603,241.0707,2577.1721,6784.0746,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.375875,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.760300,1.80000,1.760300,-0.039700,nan,1.5200,1.5200,,-3.5500,0.0005,-797.5260,2605.3340,6219.4000,-797.5260,2605.3340,6219.4000,-313.9663,241.6717,2582.9801,6790.0478,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.376963,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758500,1.80000,1.758500,-0.041500,nan,1.5200,1.5200,,-3.5500,0.0009,-788.5110,2604.1320,6213.5920,-788.5110,2604.1320,6213.5920,-304.9513,240.4697,2577.1721,6783.2130,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.461644,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.757900,1.80000,1.757900,-0.042100,nan,1.5200,1.5200,,-3.5500,0.0012,-797.5260,2605.3340,6221.3360,-797.5260,2605.3340,6221.3360,-313.9663,241.6717,2584.9161,6791.8212,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.550437,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.756900,1.80000,1.756900,-0.043100,nan,1.5200,1.5200,,-3.5500,0.0862,-798.7280,2602.9290,6223.2720,-798.7280,2602.9290,6223.2720,-315.1683,239.2667,2586.8521,6792.8139,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.638487,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.756800,1.80000,1.756800,-0.043200,nan,1.5200,1.5200,,-3.5500,0.1745,-794.5210,2602.3290,6229.0800,-794.5210,2602.3290,6229.0800,-310.9613,238.6667,2592.6601,6797.4126,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.727132,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.757600,1.80000,1.757600,-0.042400,nan,1.5200,1.5200,,-3.5500,0.2632,-795.1230,2603.5310,6216.4960,-795.1230,2603.5310,6216.4960,-311.5633,239.8687,2580.0761,6786.4141,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.815296,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.757400,1.80000,1.757400,-0.042600,nan,1.5200,1.5200,,-3.5500,0.3513,-790.9150,2605.9340,6224.2400,-790.9150,2605.9340,6224.2400,-307.3553,242.2717,2587.8201,6793.9386,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.903710,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758800,1.80000,1.758800,-0.041200,nan,1.5200,1.5200,,-3.5500,0.4398,-791.5160,2599.3240,6215.5280,-791.5160,2599.3240,6215.5280,-307.9563,235.6617,2579.1081,6783.4925,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041880.991917,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.758100,1.80000,1.758100,-0.041900,nan,1.5200,1.5200,,-3.5500,0.5282,-798.7280,2602.3290,6216.4960,-798.7280,2602.3290,6216.4960,-315.1683,238.6667,2580.0761,6786.3764,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781041881.080528,session_20260609_173842,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.757500,1.80000,1.757500,-0.042500,nan,1.5200,1.5200,,-3.5500,0.6164,-796.3240,2605.3340,6224.2400,-796.3240,2605.3340,6224.2400,-312.7643,241.6717,2587.8201,6794.3403,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
