time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781045051.864373,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.0000,4.762900,-1381.6980,1861.2960,9349.9090,-1005.6153,-144.9992,5300.2810,9632.9804,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045051.953015,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.0599,4.763000,-1379.2940,1857.0890,9356.6880,-1003.2113,-149.2062,5307.0600,9638.4045,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.041251,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.1479,4.762600,-1379.8950,1860.0940,9359.5940,-1003.8123,-146.2012,5309.9660,9641.8909,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.130104,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.2361,4.761400,-1372.0820,1859.4930,9365.4020,-995.9993,-146.8022,5315.7740,9646.2987,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.218814,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.3247,4.761600,-1373.8850,1855.8870,9356.6880,-997.8023,-150.4082,5307.0600,9637.4004,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.306689,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.4133,4.760400,-1380.4960,1855.2860,9364.4320,-1004.4133,-151.0092,5314.8040,9645.7474,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.395039,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.5015,4.758500,-1385.9050,1854.6850,9358.6240,-1009.8223,-151.6102,5308.9960,9640.7693,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.483377,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.5901,4.756700,-1380.4960,1855.8870,9356.6880,-1004.4133,-150.4082,5307.0600,9638.3451,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.571949,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.6782,4.756500,-1378.6930,1858.2910,9359.5940,-1002.6103,-148.0042,5309.9660,9641.3713,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.660877,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.7668,4.756600,-1376.8900,1854.6850,9360.5600,-1000.8073,-151.6102,5310.9320,9641.3571,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.748725,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.8555,4.756300,-1376.2890,1859.4930,9354.7510,-1000.2063,-146.8022,5305.1230,9636.5581,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.837247,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,0.9436,4.755400,-1385.9050,1861.2960,9365.4020,-1009.8223,-144.9992,5315.7740,9648.6222,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045052.925240,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.0320,4.754600,-1375.6880,1851.0790,9364.4320,-999.6053,-155.2162,5314.8040,9644.2521,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.014002,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.1204,4.753600,-1378.6930,1862.4980,9355.7170,-1002.6103,-143.7972,5306.0890,9638.4197,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.101937,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.2092,4.751800,-1382.2990,1857.0890,9360.5600,-1006.2163,-149.2062,5310.9320,9642.5937,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.191338,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.2974,4.748900,-1378.0920,1865.5030,9357.6580,-1002.0093,-140.7922,5308.0300,9640.7988,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.278520,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.3859,4.750800,-1380.4960,1857.6900,9359.5940,-1004.4133,-148.6052,5309.9660,9641.5134,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.367696,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.4739,4.749700,-1376.8900,1858.8920,9359.5940,-1000.8073,-147.4032,5309.9660,9641.2295,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.456114,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.5626,4.748900,-1384.1020,1858.8920,9357.6580,-1008.0193,-147.4032,5308.0300,9640.3828,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.544442,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.6510,4.747400,-1380.4960,1858.2910,9364.4320,-1004.4133,-148.0042,5314.8040,9646.3258,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.633051,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.7392,4.747000,-1382.2990,1863.7000,9353.7810,-1006.2163,-142.5952,5304.1530,9637.2894,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.721318,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.8278,4.746100,-1378.0920,1859.4930,9353.7810,-1002.0093,-146.8022,5304.1530,9635.8742,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.809920,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,1.9164,4.747300,-1379.2940,1858.2910,9351.8500,-1003.2113,-148.0042,5302.2220,9633.9398,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.898326,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.0051,4.747000,-1382.9000,1860.0940,9362.4960,-1006.8173,-146.2012,5312.8680,9645.1383,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045053.986770,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.0931,4.745900,-1381.0970,1856.4880,9365.4020,-1005.0143,-149.8072,5315.7740,9647.0063,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045054.074589,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.1815,4.743400,-1385.3040,1864.3010,9360.5600,-1009.2213,-141.9942,5310.9320,9644.4165,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045054.163433,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.2700,4.743800,-1387.7080,1860.6950,9360.5600,-1011.6253,-145.6002,5310.9320,9644.0657,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045054.252236,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.3583,4.742900,-1370.2790,1858.8920,9354.7510,-994.1963,-147.4032,5305.1230,9635.5856,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045054.340475,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.4469,4.742600,-1381.6980,1857.6900,9355.7170,-1005.6153,-148.6052,5306.0890,9637.9221,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781045054.429105,session_20260609_181516,2,2,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-4.1900,2.5351,4.739100,-1378.6930,1860.6950,9348.9430,-1002.6103,-145.6002,5299.3150,9631.4960,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
