session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,d_target_mm,d_preload_mm,d_direct_mm,d_return_mm,d_diff_mm,F_direct_N,F_return_N,delta_F_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_N,same_d_ok,force_split_ok,b_signal_ok,verdict
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,240,2.4000,2.7000,2.3800,2.4000,+0.0200,2.976300,2.328100,-0.648200,8377.3919,8443.7016,+66.3096,-15.0250,+24.6410,+60.9850,67.4693,-102.2981,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,240,2.4000,2.7000,2.3800,2.4000,+0.0200,3.576850,2.879100,-0.697750,8894.5204,8974.8248,+80.3045,-15.6260,+30.0500,+75.0210,82.3124,-115.0906,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,240,2.4000,2.7000,2.3900,2.4100,+0.0200,3.810250,3.088900,-0.721350,9084.3659,9164.3282,+79.9623,-14.7235,+30.0500,+74.0585,81.2677,-110.8509,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,260,2.6000,2.9000,2.5800,2.6000,+0.0200,4.691800,3.819100,-0.872700,9636.1757,9738.5787,+102.4030,-17.4290,+41.4690,+94.8640,104.9887,-117.3405,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,260,2.6000,2.9000,2.5800,2.6000,+0.0200,4.611100,3.784250,-0.826850,9640.5910,9737.1742,+96.5832,-18.6310,+39.0650,+89.0560,99.0160,-116.8086,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,2,260,2.6000,2.9000,2.5800,2.6000,+0.0200,5.043150,4.158700,-0.884450,9890.6174,10013.9121,+123.2947,-19.8330,+57.6960,+112.2880,127.7919,-139.4026,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,280,2.8000,3.1000,2.7900,2.8100,+0.0200,5.922000,4.897000,-1.025000,10358.4865,10512.4133,+153.9268,-19.8330,+102.1700,+136.4910,171.6445,-150.1725,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,280,2.8000,3.1000,2.7900,2.7900,+0.0000,6.109100,5.081450,-1.027650,10502.1457,10654.8765,+152.7308,-18.0300,+105.4755,+134.5500,171.9124,-148.6214,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,3,280,2.8000,3.1000,2.7900,2.8100,+0.0200,5.784900,4.811450,-0.973450,10362.4378,10514.2488,+151.8110,-19.8340,+100.3670,+133.5840,168.2605,-155.9515,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,300,3.0000,3.3000,2.9900,2.9900,+0.0000,7.306100,6.074900,-1.231200,11081.3723,11238.6293,+157.2570,-12.6210,+113.5890,+138.4170,179.5021,-127.7266,1,1,1,strong
session_20260609_181516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,300,3.0000,3.3000,2.9800,3.0000,+0.0200,7.541250,6.297700,-1.243550,11236.3308,11392.9366,+156.6058,-11.4190,+112.3870,+138.4220,178.6670,-125.9344,1,1,1,strong
