time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781098333.732423,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.0000,2.826400,-557.1260,6412.6690,2782.0320,-135.8681,3164.7322,1793.0136,7012.3046,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098333.820535,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.0535,2.826200,-555.9240,6410.8660,2787.8390,-134.6661,3162.9292,1798.8206,7012.8668,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098333.910051,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.1418,2.826800,-557.1260,6415.6720,2792.6790,-135.8681,3167.7352,1803.6606,7019.2801,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098333.998727,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.2305,2.827300,-558.9290,6418.6790,2786.8720,-137.6711,3170.7422,1797.8536,7019.8645,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098334.086030,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.3188,2.827000,-559.5300,6415.6720,2787.8390,-138.2721,3167.7352,1798.8206,7017.5471,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098334.175379,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.4071,2.826900,-561.9340,6412.6690,2778.1600,-140.6761,3164.7322,1789.1416,7011.1530,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098334.263399,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.4957,2.827000,-559.5300,6413.2690,2785.9030,-138.2721,3165.3322,1796.8846,7014.5811,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098334.351515,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.5840,2.826800,-560.1310,6413.2690,2783.9680,-138.8731,3165.3322,1794.9496,7013.8608,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098334.439692,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.6724,2.826000,-552.9190,6418.0770,2782.0320,-131.6611,3170.1402,1793.0136,7016.9177,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781098334.528818,session_20260610_091145,1,1,2,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,260,2.6000,2.9000,2.5800,2.5800,,-0.0200,-3.5300,0.7607,2.824300,-558.3290,6415.6720,2782.0320,-137.0711,3167.7352,1793.0136,7015.1465,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
