time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781105764.419981,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.0000,7.307200,-487.4100,8586.4850,5579.5520,-52.7089,5107.5880,4065.4143,10251.6678,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105764.508361,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.0534,7.304600,-486.8090,8586.4850,5574.7110,-52.1079,5107.5880,4060.5733,10249.0053,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105764.597110,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.1416,7.302600,-483.8040,8586.4850,5569.8720,-49.1029,5107.5880,4055.7343,10246.2317,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105764.685729,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.2298,7.301200,-485.0060,8582.2820,5576.6480,-50.3049,5103.3850,4062.5103,10246.4530,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105764.773241,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.3183,7.300000,-485.6070,8585.2800,5577.6160,-50.9059,5106.3830,4063.4783,10249.5194,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105764.862134,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.4065,7.299600,-481.4000,8587.0880,5575.6790,-46.6989,5108.1910,4061.5413,10249.7816,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105764.949908,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.4949,7.298600,-483.8040,8585.8870,5579.5520,-49.1029,5106.9900,4065.4143,10250.9962,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.038392,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.5833,7.297800,-485.6070,8584.0790,5574.7110,-50.9059,5105.1820,4060.5733,10246.9327,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.126451,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.6718,7.297200,-485.0060,8590.0950,5583.4240,-50.3049,5111.1980,4069.2863,10256.6850,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.216101,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.7602,7.294400,-487.4100,8589.4880,5581.4880,-52.7089,5110.5910,4067.3503,10255.2368,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.303230,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.8487,7.293100,-488.6120,8591.2960,5579.5520,-53.9109,5112.3990,4065.4143,10255.7549,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.391919,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,0.9366,7.291800,-481.4000,8587.6850,5576.6480,-46.6989,5108.7880,4062.5103,10250.8089,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.479889,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.0250,7.291400,-484.4050,8592.4950,5582.4550,-49.7039,5113.5980,4068.3173,10258.1393,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.568712,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.1134,7.289100,-482.6020,8588.8900,5579.5520,-47.9009,5109.9930,4065.4143,10253.4549,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.656486,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.2015,7.289900,-485.0060,8584.6820,5576.6480,-50.3049,5105.7850,4062.5103,10248.4632,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.745301,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.2898,7.288400,-482.0010,8591.2960,5578.5840,-47.2999,5112.3990,4064.4463,10254.9155,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.833809,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.3781,7.286600,-486.2080,8589.4880,5580.5200,-51.5069,5110.5910,4066.3823,10254.6529,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105765.921716,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.4666,7.284700,-482.0010,8587.6850,5581.4880,-47.2999,5108.7880,4067.3503,10253.4710,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.009939,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.5547,7.282600,-487.4100,8590.6930,5579.5520,-52.7089,5111.7960,4065.4143,10255.1926,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.097748,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.6432,7.280000,-490.4150,8585.8870,5570.8400,-55.7139,5106.9900,4056.7023,10246.5712,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.186337,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.7314,7.281200,-483.8040,8587.6850,5569.8720,-49.1029,5108.7880,4055.7343,10247.2374,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.275098,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.8197,7.282100,-484.4050,8591.2960,5566.9680,-49.7039,5112.3990,4052.8303,10248.7144,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.362993,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.9084,7.279100,-483.2030,8592.4950,5575.6790,-48.5019,5113.5980,4061.5413,10254.3967,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.451852,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,1.9964,7.276900,-489.2130,8585.8870,5571.8070,-54.5119,5106.9900,4057.6693,10247.0395,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.540570,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,2.0846,7.273700,-485.0060,8585.2800,5579.5520,-50.3049,5106.3830,4065.4143,10250.5446,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781105766.628678,session_20260610_104017,3,3,3,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3800,3.3800,,-0.0200,-4.7500,2.1731,7.273900,-486.2080,8587.0880,5581.4880,-51.5069,5108.1910,4067.3503,10253.1696,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
