session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,d_target_mm,d_preload_mm,d_direct_mm,d_return_mm,d_diff_mm,F_direct_N,F_return_N,delta_F_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_N,same_d_ok,force_split_ok,b_signal_ok,verdict
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,300,3.0000,3.3000,2.9800,3.0000,+0.0200,4.559300,3.745150,-0.814150,8926.9583,9097.2896,+170.3313,+1.8030,+160.4660,+65.8250,173.4518,-209.2136,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,300,3.0000,3.3000,2.9900,2.9900,+0.0000,4.419100,3.625200,-0.793900,8806.1959,8954.0666,+147.8708,+3.3055,+139.4320,+54.2080,149.6353,-186.2587,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,300,3.0000,3.3000,2.9800,3.0000,+0.0200,4.746000,3.928900,-0.817100,9002.9104,9154.8791,+151.9687,-0.6010,+146.6450,+51.3050,155.3619,-185.9855,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,320,3.2000,3.5000,3.1900,3.2100,+0.0200,5.517600,4.544600,-0.973000,9416.6014,9590.6538,+174.0524,+3.3045,+185.7090,+31.4595,188.3838,-178.8822,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,320,3.2000,3.5000,3.1900,3.2000,+0.0100,5.675350,4.702700,-0.972650,9535.6032,9722.4564,+186.8532,+4.2070,+197.1330,+36.7830,200.5794,-192.1074,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,2,320,3.2000,3.5000,3.1900,3.1900,+0.0000,5.914900,4.907000,-1.007900,9672.2535,9856.4405,+184.1870,+4.5075,+203.7430,+23.7160,205.1682,-182.7433,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,340,3.4000,3.7000,3.3800,3.4000,+0.0200,7.342250,6.032500,-1.309750,10317.2714,10505.0947,+187.8233,+4.8080,+219.9730,+5.8080,220.1022,-143.4039,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,340,3.4000,3.7000,3.3800,3.4000,+0.0200,6.678600,5.556800,-1.121800,10087.1477,10286.6376,+199.4899,+6.0100,+231.3910,+9.6810,231.6714,-177.8302,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,3,340,3.4000,3.7000,3.3800,3.4000,+0.0200,7.055450,5.872100,-1.183350,10252.9261,10451.1369,+198.2108,+4.8080,+227.1740,+15.4880,227.7521,-167.4997,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,360,3.6000,3.9000,3.5900,3.6000,+0.0100,8.933750,7.327950,-1.605800,10951.0732,11145.9815,+194.9083,+3.3055,+210.3570,+32.9120,212.9418,-121.3777,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,360,3.6000,3.9000,3.5800,3.6000,+0.0200,8.966800,7.379700,-1.587100,11029.0912,11214.5139,+185.4227,+1.8030,+206.1430,+22.2640,207.3496,-116.8312,1,1,1,strong
session_20260610_104017,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,4,360,3.6000,3.9000,3.5800,3.6000,+0.0200,8.889700,7.315500,-1.574200,11045.3729,11226.5088,+181.1359,-0.6010,+200.7310,+21.2950,201.8583,-115.0654,1,1,1,strong
