time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781107741.784027,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.978200,2.00000,1.978200,-0.021800,nan,1.9800,1.9800,,-3.3500,0.0000,-530.6820,5915.6400,3429.6240,-530.6820,5915.6400,3429.6240,-91.7197,2360.0899,1872.7428,6858.4795,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107741.785040,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.979500,2.00000,1.979500,-0.020500,nan,1.9800,1.9800,,-3.3500,0.0006,-530.6820,5915.0390,3429.6240,-530.6820,5915.0390,3429.6240,-91.7197,2359.4889,1872.7428,6857.9611,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107741.789076,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.979500,2.00000,1.979500,-0.020500,nan,1.9800,1.9800,,-3.3500,0.0018,-531.2830,5909.6320,3428.6560,-531.2830,5909.6320,3428.6560,-92.3207,2354.0819,1871.7748,6852.8603,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107741.877238,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.980500,2.00000,1.980500,-0.019500,nan,1.9800,1.9800,,-3.3500,0.0056,-528.2780,5910.2340,3422.8470,-528.2780,5910.2340,3422.8470,-89.3157,2354.6839,1865.9658,6850.2427,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107741.966247,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.980100,2.00000,1.980100,-0.019900,nan,1.9800,1.9800,,-3.3500,0.0939,-530.0820,5911.4340,3426.7200,-530.0820,5911.4340,3426.7200,-91.1197,2355.8839,1869.8388,6853.3531,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.054419,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.978500,2.00000,1.978500,-0.021500,nan,1.9800,1.9800,,-3.3500,0.1823,-530.0820,5918.0470,3415.1040,-530.0820,5918.0470,3415.1040,-91.1197,2362.4969,1858.2228,6853.2622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.142376,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.978000,2.00000,1.978000,-0.022000,nan,1.9800,1.9800,,-3.3500,0.2708,-528.8790,5916.8420,3424.7850,-528.8790,5916.8420,3424.7850,-89.9167,2361.2919,1867.9038,6856.9588,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.230930,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.978200,2.00000,1.978200,-0.021800,nan,1.9800,1.9800,,-3.3500,0.3589,-536.0910,5918.0470,3421.8800,-536.0910,5918.0470,3421.8800,-97.1287,2362.4969,1864.9988,6857.1085,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.319668,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.978200,2.00000,1.978200,-0.021800,nan,1.9800,1.9800,,-3.3500,0.4472,-535.4900,5916.2420,3432.5270,-535.4900,5916.2420,3432.5270,-96.5277,2360.6919,1875.6458,6860.8243,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781107742.408784,session_20260610_115832,1,1,2,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,200,2.00000,1.979800,2.00000,1.979800,-0.020200,nan,1.9800,1.9800,,-3.3500,0.5357,-530.6820,5910.8320,3425.7520,-530.6820,5910.8320,3425.7520,-91.7197,2355.2819,1868.8708,6852.3963,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
