time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781120247.369267,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.442100,1.50000,1.442100,-0.057900,nan,1.5900,1.5900,,-3.0900,0.0000,-525.2730,5431.8370,3256.3510,-525.2730,5431.8370,3256.3510,-88.3032,1870.1850,1586.8205,6354.8868,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.369267,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.443600,1.50000,1.443600,-0.056400,nan,1.5900,1.5900,,-3.0900,0.0007,-518.6630,5433.6400,3249.5760,-518.6630,5433.6400,3249.5760,-81.6932,1871.9880,1580.0455,6352.4168,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.373912,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.442900,1.50000,1.442900,-0.057100,nan,1.5900,1.5900,,-3.0900,0.0012,-525.8740,5433.0390,3246.6720,-525.8740,5433.0390,3246.6720,-88.9042,1871.3870,1577.1415,6351.0106,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.462072,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.441600,1.50000,1.441600,-0.058400,nan,1.5900,1.5900,,-3.0900,0.0052,-525.2730,5434.8400,3249.5760,-525.2730,5434.8400,3249.5760,-88.3032,1873.1880,1580.0455,6353.9863,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.550016,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.443800,1.50000,1.443800,-0.056200,nan,1.5900,1.5900,,-3.0900,0.0933,-527.6770,5431.2340,3244.7350,-527.6770,5431.2340,3244.7350,-90.7072,1869.5820,1575.2045,6348.6259,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.638318,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.442900,1.50000,1.442900,-0.057100,nan,1.5900,1.5900,,-3.0900,0.1815,-531.8840,5434.2400,3243.7680,-531.8840,5434.2400,3243.7680,-94.9142,1872.5880,1574.2375,6351.0547,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.727028,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.441300,1.50000,1.441300,-0.058700,nan,1.5900,1.5900,,-3.0900,0.2698,-526.4750,5436.6450,3253.4490,-526.4750,5436.6450,3253.4490,-89.5052,1874.9930,1583.9185,6357.6108,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.815551,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.440000,1.50000,1.440000,-0.060000,nan,1.5900,1.5900,,-3.0900,0.3583,-529.4800,5432.4370,3255.3840,-529.4800,5432.4370,3255.3840,-92.5102,1870.7850,1585.8535,6355.2534,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.903383,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.438500,1.50000,1.438500,-0.061500,nan,1.5900,1.5900,,-3.0900,0.4463,-527.0760,5433.6400,3244.7350,-527.0760,5433.6400,3244.7350,-90.1062,1871.9880,1575.2045,6350.6345,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781120247.992202,session_20260610_153403,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,150,1.50000,1.438900,1.50000,1.438900,-0.061100,nan,1.5900,1.5900,,-3.0900,0.5347,-527.6770,5428.8310,3252.4800,-527.6770,5428.8310,3252.4800,-90.7072,1867.1790,1582.9495,6350.5335,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
