time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781188387.823666,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.488700,2.50000,2.488700,-0.011300,nan,2.0200,2.0200,,-3.6500,0.0000,-494.6220,6094.7380,4444.0880,-494.6220,6094.7380,4444.0880,-65.1030,2508.8391,2479.4199,7559.1270,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188387.823981,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.489500,2.50000,2.489500,-0.010500,nan,2.0200,2.0200,,-3.6500,0.0013,-494.6220,6099.5460,4439.2480,-494.6220,6099.5460,4439.2480,-65.1030,2513.6471,2474.5799,7560.1611,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188387.831579,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.490000,2.50000,2.490000,-0.010000,nan,2.0200,2.0200,,-3.6500,0.0023,-498.8290,6097.7440,4449.8980,-498.8290,6097.7440,4449.8980,-69.3100,2511.8451,2485.2299,7565.2432,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188387.919084,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.490700,2.50000,2.490700,-0.009300,nan,2.0200,2.0200,,-3.6500,0.0094,-496.4250,6093.5380,4446.0230,-496.4250,6093.5380,4446.0230,-66.9060,2507.6391,2481.3549,7559.4156,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.007432,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.489000,2.50000,2.489000,-0.011000,nan,2.0200,2.0200,,-3.6500,0.0969,-496.4250,6099.5460,4443.1190,-496.4250,6099.5460,4443.1190,-66.9060,2513.6471,2478.4509,7562.5529,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.096347,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.486600,2.50000,2.486600,-0.013400,nan,2.0200,2.0200,,-3.6500,0.1854,-495.2230,6100.1490,4449.8980,-495.2230,6100.1490,4449.8980,-65.7040,2514.2501,2485.2299,7566.9449,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.184806,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.485400,2.50000,2.485400,-0.014600,nan,2.0200,2.0200,,-3.6500,0.2742,-492.2180,6096.5410,4439.2480,-492.2180,6096.5410,4439.2480,-62.6990,2510.6421,2474.5799,7557.5799,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.272247,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.486700,2.50000,2.486700,-0.013300,nan,2.0200,2.0200,,-3.6500,0.3625,-502.4350,6101.3510,4445.0550,-502.4350,6101.3510,4445.0550,-72.9160,2515.4521,2480.3869,7565.5429,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.359783,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.486600,2.50000,2.486600,-0.013400,nan,2.0200,2.0200,,-3.6500,0.4502,-493.4200,6099.5460,4442.1520,-493.4200,6099.5460,4442.1520,-63.9010,2513.6471,2477.4839,7561.7881,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.449136,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.485800,2.50000,2.485800,-0.014200,nan,2.0200,2.0200,,-3.6500,0.5379,-494.0210,6096.5410,4454.7360,-494.0210,6096.5410,4454.7360,-64.5020,2510.6421,2490.0679,7566.8053,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
