time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781295390.422207,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.0000,7.745800,-385.8410,7061.7490,7927.9200,18.5147,3619.3853,5404.2318,10623.9864,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295390.510397,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.0569,7.742400,-391.8510,7062.9510,7932.7600,12.5047,3620.5873,5409.0718,10628.6173,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295390.598442,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.1453,7.741700,-390.6490,7065.9540,7926.9520,13.7067,3623.5903,5403.2638,10626.2355,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295390.687490,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.2338,7.741900,-393.0530,7064.7520,7923.0800,11.3027,3622.3883,5399.3918,10622.6366,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295390.775896,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.3225,7.739300,-389.4470,7061.1490,7931.7910,14.9087,3618.7853,5408.1028,10626.6082,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295390.864480,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.4109,7.738000,-394.8560,7064.1510,7928.8900,9.4997,3621.7873,5405.2018,10626.6381,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295390.952419,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.4994,7.736800,-395.4570,7064.7520,7928.8900,8.8987,3622.3883,5405.2018,10627.0600,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295391.041703,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.5880,7.735600,-392.4520,7059.9440,7925.0150,11.9037,3617.5803,5401.3268,10620.8611,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295391.128962,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.6766,7.733300,-394.8560,7058.7430,7922.1120,9.4997,3616.3793,5398.4238,10617.9858,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781295391.218565,session_20260612_155336,1,1,2,same_d_path_dosage_A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.7000,3.3900,3.3900,,-0.0100,-4.9800,0.7649,7.732900,-388.2450,7064.7520,7925.0150,16.1107,3622.3883,5401.3268,10623.9031,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
