time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781301804.296748,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.0000,7.976900,-394.8560,7165.1190,7994.7110,16.2824,3841.7008,5665.2576,10742.9161,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.384782,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.0487,7.975900,-391.2500,7165.1190,7996.6480,19.8884,3841.7008,5667.1946,10744.2257,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.473956,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.1374,7.972600,-394.8560,7160.3120,7998.5840,16.2824,3836.8938,5669.1306,10742.5940,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.562677,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.2260,7.970300,-396.6590,7162.7170,7994.7110,14.4794,3839.2988,5665.2576,10741.3806,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.651521,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.3147,7.969800,-398.4620,7166.3200,7994.7110,12.6764,3842.9018,5665.2576,10743.8503,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.739806,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.4031,7.970500,-400.8660,7166.9220,7991.8080,10.2724,3843.5038,5662.3546,10742.1813,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.828408,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.4919,7.969100,-399.6640,7160.3120,7989.8720,11.4744,3836.8938,5660.4186,10736.2868,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301804.917120,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.5804,7.964800,-397.8610,7162.1170,7994.7110,13.2774,3838.6988,5665.2576,10741.0250,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301805.006103,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.6693,7.964000,-396.6590,7159.7110,7999.5520,14.4794,3836.2928,5670.0986,10742.9806,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301805.093963,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.7578,7.962100,-397.2600,7161.5140,7996.6480,13.8784,3838.0958,5667.1946,10742.0425,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301805.182671,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.8458,7.958500,-396.0580,7162.7170,8000.5200,15.0804,3839.2988,5671.0666,10745.6827,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781301805.270644,session_20260612_180059,1,1,1,same_d_path_hold_time_B,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3900,3.3900,,-0.0100,-4.9800,0.9346,7.957200,-402.6690,7162.1170,7994.7110,8.4694,3838.6988,5665.2576,10741.2041,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
