time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781307249.642937,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.761900,3.75000,3.761900,+0.011900,nan,2.5800,2.5800,,-4.1500,0.0000,-421.9010,5920.4500,6264.8980,-421.9010,5920.4500,6264.8980,-15.8183,2584.6730,3886.0640,8630.1029,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307249.642937,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.761700,3.75000,3.761700,+0.011700,nan,2.5800,2.5800,,-4.1500,0.0005,-423.1030,5921.6500,6257.1520,-423.1030,5921.6500,6257.1520,-17.0203,2585.8730,3878.3180,8625.3641,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307249.654053,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.762800,3.75000,3.762800,+0.012800,nan,2.5800,2.5800,,-4.1500,0.0008,-423.1030,5920.4500,6267.7990,-423.1030,5920.4500,6267.7990,-17.0203,2584.6730,3888.9650,8632.2679,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307249.742593,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.762600,3.75000,3.762600,+0.012600,nan,2.5800,2.5800,,-4.1500,0.0113,-427.3100,5910.2340,6261.0230,-427.3100,5910.2340,6261.0230,-21.2273,2574.4570,3882.1890,8620.5492,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307249.831199,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.761900,3.75000,3.761900,+0.011900,nan,2.5800,2.5800,,-4.1500,0.1001,-419.4970,5917.4450,6261.9920,-419.4970,5917.4450,6261.9920,-13.4143,2581.6680,3883.1580,8625.8146,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307249.919695,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.761100,3.75000,3.761100,+0.011100,nan,2.5800,2.5800,,-4.1500,0.1884,-428.5120,5922.2530,6257.1520,-428.5120,5922.2530,6257.1520,-22.4293,2586.4760,3878.3180,8626.0451,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.008363,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.759600,3.75000,3.759600,+0.009600,nan,2.5800,2.5800,,-4.1500,0.2771,-427.9110,5920.4500,6262.9600,-427.9110,5920.4500,6262.9600,-21.8283,2584.6730,3884.1260,8628.9921,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.096750,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.759200,3.75000,3.759200,+0.009200,nan,2.5800,2.5800,,-4.1500,0.3655,-423.7040,5922.2530,6266.8320,-423.7040,5922.2530,6266.8320,-17.6213,2586.4760,3887.9980,8632.8320,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.185151,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.760400,3.75000,3.760400,+0.010400,nan,2.5800,2.5800,,-4.1500,0.4542,-421.3000,5920.4500,6262.9600,-421.3000,5920.4500,6262.9600,-15.2173,2584.6730,3884.1260,8628.6667,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.272826,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.761300,3.75000,3.761300,+0.011300,nan,2.5800,2.5800,,-4.1500,0.5426,-416.4920,5923.4530,6267.7990,-416.4920,5923.4530,6267.7990,-10.4093,2587.6760,3888.9650,8634.0063,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.361540,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.760000,3.75000,3.760000,+0.010000,nan,2.5800,2.5800,,-4.1500,0.6312,-424.3050,5917.4450,6260.0550,-424.3050,5917.4450,6260.0550,-18.2223,2581.6680,3881.2210,8624.6437,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.450890,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.758000,3.75000,3.758000,+0.008000,nan,2.5800,2.5800,,-4.1500,0.7195,-424.3050,5922.2530,6269.7360,-424.3050,5922.2530,6269.7360,-18.2223,2586.4760,3890.9020,8634.9699,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.538429,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.758200,3.75000,3.758200,+0.008200,nan,2.5800,2.5800,,-4.1500,0.8082,-428.5120,5913.8390,6259.0880,-428.5120,5913.8390,6259.0880,-22.4293,2578.0620,3880.2540,8621.6760,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.627749,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.756300,3.75000,3.756300,+0.006300,nan,2.5800,2.5800,,-4.1500,0.8965,-427.3100,5915.0390,6261.9920,-427.3100,5915.0390,6261.9920,-21.2273,2579.2620,3883.1580,8624.5478,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.715965,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.756500,3.75000,3.756500,+0.006500,nan,2.5800,2.5800,,-4.1500,0.9851,-423.1030,5921.6500,6256.1840,-423.1030,5921.6500,6256.1840,-17.0203,2585.8730,3877.3500,8624.6619,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.804953,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.754300,3.75000,3.754300,+0.004300,nan,2.5800,2.5800,,-4.1500,1.0736,-425.5070,5919.8480,6271.6720,-425.5070,5919.8480,6271.6720,-19.4243,2584.0710,3892.8380,8634.7858,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.892600,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.756900,3.75000,3.756900,+0.006900,nan,2.5800,2.5800,,-4.1500,1.1622,-421.3000,5918.0470,6269.7360,-421.3000,5918.0470,6269.7360,-15.2173,2582.2700,3890.9020,8631.9386,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307250.981986,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.758000,3.75000,3.758000,+0.008000,nan,2.5800,2.5800,,-4.1500,1.2508,-425.5070,5922.8550,6264.8980,-425.5070,5922.8550,6264.8980,-19.4243,2587.0780,3886.0640,8631.9299,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.070479,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.756500,3.75000,3.756500,+0.006500,nan,2.5800,2.5800,,-4.1500,1.3393,-418.2950,5916.2420,6264.8980,-418.2950,5916.2420,6264.8980,-12.2123,2580.4650,3886.0640,8627.0410,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.159068,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.755500,3.75000,3.755500,+0.005500,nan,2.5800,2.5800,,-4.1500,1.4278,-419.4970,5922.2530,6261.9920,-419.4970,5922.2530,6261.9920,-13.4143,2586.4760,3883.1580,8629.1136,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.247763,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.755800,3.75000,3.755800,+0.005800,nan,2.5800,2.5800,,-4.1500,1.5163,-426.1080,5916.2420,6262.9600,-426.1080,5916.2420,6262.9600,-20.0253,2580.4650,3884.1260,8626.0162,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.336052,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.756400,3.75000,3.756400,+0.006400,nan,2.5800,2.5800,,-4.1500,1.6048,-424.3050,5922.2530,6262.9600,-424.3050,5922.2530,6262.9600,-18.2223,2586.4760,3884.1260,8630.0512,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.424094,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.753600,3.75000,3.753600,+0.003600,nan,2.5800,2.5800,,-4.1500,1.6933,-421.9010,5922.8550,6256.1840,-421.9010,5922.8550,6256.1840,-15.8183,2587.0780,3877.3500,8625.4304,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.513057,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.754100,3.75000,3.754100,+0.004100,nan,2.5800,2.5800,,-4.1500,1.7818,-415.8910,5918.6480,6257.1520,-415.8910,5918.6480,6257.1520,-9.8083,2582.8710,3878.3180,8622.9525,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.601600,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.751500,3.75000,3.751500,+0.001500,nan,2.5800,2.5800,,-4.1500,1.8704,-425.5070,5917.4450,6261.0230,-425.5070,5917.4450,6261.0230,-19.4243,2581.6680,3882.1890,8625.4055,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.690079,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.752900,3.75000,3.752900,+0.002900,nan,2.5800,2.5800,,-4.1500,1.9589,-422.5020,5920.4500,6261.0230,-422.5020,5920.4500,6261.0230,-16.4193,2584.6730,3882.1890,8627.3197,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.778755,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.752900,3.75000,3.752900,+0.002900,nan,2.5800,2.5800,,-4.1500,2.0473,-424.9060,5920.4500,6261.9920,-424.9060,5920.4500,6261.9920,-18.8233,2584.6730,3883.1580,8628.1410,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.867057,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.753800,3.75000,3.753800,+0.003800,nan,2.5800,2.5800,,-4.1500,2.1359,-422.5020,5920.4500,6257.1520,-422.5020,5920.4500,6257.1520,-16.4193,2584.6730,3878.3180,8624.5108,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307251.955891,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.754000,3.75000,3.754000,+0.004000,nan,2.5800,2.5800,,-4.1500,2.2244,-426.1080,5921.0480,6258.1190,-426.1080,5921.0480,6258.1190,-20.0253,2585.2710,3879.2850,8625.8003,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307252.044060,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.752200,3.75000,3.752200,+0.002200,nan,2.5800,2.5800,,-4.1500,2.3129,-423.7040,5922.2530,6262.9600,-423.7040,5922.2530,6262.9600,-17.6213,2586.4760,3884.1260,8630.0216,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307252.132964,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.751500,3.75000,3.751500,+0.001500,nan,2.5800,2.5800,,-4.1500,2.4014,-426.1080,5916.8420,6256.1840,-426.1080,5916.8420,6256.1840,-20.0253,2581.0650,3877.3500,8621.5095,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307252.220866,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.751100,3.75000,3.751100,+0.001100,nan,2.5800,2.5800,,-4.1500,2.4900,-425.5070,5921.6500,6262.9600,-425.5070,5921.6500,6262.9600,-19.4243,2585.8730,3884.1260,8629.6966,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307252.309163,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.752600,3.75000,3.752600,+0.002600,nan,2.5800,2.5800,,-4.1500,2.5783,-424.3050,5917.4450,6261.0230,-424.3050,5917.4450,6261.0230,-18.2223,2581.6680,3882.1890,8625.3463,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781307252.398062,session_20260612_193010,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.753000,3.75000,3.753000,+0.003000,nan,2.5800,2.5800,,-4.1500,2.6670,-421.9010,5923.4530,6264.8980,-421.9010,5923.4530,6264.8980,-15.8183,2587.6760,3886.0640,8632.1633,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
