time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781391844.622883,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.723800,3.75000,3.723800,-0.026200,nan,2.4600,2.4600,,-4.2100,0.0000,-568.5450,5943.2880,6292.0000,-568.5450,5943.2880,6292.0000,-86.3729,2572.1052,3797.1758,8673.8215,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391844.622883,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.722900,3.75000,3.722900,-0.027100,nan,2.4600,2.4600,,-4.2100,0.0005,-576.3580,5942.6870,6284.2560,-576.3580,5942.6870,6284.2560,-94.1859,2571.5042,3789.4318,8668.3096,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391844.627406,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.720800,3.75000,3.720800,-0.029200,nan,2.4600,2.4600,,-4.2100,0.0008,-573.9550,5939.6790,6278.4480,-573.9550,5939.6790,6278.4480,-91.7829,2568.4962,3783.6238,8661.8774,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391844.716494,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.721300,3.75000,3.721300,-0.028700,nan,2.4600,2.4600,,-4.2100,0.0049,-573.9550,5940.2800,6279.4160,-573.9550,5940.2800,6279.4160,-91.7829,2569.0972,3784.5918,8662.9912,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391844.804282,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.721600,3.75000,3.721600,-0.028400,nan,2.4600,2.4600,,-4.2100,0.0941,-572.1520,5943.8870,6291.0310,-572.1520,5943.8870,6291.0310,-89.9799,2572.7042,3796.2068,8673.7663,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391844.892833,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.721700,3.75000,3.721700,-0.028300,nan,2.4600,2.4600,,-4.2100,0.1822,-570.9490,5940.2800,6293.9360,-570.9490,5940.2800,6293.9360,-88.7769,2569.0972,3799.1118,8673.3234,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391844.981346,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.720500,3.75000,3.720500,-0.029500,nan,2.4600,2.4600,,-4.2100,0.2703,-576.9590,5945.0900,6294.9060,-576.9590,5945.0900,6294.9060,-94.7869,2573.9072,3800.0818,8677.7197,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391845.069647,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.720000,3.75000,3.720000,-0.030000,nan,2.4600,2.4600,,-4.2100,0.3588,-569.1460,5943.2880,6288.1270,-569.1460,5943.2880,6288.1270,-86.9739,2572.1052,3793.3028,8671.0519,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391845.158348,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.719900,3.75000,3.719900,-0.030100,nan,2.4600,2.4600,,-4.2100,0.4473,-573.3530,5939.0800,6290.0640,-573.3530,5939.0800,6290.0640,-91.1809,2567.8972,3795.2398,8669.8506,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781391845.246753,session_20260613_184121,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.718300,3.75000,3.718300,-0.031700,nan,2.4600,2.4600,,-4.2100,0.5358,-575.7570,5942.0850,6286.1920,-575.7570,5942.0850,6286.1920,-93.5849,2570.9022,3791.3678,8669.2606,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
