time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781466248.622332,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.660300,3.75000,3.660300,-0.089700,nan,2.3600,2.3600,,-4.0500,0.0000,-566.7420,5460.6850,6066.4550,-566.7420,5460.6850,6066.4550,-103.7063,2302.0013,3715.9974,8181.8185,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466248.622332,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.661000,3.75000,3.661000,-0.089000,nan,2.3600,2.3600,,-4.0500,0.0004,-563.1360,5466.0930,6064.5200,-563.1360,5466.0930,6064.5200,-100.1003,2307.4093,3714.0624,8183.7459,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466248.626894,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.661200,3.75000,3.661200,-0.088800,nan,2.3600,2.3600,,-4.0500,0.0008,-568.5450,5461.8870,6066.4550,-568.5450,5461.8870,6066.4550,-105.5093,2303.2033,3715.9974,8182.7458,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466248.715383,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.661900,3.75000,3.661900,-0.088100,nan,2.3600,2.3600,,-4.0500,0.0048,-570.3480,5464.2880,6071.2960,-570.3480,5464.2880,6071.2960,-107.3123,2305.6043,3720.8384,8188.0630,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466248.892289,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.658400,3.75000,3.658400,-0.091600,nan,2.3600,2.3600,,-4.0500,0.0936,-563.1360,5463.0880,6067.4240,-563.1360,5463.0880,6067.4240,-100.1003,2304.4043,3716.9664,8183.8919,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466248.980249,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.660200,3.75000,3.660200,-0.089800,nan,2.3600,2.3600,,-4.0500,0.2703,-569.1460,5457.0790,6069.3590,-569.1460,5457.0790,6069.3590,-106.1103,2298.3953,3718.9014,8181.7331,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.069271,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.659600,3.75000,3.659600,-0.090400,nan,2.3600,2.3600,,-4.0500,0.3586,-564.3380,5457.6790,6076.1350,-564.3380,5457.6790,6076.1350,-101.3023,2298.9953,3725.6774,8186.8281,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.157512,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.658600,3.75000,3.658600,-0.091400,nan,2.3600,2.3600,,-4.0500,0.4473,-564.3380,5466.0930,6072.2640,-564.3380,5466.0930,6072.2640,-101.3023,2307.4093,3721.8064,8189.5690,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.246642,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.657700,3.75000,3.657700,-0.092300,nan,2.3600,2.3600,,-4.0500,0.5362,-566.1410,5458.2800,6058.7110,-566.1410,5458.2800,6058.7110,-103.1053,2299.5963,3708.2534,8174.4306,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.334727,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.655600,3.75000,3.655600,-0.094400,nan,2.3600,2.3600,,-4.0500,0.6242,-567.9440,5463.0880,6072.2640,-567.9440,5463.0880,6072.2640,-104.9083,2304.4043,3721.8064,8187.8130,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.423445,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.655000,3.75000,3.655000,-0.095000,nan,2.3600,2.3600,,-4.0500,0.7126,-566.1410,5462.4870,6068.3920,-566.1410,5462.4870,6068.3920,-103.1053,2303.8033,3717.9344,8184.4158,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.510773,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.655100,3.75000,3.655100,-0.094900,nan,2.3600,2.3600,,-4.0500,0.8012,-566.1410,5458.8820,6074.2000,-566.1410,5458.8820,6074.2000,-103.1053,2300.1983,3723.7424,8186.3187,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.600536,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.657200,3.75000,3.657200,-0.092800,nan,2.3600,2.3600,,-4.0500,0.8897,-562.5350,5459.4850,6067.4240,-562.5350,5459.4850,6067.4240,-99.4993,2300.8013,3716.9664,8181.4458,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.688054,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.656800,3.75000,3.656800,-0.093200,nan,2.3600,2.3600,,-4.0500,0.9783,-566.7420,5460.6850,6071.2960,-566.7420,5460.6850,6071.2960,-103.7063,2302.0013,3720.8384,8185.4085,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.776930,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.656500,3.75000,3.656500,-0.093500,nan,2.3600,2.3600,,-4.0500,1.0665,-565.5400,5461.2870,6062.5840,-565.5400,5461.2870,6062.5840,-102.5043,2302.6033,3712.1264,8179.2674,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466249.954763,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.656800,3.75000,3.656800,-0.093200,nan,2.3600,2.3600,,-4.0500,1.1551,-559.5300,5461.2870,6071.2960,-559.5300,5461.2870,6071.2960,-96.4943,2302.6033,3720.8384,8185.3140,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466250.042189,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.655300,3.75000,3.655300,-0.094700,nan,2.3600,2.3600,,-4.0500,1.3324,-561.9340,5464.2880,6075.1680,-561.9340,5464.2880,6075.1680,-98.8983,2305.6043,3724.7104,8190.3528,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466250.131009,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.654600,3.75000,3.654600,-0.095400,nan,2.3600,2.3600,,-4.0500,1.4205,-568.5450,5457.6790,6068.3920,-568.5450,5457.6790,6068.3920,-105.5093,2298.9953,3717.9344,8181.3743,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466250.219865,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.654700,3.75000,3.654700,-0.095300,nan,2.3600,2.3600,,-4.0500,1.5089,-564.9390,5463.0880,6063.5520,-564.9390,5463.0880,6063.5520,-101.9033,2304.4043,3713.0944,8181.1460,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466250.307382,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.653800,3.75000,3.653800,-0.096200,nan,2.3600,2.3600,,-4.0500,1.5980,-567.3430,5464.8900,6071.2960,-567.3430,5464.8900,6071.2960,-104.3073,2306.2063,3720.8384,8188.2560,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781466250.484545,session_20260614_154015,1,1,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,375,3.75000,3.652900,3.75000,3.652900,-0.097100,nan,2.3600,2.3600,,-4.0500,1.6859,-563.1360,5464.2880,6076.1350,-563.1360,5464.2880,6076.1350,-100.1003,2305.6043,3725.6774,8191.1527,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
