time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781482918.348874,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.0000,10.949000,-575.7570,7055.1360,8435.1520,-103.7660,3867.9110,5956.9632,11011.7314,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.437611,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.0609,10.946800,-573.9550,7047.9250,8438.0580,-101.9640,3860.7000,5959.8692,11009.2458,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.525707,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.1493,10.948000,-574.5550,7050.3280,8439.9940,-102.5640,3863.1030,5961.8052,11012.2994,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.614084,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.2375,10.944500,-575.7570,7050.9280,8436.1170,-103.7660,3863.7030,5957.9282,11009.7753,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.703488,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.3260,10.940000,-578.7620,7051.5300,8439.9940,-106.7710,3864.3050,5961.8052,11013.2892,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.791617,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.4147,10.938000,-576.3580,7055.1360,8432.2500,-104.3670,3867.9110,5954.0612,11009.5401,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.880019,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.5033,10.935800,-576.9590,7052.1330,8442.8960,-104.9680,3864.9080,5964.7072,11015.8048,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482918.968498,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.5918,10.934900,-576.9590,7045.5200,8433.2160,-104.9680,3858.2950,5955.0272,11004.1522,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482919.056499,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.6802,10.932600,-573.3530,7054.5360,8440.9600,-101.3620,3867.3110,5962.7712,11015.6715,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781482919.145654,session_20260614_201905,0,0,0,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1700,0.7687,10.929000,-576.3580,7049.7270,8441.9250,-104.3670,3862.5020,5963.7362,11013.4889,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
