time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781485180.548082,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.0000,10.753000,-578.7620,7065.3540,8509.6900,-103.6387,3841.0261,5969.1711,11075.6046,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485180.636377,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.0576,10.751900,-572.7520,7064.1510,8517.4340,-97.6287,3839.8231,5976.9151,11080.4764,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485180.724937,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.1460,10.749900,-576.9590,7067.1570,8520.3360,-101.8357,3842.8291,5979.8171,11084.8417,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485180.813724,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.2352,10.747100,-578.7620,7063.5520,8519.3700,-103.6387,3839.2241,5978.8511,11081.8950,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485180.901107,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.3230,10.747900,-581.1660,7066.5540,8516.4690,-106.0427,3842.2261,5975.9501,11081.7049,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485180.989857,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.4115,10.744800,-578.7620,7067.7590,8520.3360,-103.6387,3843.4311,5979.8171,11085.3195,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485181.078811,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.4998,10.740800,-575.1560,7061.1490,8509.6900,-100.0327,3836.8211,5969.1711,11072.7347,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485181.167044,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.5885,10.739500,-575.7570,7067.1570,8513.5620,-100.6337,3842.8291,5973.0431,11079.5732,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485181.255029,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.6766,10.739800,-576.3580,7065.9540,8525.1780,-101.2347,3841.6261,5984.6591,11087.7660,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781485181.344855,session_20260614_201905,3,3,2,recovery_time_path_memory_3p5A,direct_target,holding,disp_path_hold,direct_loading,340,3.4000,3.8000,3.3800,3.3800,,-0.0200,-5.1900,0.7652,10.739600,-572.1520,7065.3540,8520.3360,-97.0287,3841.0261,5979.8171,11083.4431,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
