session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_300,loading_branch,loading_dense,3.0000,3.8000,15.0,5.0,113,2.9800,6.976200,10038.9717,-578.7620,6335.7410,7766.2640,-98.8466,3124.1535,5230.5081
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_310,loading_branch,loading_dense,3.1000,3.8000,15.0,5.0,113,3.0900,7.861500,10282.5492,-580.5650,6484.7890,7958.8980,-100.6496,3273.2015,5423.1421
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_320,loading_branch,loading_dense,3.2000,3.8000,15.0,5.0,113,3.1900,8.699800,10539.7847,-582.9690,6652.4690,8154.4320,-103.0536,3440.8815,5618.6761
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_330,loading_branch,loading_dense,3.3000,3.8000,15.0,5.0,113,3.2800,9.623100,10804.1766,-586.5750,6827.9600,8352.8740,-106.6596,3616.3725,5817.1181
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_340,loading_branch,loading_dense,3.4000,3.8000,15.0,5.0,113,3.3800,10.661900,11069.9222,-590.7820,7008.2580,8548.4050,-110.8666,3796.6705,6012.6491
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_350,loading_branch,loading_dense,3.5000,3.8000,15.0,5.0,113,3.4800,11.791600,11336.2159,-595.5900,7189.1600,8744.9110,-115.6746,3977.5725,6209.1551
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,loading,loading_d_360,loading_branch,loading_dense,3.6000,3.8000,15.0,5.0,113,3.5900,12.999700,11587.0047,-600.3980,7368.8580,8922.0580,-120.4826,4157.2705,6386.3021
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,preload,preload_d_380,preload_loading,preload_dense,3.8000,3.8000,30.0,5.0,113,3.7800,15.570500,12102.6518,-613.6210,7756.5040,9270.5380,-133.7056,4544.9165,6734.7821
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_360,return_unloading,unloading_dense,3.6000,3.8000,15.0,5.0,113,3.6100,11.109600,11802.6031,-611.2160,7570.7970,9034.3460,-131.3006,4359.2095,6498.5901
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_350,return_unloading,unloading_dense,3.5000,3.8000,15.0,5.0,113,3.4800,9.106800,11525.8645,-610.0140,7382.6820,8830.0950,-130.0986,4171.0945,6294.3391
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,11,unloading,unloading_d_340,return_unloading,unloading_dense,3.4000,3.8000,15.0,5.0,113,3.4000,8.165100,11354.3409,-608.8120,7266.0880,8703.2850,-128.8966,4054.5005,6167.5291
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,12,unloading,unloading_d_330,return_unloading,unloading_dense,3.3000,3.8000,15.0,5.0,113,3.2800,6.882400,11042.0959,-607.0090,7049.1270,8476.7730,-127.0936,3837.5395,5941.0171
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,13,unloading,unloading_d_320,return_unloading,unloading_dense,3.2000,3.8000,15.0,5.0,113,3.2100,6.231500,10867.9140,-607.0090,6949.9600,8333.5140,-127.0936,3738.3725,5797.7581
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,14,unloading,unloading_d_310,return_unloading,unloading_dense,3.1000,3.8000,15.0,5.0,114,3.0900,5.316550,10544.1230,-607.6100,6769.0630,8061.5040,-127.6946,3557.4755,5525.7481
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,15,unloading,unloading_d_300,return_unloading,unloading_dense,3.0000,3.8000,15.0,5.0,113,3.0000,4.811900,10351.6093,-607.0090,6665.6870,7895.9760,-127.0936,3454.0995,5360.2201
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,loading,loading_d_300,loading_branch,loading_dense,3.0000,3.8000,15.0,5.0,113,2.9800,6.961300,10075.5338,-578.1620,6350.7650,7802.0800,-98.1163,3116.8252,5228.5425
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,loading,loading_d_310,loading_branch,loading_dense,3.1000,3.8000,15.0,5.0,113,3.0900,7.874500,10323.9154,-579.9640,6502.2180,7998.5840,-99.9183,3268.2782,5425.0465
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,loading,loading_d_320,loading_branch,loading_dense,3.2000,3.8000,15.0,5.0,113,3.1900,8.741300,10585.6329,-582.9690,6669.8950,8198.9620,-102.9233,3435.9552,5625.4245
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,loading,loading_d_330,loading_branch,loading_dense,3.3000,3.8000,15.0,5.0,113,3.2800,9.691400,10855.2055,-587.1760,6848.3920,8402.2390,-107.1303,3614.4522,5828.7015
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,5,loading,loading_d_340,loading_branch,loading_dense,3.4000,3.8000,15.0,5.0,113,3.3800,10.750700,11115.8489,-590.7820,7029.8950,8591.0020,-110.7363,3795.9552,6017.4645
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,6,loading,loading_d_350,loading_branch,loading_dense,3.5000,3.8000,15.0,5.0,113,3.4800,11.890900,11372.8281,-594.9890,7211.3990,8773.9520,-114.9433,3977.4592,6200.4145
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,7,loading,loading_d_360,loading_branch,loading_dense,3.6000,3.8000,15.0,5.0,113,3.5900,13.167500,11624.8379,-600.3980,7391.6950,8951.0930,-120.3523,4157.7552,6377.5555
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,8,preload,preload_d_380,preload_loading,preload_dense,3.8000,3.8000,30.0,5.0,113,3.7800,15.880500,12131.4310,-614.8220,7778.1410,9289.8980,-134.7763,4544.2012,6716.3605
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,9,unloading,unloading_d_360,return_unloading,unloading_dense,3.6000,3.8000,15.0,5.0,113,3.6100,11.279500,11831.0121,-610.6150,7591.8310,9053.7010,-130.5693,4357.8912,6480.1635
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,10,unloading,unloading_d_350,return_unloading,unloading_dense,3.5000,3.8000,15.0,5.0,113,3.4800,9.228400,11554.8319,-610.0140,7403.7190,8849.4550,-129.9683,4169.7792,6275.9175
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,11,unloading,unloading_d_340,return_unloading,unloading_dense,3.4000,3.8000,15.0,5.0,113,3.4000,8.270500,11385.6034,-608.8120,7287.1250,8726.5220,-128.7663,4053.1852,6152.9845
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,12,unloading,unloading_d_330,return_unloading,unloading_dense,3.3000,3.8000,15.0,5.0,113,3.2800,6.974500,11077.1843,-605.8070,7071.3650,8505.8180,-125.7613,3837.4252,5932.2805
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,13,unloading,unloading_d_320,return_unloading,unloading_dense,3.2000,3.8000,15.0,5.0,113,3.2000,6.296100,10899.8654,-605.2070,6967.9920,8360.6150,-125.1613,3734.0522,5787.0775
session_20260615_143640,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,14,unloading,unloading_d_310,return_unloading,unloading_dense,3.1000,3.8000,15.0,5.0,113,3.0700,5.365100,10579.8412,-607.0090,6788.8930,8092.4800,-126.9633,3554.9532,5518.9425
