session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_305,loading_branch,loading_dense,3.0500,3.8000,15.0,5.0,113,3.0400,6.314700,9074.4619,-481.4000,4092.2070,8084.7360,-111.4437,1568.8639,5557.8907
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_315,loading_branch,loading_dense,3.1500,3.8000,15.0,5.0,113,3.1400,7.102200,9311.3532,-483.8040,4164.3270,8314.1540,-113.8477,1640.9839,5787.3087
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_325,loading_branch,loading_dense,3.2500,3.8000,15.0,5.0,113,3.2400,7.869200,9563.7678,-488.0110,4258.0850,8549.3750,-118.0547,1734.7419,6022.5297
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_335,loading_branch,loading_dense,3.3500,3.8000,15.0,5.0,113,3.3500,8.705900,9819.3771,-490.4150,4359.6530,8785.5670,-120.4587,1836.3099,6258.7217
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_345,loading_branch,loading_dense,3.4500,3.8000,15.0,5.0,113,3.4400,9.612100,10072.6850,-494.0210,4467.2310,9014.9860,-124.0647,1943.8879,6488.1407
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_355,loading_branch,loading_dense,3.5500,3.8000,15.0,5.0,113,3.5400,10.607800,10323.5566,-497.0260,4579.0180,9238.5920,-127.0697,2055.6749,6711.7467
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,preload,preload_d_380,preload_loading,preload_dense,3.8000,3.8000,30.0,5.0,113,3.7900,13.214500,10967.1161,-513.2530,4889.1330,9802.9380,-143.2967,2365.7899,7276.0927
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,unloading,unloading_d_355,return_unloading,unloading_dense,3.5500,3.8000,15.0,5.0,113,3.5400,8.575500,10531.5631,-510.2480,4729.8660,9395.4070,-140.2917,2206.5229,6868.5617
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_345,return_unloading,unloading_dense,3.4500,3.8000,15.0,5.0,113,3.4200,7.079800,10249.1085,-509.0460,4613.8740,9136.9540,-139.0897,2090.5309,6610.1087
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_335,return_unloading,unloading_dense,3.3500,3.8000,15.0,5.0,113,3.3500,6.371400,10092.6375,-509.0460,4570.6050,8984.0100,-139.0897,2047.2619,6457.1647
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,11,unloading,unloading_d_325,return_unloading,unloading_dense,3.2500,3.8000,15.0,5.0,113,3.2200,5.406900,9802.1858,-509.0460,4493.6770,8696.5120,-139.0897,1970.3339,6169.6667
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,12,unloading,unloading_d_315,return_unloading,unloading_dense,3.1500,3.8000,15.0,5.0,113,3.1400,4.884300,9629.0496,-509.0460,4449.8050,8523.2370,-139.0897,1926.4619,5996.3917
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,13,unloading,unloading_d_305,return_unloading,unloading_dense,3.0500,3.8000,15.0,5.0,113,3.0200,4.154400,9318.6407,-509.6470,4371.6720,8214.4470,-139.6907,1848.3289,5687.6017
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,loading,loading_d_305,loading_branch,loading_dense,3.0500,3.8000,15.0,5.0,113,3.0400,7.367300,9585.7133,-496.4250,4354.2420,8526.1440,-89.4256,1657.8905,5706.1678
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,loading,loading_d_315,loading_branch,loading_dense,3.1500,3.8000,15.0,5.0,113,3.1500,8.340000,9827.2366,-498.8290,4440.1860,8752.6560,-91.8296,1743.8345,5932.6798
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,loading,loading_d_325,loading_branch,loading_dense,3.2500,3.8000,15.0,5.0,113,3.2400,9.260500,10078.8794,-503.0360,4542.9590,8982.0740,-96.0366,1846.6075,6162.0978
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,loading,loading_d_335,loading_branch,loading_dense,3.3500,3.8000,15.0,5.0,113,3.3400,10.259300,10328.2909,-505.4400,4652.3410,9207.6150,-98.4406,1955.9895,6387.6388
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,5,loading,loading_d_345,loading_branch,loading_dense,3.4500,3.8000,15.0,5.0,113,3.4400,11.341300,10574.8774,-507.8440,4770.7360,9423.4820,-100.8446,2074.3845,6603.5058
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,6,loading,loading_d_355,loading_branch,loading_dense,3.5500,3.8000,15.0,5.0,113,3.5400,12.528000,10823.0397,-511.4500,4891.5380,9640.3140,-104.4506,2195.1865,6820.3378
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,7,preload,preload_d_380,preload_loading,preload_dense,3.8000,3.8000,30.0,5.0,113,3.7800,15.626800,11437.8070,-525.8740,5228.0980,10160.1280,-118.8746,2531.7465,7340.1518
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,8,unloading,unloading_d_355,return_unloading,unloading_dense,3.5500,3.8000,15.0,5.0,113,3.5400,10.266300,11036.0908,-522.2680,5070.6340,9788.4160,-115.2686,2374.2825,6968.4398
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,9,unloading,unloading_d_345,return_unloading,unloading_dense,3.4500,3.8000,15.0,5.0,113,3.4200,8.500500,10761.2324,-519.8640,4942.6230,9545.4450,-112.8646,2246.2715,6725.4688
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,10,unloading,unloading_d_335,return_unloading,unloading_dense,3.3500,3.8000,15.0,5.0,113,3.3400,7.626600,10590.2163,-518.0610,4866.2960,9391.5360,-111.0616,2169.9445,6571.5598
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,11,unloading,unloading_d_325,return_unloading,unloading_dense,3.2500,3.8000,15.0,5.0,113,3.2300,6.462500,10299.7050,-516.8600,4755.7110,9121.4710,-109.8606,2059.3595,6301.4948
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,12,unloading,unloading_d_315,return_unloading,unloading_dense,3.1500,3.8000,15.0,5.0,113,3.1100,5.501700,10004.7889,-516.2580,4667.9670,8833.9680,-109.2586,1971.6155,6013.9918
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,13,unloading,unloading_d_305,return_unloading,unloading_dense,3.0500,3.8000,15.0,5.0,113,3.0200,4.978900,9826.1682,-515.6570,4617.4800,8657.7970,-108.6576,1921.1285,5837.8208
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,loading,loading_d_305,loading_branch,loading_dense,3.0500,3.8000,15.0,5.0,113,3.0500,7.711200,9754.1031,-501.2330,4508.7010,8635.5300,-89.5967,1775.3819,5794.7579
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,2,loading,loading_d_315,loading_branch,loading_dense,3.1500,3.8000,15.0,5.0,113,3.1500,8.728100,9993.8584,-503.6370,4599.4530,8858.1700,-92.0007,1866.1339,6017.3979
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,3,loading,loading_d_325,loading_branch,loading_dense,3.2500,3.8000,15.0,5.0,113,3.2400,9.694400,10250.6720,-507.2430,4707.6320,9091.4550,-95.6067,1974.3129,6250.6829
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,4,loading,loading_d_335,loading_branch,loading_dense,3.3500,3.8000,15.0,5.0,113,3.3400,10.752500,10495.1752,-510.2480,4822.4230,9308.2870,-98.6117,2089.1039,6467.5149
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,5,loading,loading_d_345,loading_branch,loading_dense,3.4500,3.8000,15.0,5.0,114,3.4400,11.886300,10741.2420,-513.8540,4942.0230,9523.1840,-102.2177,2208.7039,6682.4119
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,6,loading,loading_d_355,loading_branch,loading_dense,3.5500,3.8000,15.0,5.0,113,3.5500,13.130600,10986.0962,-518.0610,5064.0230,9735.1780,-106.4247,2330.7039,6894.4059
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,7,preload,preload_d_380,preload_loading,preload_dense,3.8000,3.8000,30.0,5.0,113,3.7800,16.466200,11591.2061,-529.4800,5404.7910,10239.5040,-117.8437,2671.4719,7398.7319
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,8,unloading,unloading_d_355,return_unloading,unloading_dense,3.5500,3.8000,15.0,5.0,114,3.5000,10.061200,11089.6159,-525.5735,5192.6400,9783.5780,-113.9372,2459.3209,6942.8059
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,9,unloading,unloading_d_345,return_unloading,unloading_dense,3.4500,3.8000,15.0,5.0,114,3.4200,8.963050,10931.0123,-524.6720,5118.1140,9644.1860,-113.0357,2384.7949,6803.4139
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,10,unloading,unloading_d_335,return_unloading,unloading_dense,3.3500,3.8000,15.0,5.0,113,3.3400,8.063600,10759.8956,-522.8700,5037.5810,9493.1780,-111.2337,2304.2619,6652.4059
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,11,unloading,unloading_d_325,return_unloading,unloading_dense,3.2500,3.8000,15.0,5.0,113,3.2200,6.814700,10461.6860,-520.4650,4904.1590,9226.9760,-108.8287,2170.8399,6386.2039
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,12,unloading,unloading_d_315,return_unloading,unloading_dense,3.1500,3.8000,15.0,5.0,114,3.1500,6.174400,10292.5883,-519.8640,4848.8660,9064.3520,-108.2277,2115.5469,6223.5799
session_20260615_160438,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,13,unloading,unloading_d_305,return_unloading,unloading_dense,3.0500,3.8000,15.0,5.0,113,3.0200,5.266400,9984.0898,-519.8640,4752.1060,8766.2080,-108.2277,2018.7869,5925.4359
