time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781642928.648115,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.0000,11.221000,-589.5810,1382.2990,9307.3220,-213.2456,-445.5768,6479.9535,9427.8629,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642928.736896,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.0595,11.219600,-590.1810,1386.5060,9310.2240,-213.8456,-441.3698,6482.8555,9431.3829,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642928.824867,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.1480,11.217100,-582.9690,1387.7080,9317.9680,-206.6336,-440.1678,6490.5995,9438.7560,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642928.913983,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.2366,11.215500,-588.9790,1384.1020,9305.3860,-212.6436,-443.7738,6478.0175,9426.1786,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642929.002277,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.3250,11.211900,-586.5750,1382.2990,9311.1940,-210.2396,-445.5768,6483.8255,9431.4980,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642929.090820,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.4140,11.208900,-588.3780,1388.3090,9307.3220,-212.0426,-439.5668,6479.9535,9428.6708,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642929.178776,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.5025,11.207900,-582.3680,1388.3090,9317.0020,-206.0326,-439.5668,6489.6335,9437.8536,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642929.267703,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.5906,11.204400,-586.5750,1387.7080,9314.0950,-210.2396,-440.1678,6486.7265,9435.1560,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642929.356018,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.6792,11.202800,-588.3780,1384.7030,9307.3220,-212.0426,-443.1728,6479.9535,9428.1405,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781642929.444961,session_20260616_162530,5,5,1,repeated_loading_control,loading_target,loading_hold,disp_path_hold,repeat_loading,340,3.4000,3.4000,3.3800,3.3800,,-0.0200,-5.1700,0.7676,11.201300,-576.9590,1383.5010,9312.1600,-200.6236,-444.3748,6484.7915,9432.0348,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
