time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781789052.342849,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.0000,7.311300,-570.3480,1417.1570,8380.9430,-180.6659,-448.2073,5411.2557,8519.0279,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.430592,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.0609,7.311000,-578.7620,1418.3590,8373.2020,-189.0799,-447.0053,5403.5147,8512.1807,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.520076,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.1492,7.307800,-573.3530,1417.1570,8372.2320,-183.6709,-448.2073,5402.5447,8510.6602,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.608244,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.2379,7.305600,-575.7570,1414.7530,8378.0400,-186.0749,-450.6113,5408.3527,8516.1362,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.697083,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.3263,7.301900,-576.9590,1418.3590,8369.3280,-187.2769,-447.0053,5399.6407,8508.2475,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.785866,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.4154,7.301300,-573.3530,1420.7630,8374.1700,-183.6709,-444.6013,5404.4827,8513.1677,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.873822,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.5040,7.302600,-578.1620,1414.1520,8377.0720,-188.4799,-451.2123,5407.3847,8515.2471,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789052.962962,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.5925,7.299000,-579.9640,1415.9550,8379.0100,-190.2819,-449.4093,5409.3227,8517.5757,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.051016,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.6810,7.295800,-575.7570,1417.7580,8374.1700,-186.0749,-447.6063,5404.4827,8512.8290,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.139523,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.7693,7.295700,-573.9550,1418.9600,8370.2960,-184.2729,-446.4043,5400.6087,8509.0967,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.227761,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.8577,7.294200,-573.3530,1414.1520,8376.1030,-183.6709,-451.2123,5406.4157,8513.9686,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.316489,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,0.9459,7.292400,-575.1560,1417.1570,8375.1380,-185.4739,-448.2073,5405.4507,8513.6405,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.405804,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.0348,7.290100,-578.1620,1418.9600,8369.3280,-188.4799,-446.4043,5399.6407,8508.4293,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.494482,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.1238,7.288500,-571.5500,1417.7580,8374.1700,-181.8679,-447.6063,5404.4827,8512.5455,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.583081,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.2123,7.287700,-577.5600,1413.5510,8376.1030,-187.8779,-451.8133,5406.4157,8514.1531,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.671263,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.3009,7.286400,-573.3530,1420.1620,8371.2640,-183.6709,-445.2023,5401.5767,8510.2089,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.759763,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.3892,7.284500,-576.9590,1414.1520,8376.1030,-187.2769,-451.2123,5406.4157,8514.2122,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.848140,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.4775,7.283100,-575.7570,1415.9550,8377.0720,-186.0749,-449.4093,5407.3847,8515.3837,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789053.936313,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.5659,7.280800,-569.7480,1421.3640,8368.3590,-180.0659,-444.0003,5398.6717,8507.3098,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.024928,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.6551,7.279600,-574.5550,1417.1570,8383.8480,-184.8729,-448.2073,5414.1607,8522.1684,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.114051,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.7430,7.278000,-576.3580,1422.5660,8373.2020,-186.6759,-442.7983,5403.5147,8512.7196,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.202323,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.8319,7.276500,-573.9550,1415.3540,8383.8480,-184.2729,-450.0103,5414.1607,8521.8284,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.290590,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,1.9209,7.273900,-575.7570,1416.5560,8373.2020,-186.0749,-448.8083,5403.5147,8511.6766,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.378947,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.0087,7.272200,-576.9590,1414.7530,8382.8800,-187.2769,-450.6113,5413.1927,8520.9791,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.467248,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.0974,7.271100,-572.1520,1414.7530,8374.1700,-182.4699,-450.6113,5404.4827,8512.0859,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.556651,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.1859,7.269400,-575.7570,1416.5560,8378.0400,-186.0749,-448.8083,5408.3527,8516.4359,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.645261,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.2745,7.266800,-573.9550,1420.7630,8365.4530,-184.2729,-444.6013,5395.7657,8504.6338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.733788,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.3629,7.266000,-575.1560,1414.1520,8379.9780,-185.4739,-451.2123,5410.2907,8517.9024,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.822015,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.4516,7.262600,-571.5500,1411.1470,8374.1700,-181.8679,-454.2173,5404.4827,8511.4469,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.910535,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.5401,7.261200,-573.3530,1416.5560,8373.2020,-183.6709,-448.8083,5403.5147,8511.5143,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789054.999621,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.6292,7.261300,-574.5550,1415.3540,8371.2640,-184.8729,-450.0103,5401.5767,8509.4889,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789055.087933,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.7177,7.258700,-572.1520,1415.9550,8378.0400,-182.4699,-449.4093,5408.3527,8516.0930,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789055.176285,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.8058,7.256700,-573.3530,1423.7680,8375.1380,-183.6709,-441.5963,5405.4507,8514.6219,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789055.264494,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.8949,7.258000,-572.7520,1420.1620,8377.0720,-183.0699,-445.2023,5407.3847,8515.8816,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789055.353650,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,2.9832,7.257200,-578.1620,1414.1520,8382.8800,-188.4799,-451.2123,5413.1927,8520.9609,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781789055.441859,session_20260618_092135,1,1,1,local_minor_loop_5p1B,loading_d_300,loading_dense,disp_path_hold,loading_branch,300,3.0000,3.8000,2.9800,2.9800,,-0.0200,-4.7700,3.0715,7.254200,-575.1560,1413.5510,8370.2960,-185.4739,-451.8133,5400.6087,8508.2775,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
