time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781813674.288106,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.0000,8.231900,-606.4080,1496.4890,8864.9430,-200.6146,-393.1535,5743.1881,9010.7949,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.377319,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.0535,8.228000,-600.3980,1491.6810,8855.2640,-194.6046,-397.9615,5733.5091,9000.0717,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.465248,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.1420,8.226100,-601.6000,1488.0750,8861.0720,-195.8066,-401.5675,5739.3171,9005.2699,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.554369,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.2308,8.224100,-601.6000,1494.0850,8854.2980,-195.8066,-395.5575,5732.5431,8999.6003,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.642907,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.3192,8.222800,-604.6050,1495.8880,8856.2340,-198.8116,-393.7545,5734.4791,9002.0058,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.731098,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.4075,8.221900,-605.8070,1494.0850,8855.2640,-200.0136,-395.5575,5733.5091,9000.8329,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.819731,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.4963,8.218000,-609.4140,1485.6710,8856.2340,-203.6206,-403.9715,5734.4791,9000.6380,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.908170,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.5849,8.214700,-606.4080,1494.6860,8860.1060,-200.6146,-394.9565,5738.3511,9005.7368,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813674.997034,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.6733,8.214300,-605.2070,1491.6810,8855.2640,-199.4136,-397.9615,5733.5091,9000.3938,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781813675.085183,session_20260618_161152,1,1,1,local_heldout_dense_loop_6p1,loading_d_305,loading_dense,disp_path_hold,loading_branch,305,3.0500,3.8000,3.0400,3.0400,,-0.0100,-4.9400,0.7619,8.210800,-600.9990,1492.8830,8856.2340,-195.2056,-396.7595,5734.4791,9001.2655,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
