time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781825463.104142,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.940900,8.00000,7.940900,-0.059100,nan,2.9700,2.9700,,-4.9000,0.0000,-600.3980,1512.1150,8831.0610,-600.3980,1512.1150,8831.0610,-191.4404,-381.8459,5676.4453,8979.6775,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.104142,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.939300,8.00000,7.939300,-0.060700,nan,2.9700,2.9700,,-4.9000,0.0005,-608.2110,1512.7160,8823.3220,-608.2110,1512.7160,8823.3220,-199.2534,-381.2449,5668.7063,8972.6942,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.112801,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.939400,8.00000,7.939400,-0.060600,nan,2.9700,2.9700,,-4.9000,0.0009,-605.8070,1509.1100,8832.0310,-605.8070,1509.1100,8832.0310,-196.8494,-384.8509,5677.4153,8980.4892,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.201241,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.936500,8.00000,7.936500,-0.063500,nan,2.9700,2.9700,,-4.9000,0.0094,-604.0040,1512.1150,8833.0020,-604.0040,1512.1150,8833.0020,-195.0464,-381.8459,5678.3863,8981.8282,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.290311,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.935800,8.00000,7.935800,-0.064200,nan,2.9700,2.9700,,-4.9000,0.0979,-607.0090,1509.7110,8827.1940,-607.0090,1509.7110,8827.1940,-198.0514,-384.2499,5672.5783,8975.9145,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.378665,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.936500,8.00000,7.936500,-0.063500,nan,2.9700,2.9700,,-4.9000,0.1865,-606.4080,1510.3120,8827.1940,-606.4080,1510.3120,8827.1940,-197.4504,-383.6489,5672.5783,8975.9750,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.467486,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.935100,8.00000,7.935100,-0.064900,nan,2.9700,2.9700,,-4.9000,0.2749,-603.4030,1512.7160,8832.0310,-603.4030,1512.7160,8832.0310,-194.4454,-381.2449,5677.4153,8980.9341,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.555768,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.933700,8.00000,7.933700,-0.066300,nan,2.9700,2.9700,,-4.9000,0.3635,-605.2070,1512.7160,8833.9680,-605.2070,1512.7160,8833.9680,-196.2494,-381.2449,5679.3523,8982.9603,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.644263,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.931000,8.00000,7.931000,-0.069000,nan,2.9700,2.9700,,-4.9000,0.4520,-602.2010,1507.3070,8828.1600,-602.2010,1507.3070,8828.1600,-193.2434,-386.6539,5673.5443,8976.1367,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781825463.732826,session_20260618_191117,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,800,8.00000,7.932500,8.00000,7.932500,-0.067500,nan,2.9700,2.9700,,-4.9000,0.5407,-605.2070,1511.5140,8827.1940,-605.2070,1511.5140,8827.1940,-196.2494,-382.4469,5672.5783,8976.0963,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
