session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_240,loading_branch,loading_dense,2.4000,3.2000,15.0,5.0,114,2.3900,4.137350,7604.6391,-578.1620,1641.9310,7402.2960,-158.4859,-273.8610,4193.3184
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_250,loading_branch,loading_dense,2.5000,3.2000,15.0,5.0,114,2.5000,4.684100,7791.7537,-581.1660,1619.6940,7599.7680,-161.4899,-296.0980,4390.7904
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_260,loading_branch,loading_dense,2.6000,3.2000,15.0,5.0,114,2.6000,5.190800,8003.8211,-585.3730,1605.2700,7819.5040,-165.6969,-310.5220,4610.5264
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_270,loading_branch,loading_dense,2.7000,3.2000,15.0,5.0,114,2.6900,5.762600,8230.2239,-590.7820,1609.4770,8049.8900,-171.1059,-306.3150,4840.9124
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_280,loading_branch,loading_dense,2.8000,3.2000,15.0,5.0,114,2.7900,6.391300,8461.5356,-594.3880,1622.0980,8283.1760,-174.7119,-293.6940,5074.1984
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_290,loading_branch,loading_dense,2.9000,3.2000,15.0,5.0,114,2.8700,7.084000,8691.7815,-599.7970,1636.5220,8515.4980,-180.1209,-279.2700,5306.5204
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,loading,loading_d_300,loading_branch,loading_dense,3.0000,3.2000,15.0,5.0,114,3.0000,7.858000,8917.5454,-606.4080,1651.5470,8742.0100,-186.7319,-264.2450,5533.0324
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,preload,preload_d_320,preload_loading,preload_dense,3.2000,3.2000,30.0,5.0,114,3.1900,9.538300,9384.4258,-626.8420,1687.6070,9209.5520,-207.1659,-228.1850,6000.5744
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_300,return_unloading,unloading_dense,3.0000,3.2000,15.0,5.0,113,3.0000,6.669600,9059.2159,-614.2210,1685.2030,8880.4320,-194.5449,-230.5890,5671.4544
session_20260622_151834,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_290,return_unloading,unloading_dense,2.9000,3.2000,15.0,5.0,114,2.8700,5.438000,8791.3580,-607.0090,1679.1930,8607.9380,-187.3329,-236.5990,5398.9604
