time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782162607.361639,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.0000,4.597300,-579.9640,1630.5120,7645.2640,-159.5935,-289.0890,4348.3530,7838.6854,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.451238,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.0554,4.597100,-580.5650,1632.9160,7643.3280,-160.1945,-286.6850,4346.4170,7837.3422,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.539611,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.1443,4.597600,-575.7570,1625.7050,7644.2960,-155.3865,-293.8960,4347.3850,7836.4325,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.628406,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.2324,4.598500,-576.9590,1631.7140,7653.9760,-156.5885,-287.8870,4357.0650,7847.2110,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.716865,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.3209,4.597200,-579.3630,1630.5120,7638.4880,-158.9925,-289.0890,4341.5770,7832.0323,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.804793,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.4093,4.594900,-581.1660,1630.5120,7652.0390,-160.7955,-289.0890,4355.1280,7845.3823,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.892866,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.4978,4.591800,-580.5650,1631.1130,7648.1680,-160.1945,-288.4880,4351.2570,7841.6873,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162607.982285,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.5863,4.591600,-577.5600,1631.1130,7650.1040,-157.1895,-288.4880,4353.1930,7843.3536,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162608.070098,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.6748,4.589400,-582.3680,1631.7140,7653.0080,-161.9975,-287.8870,4356.0970,7846.6665,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782162608.159020,session_20260622_162129,5,5,5,local_minor_loop_5p1B_L,loading_d_240,loading_dense,disp_path_hold,loading_branch,240,2.4000,3.2000,2.3900,2.3900,,-0.0100,-4.4000,0.7633,4.588000,-584.7720,1632.3150,7650.1040,-164.4015,-287.2860,4353.1930,7844.1381,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
