time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782166823.501695,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.0000,4.609600,-582.3680,1635.3200,7645.2640,-160.4437,-283.2222,4339.1757,7839.8652,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166823.591446,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.0602,4.609700,-575.7570,1638.9260,7645.2640,-153.8327,-279.6162,4339.1757,7840.1299,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166823.679264,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.1487,4.607900,-582.9690,1637.1230,7645.2640,-161.0447,-281.4192,4339.1757,7840.2861,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166823.767595,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.2370,4.605800,-584.7720,1634.7190,7643.3280,-162.8477,-283.8232,4337.2397,7838.0308,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166823.856162,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.3254,4.605400,-579.9640,1632.3150,7647.2000,-158.0397,-286.2272,4341.1117,7840.9488,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166823.944589,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.4139,4.603700,-577.5600,1634.1180,7649.1350,-155.6357,-284.4242,4343.0467,7843.0341,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166824.033660,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.5024,4.602700,-582.9690,1640.7290,7644.2960,-161.0447,-277.8132,4338.2077,7840.0960,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166824.121289,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.5907,4.600700,-579.3630,1630.5120,7651.0720,-157.4387,-288.0302,4344.9837,7844.3058,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166824.209682,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.6794,4.601100,-576.3580,1632.3150,7651.0720,-154.4337,-286.2272,4344.9837,7844.4594,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166824.298193,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.7678,4.601800,-579.3630,1634.7190,7646.2340,-157.4387,-283.8232,4340.1457,7840.4631,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782166824.387640,session_20260622_180702,2,2,2,local_heldout_dense_loop_6p1_L,loading_d_245,loading_dense,disp_path_hold,loading_branch,245,2.4500,3.2000,2.4500,2.4500,,+0.0000,-4.4200,0.8563,4.600600,-578.1620,1637.7240,7643.3280,-156.2377,-280.8182,4337.2397,7838.1678,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
