session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_245,loading_branch,loading_dense,2.4500,3.2000,15.0,5.0,112,2.4400,4.678500,7901.2391,-584.7720,1628.7090,7709.1520,-161.0680,-289.9447,4437.0942
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_255,loading_branch,loading_dense,2.5500,3.2000,15.0,5.0,112,2.5300,5.310200,8102.2803,-588.9790,1617.2900,7917.2720,-165.2750,-301.3637,4645.2142
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_265,loading_branch,loading_dense,2.6500,3.2000,15.0,5.0,113,2.6300,5.926400,8332.8676,-592.5850,1625.1030,8151.5280,-168.8810,-293.5507,4879.4702
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_275,loading_branch,loading_dense,2.7500,3.2000,15.0,5.0,112,2.7300,6.591800,8560.5587,-597.9940,1638.9260,8380.9430,-174.2900,-279.7277,5108.8852
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_285,loading_branch,loading_dense,2.8500,3.2000,15.0,5.0,114,2.8300,7.332850,8788.4643,-604.6050,1655.1530,8609.3910,-180.9010,-263.5007,5337.3332
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_295,loading_branch,loading_dense,2.9500,3.2000,15.0,5.0,114,2.9400,8.150250,9017.7992,-611.2160,1673.7840,8840.2605,-187.5120,-244.8697,5568.2027
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,preload,preload_d_320,preload_loading,preload_dense,3.2000,3.2000,30.0,5.0,114,3.1900,10.439950,9602.8408,-638.8620,1729.6770,9424.4470,-215.1580,-188.9767,6152.3892
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,unloading,unloading_d_295,return_unloading,unloading_dense,2.9500,3.2000,15.0,5.0,112,2.9600,6.766300,9179.1670,-622.0340,1713.4500,8996.5920,-198.3300,-205.2037,5724.5342
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_285,return_unloading,unloading_dense,2.8500,3.2000,15.0,5.0,113,2.8300,5.548000,8913.6766,-613.6210,1706.8390,8726.5220,-189.9170,-211.8147,5454.4642
session_20260622_180702,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_275,return_unloading,unloading_dense,2.7500,3.2000,15.0,5.0,111,2.7500,4.967700,8757.0851,-610.6150,1714.0510,8565.8340,-186.9110,-204.6027,5293.7762
