time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782230180.223521,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.046200,6.00000,6.046200,+0.046200,nan,2.7200,2.7200,,-4.7300,0.0000,-603.4030,1653.3500,8422.5650,-603.4030,1653.3500,8422.5650,-176.2522,-277.0968,5141.5902,8604.4908,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.224527,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.044000,6.00000,6.044000,+0.044000,nan,2.7200,2.7200,,-4.7300,0.0009,-604.6050,1659.9610,8419.6640,-604.6050,1659.9610,8419.6640,-177.4542,-270.4858,5138.6892,8603.0088,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.235699,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.044700,6.00000,6.044700,+0.044700,nan,2.7200,2.7200,,-4.7300,0.0012,-608.8120,1653.3500,8412.8900,-608.8120,1653.3500,8412.8900,-181.6612,-277.0968,5131.9152,8595.4021,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.323744,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.046800,6.00000,6.046800,+0.046800,nan,2.7200,2.7200,,-4.7300,0.0122,-604.6050,1649.7440,8418.6980,-604.6050,1649.7440,8418.6980,-177.4542,-280.7028,5137.7232,8600.0976,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.413256,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.047800,6.00000,6.047800,+0.047800,nan,2.7200,2.7200,,-4.7300,0.1007,-603.4030,1652.1480,8422.5650,-603.4030,1652.1480,8422.5650,-176.2522,-278.2988,5141.5902,8604.2600,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.501132,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.046900,6.00000,6.046900,+0.046900,nan,2.7200,2.7200,,-4.7300,0.1898,-602.2010,1657.5570,8420.6340,-602.2010,1657.5570,8420.6340,-175.0502,-272.8898,5139.6592,8603.3260,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.588819,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.046300,6.00000,6.046300,+0.046300,nan,2.7200,2.7200,,-4.7300,0.2777,-602.8020,1653.3500,8420.6340,-602.8020,1653.3500,8420.6340,-175.6512,-277.0968,5139.6592,8602.5585,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.678313,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.045700,6.00000,6.045700,+0.045700,nan,2.7200,2.7200,,-4.7300,0.3659,-604.0040,1653.9510,8417.7280,-604.0040,1653.9510,8417.7280,-176.8532,-276.4958,5136.7532,8599.9139,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.766274,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.044800,6.00000,6.044800,+0.044800,nan,2.7200,2.7200,,-4.7300,0.4547,-604.0040,1655.7540,8416.7620,-604.0040,1655.7540,8416.7620,-176.8532,-274.6928,5135.7872,8599.3154,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782230180.854625,session_20260623_112700,3,3,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,600,6.00000,6.046100,6.00000,6.046100,+0.046100,nan,2.7200,2.7200,,-4.7300,0.5430,-608.8120,1653.9510,8414.8260,-608.8120,1653.9510,8414.8260,-181.6612,-276.4958,5133.8512,8597.4126,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
