session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_340,loading_branch,loading_dense,3.4000,4.2000,15.0,5.0,114,3.4000,12.031650,10072.3311,-678.8285,1824.0340,9882.3140,-250.5911,-112.5900,6593.8644
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_350,loading_branch,loading_dense,3.5000,4.2000,15.0,5.0,113,3.5000,13.527000,10282.5926,-689.3460,1840.8620,10093.3380,-261.1086,-95.7620,6804.8884
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_360,loading_branch,loading_dense,3.6000,4.2000,15.0,5.0,114,3.5900,14.958700,10503.5066,-703.1690,1866.1040,10312.1060,-274.9316,-70.5200,7023.6564
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_370,loading_branch,loading_dense,3.7000,4.2000,15.0,5.0,114,3.6900,16.511750,10721.3588,-716.3910,1891.9470,10528.9380,-288.1536,-44.6770,7240.4884
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_380,loading_branch,loading_dense,3.8000,4.2000,15.0,5.0,114,3.7900,18.202800,10930.5450,-728.4110,1923.1990,10735.1190,-300.1736,-13.4250,7446.6694
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_390,loading_branch,loading_dense,3.9000,4.2000,15.0,5.0,114,3.9000,20.013150,11126.2660,-741.9335,1955.0520,10927.7490,-313.6961,18.4280,7639.2994
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,loading,loading_d_400,loading_branch,loading_dense,4.0000,4.2000,15.0,5.0,114,3.9800,21.860550,11297.1777,-753.0520,1986.9050,11095.2160,-324.8146,50.2810,7806.7664
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,preload,preload_d_420,preload_loading,preload_dense,4.2000,4.2000,30.0,5.0,114,3.9800,21.610750,11302.2152,-754.2540,1987.5060,11100.0580,-326.0166,50.8820,7811.6084
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_400,return_unloading,unloading_dense,4.0000,4.2000,15.0,5.0,114,3.9800,21.519550,11303.0922,-754.2540,1986.6045,11101.9940,-326.0166,49.9805,7813.5444
session_20260623_162301,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_390,return_unloading,unloading_dense,3.9000,4.2000,15.0,5.0,114,3.9000,18.485950,11230.8110,-748.5445,1991.7130,11027.4560,-320.3071,55.0890,7739.0064
