time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782255875.343029,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.0000,13.174800,-700.7650,1881.1290,10199.8180,-270.2590,-72.2872,6793.8686,10395.4800,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.431473,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.0537,13.173300,-698.3610,1877.5230,10201.7490,-267.8550,-75.8932,6795.7996,10396.5611,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.520414,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.1420,13.169900,-700.7650,1873.3160,10199.8180,-270.2590,-80.1002,6793.8686,10394.0691,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.609080,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.2305,13.166800,-701.3660,1875.1190,10199.8180,-270.8600,-78.2972,6793.8686,10394.4347,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.697372,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.3191,13.164300,-696.5580,1876.3210,10194.9760,-266.0520,-77.0952,6789.0266,10389.5769,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.785708,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.4074,13.160300,-697.7600,1876.3210,10201.7490,-267.2540,-77.0952,6795.7996,10396.3038,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.874098,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.4959,13.156500,-698.9620,1880.5280,10205.6260,-268.4560,-72.8882,6799.6766,10400.9488,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255875.961981,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.5839,13.153200,-700.1650,1875.7200,10203.6900,-269.6590,-77.6962,6797.7406,10398.2617,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.050474,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.6725,13.151500,-698.3610,1875.7200,10198.8480,-267.8550,-77.6962,6792.8986,10393.3890,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.138460,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.7610,13.149200,-703.7700,1878.1240,10197.8820,-273.2640,-75.2922,6791.9326,10393.2401,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.227949,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.8494,13.147600,-695.3560,1881.7300,10201.7490,-264.8500,-71.6862,6795.7996,10397.1203,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.315766,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,0.9381,13.144300,-696.5580,1879.9270,10193.0400,-266.0520,-73.4892,6787.0906,10388.3292,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.404456,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.0262,13.141800,-701.3660,1874.5180,10204.6560,-270.8600,-78.8982,6798.7066,10399.0738,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.491954,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.1148,13.138700,-698.3610,1877.5230,10200.7830,-267.8550,-75.8932,6794.8336,10395.6132,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.581783,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.2032,13.137200,-700.7650,1879.9270,10194.9760,-270.2590,-73.4892,6789.0266,10390.5117,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.669359,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.2919,13.133600,-698.3610,1878.7250,10210.4690,-267.8550,-74.6912,6804.5196,10405.3348,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.758869,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.3800,13.129200,-703.7700,1877.5230,10204.6560,-273.2640,-75.8932,6798.7066,10399.7783,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.846731,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.4687,13.129200,-694.7550,1881.1290,10194.9760,-264.2490,-72.2872,6789.0266,10390.3256,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255876.935202,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.5571,13.124800,-703.7700,1872.7150,10200.7830,-273.2640,-80.7012,6794.8336,10395.1107,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255877.023916,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.6455,13.122900,-700.7650,1881.1290,10199.8180,-270.2590,-72.2872,6793.8686,10395.4800,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782255877.112081,session_20260623_182650,4,4,4,local_minor_loop_5p1B_H,loading_d_340,loading_dense,disp_path_hold,loading_branch,340,3.4000,4.2000,3.3800,3.3800,,-0.0200,-5.5100,1.7338,13.120000,-698.3610,1879.9270,10198.8480,-267.8550,-73.4892,6792.8986,10394.1490,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
