time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782261003.467212,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.0000,13.368800,-703.7700,1897.3560,10240.4740,-262.9394,-64.0123,6639.4330,10438.5133,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261003.555825,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.0553,13.364900,-700.7650,1892.5480,10241.4390,-259.9344,-68.8203,6640.3980,10438.3850,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261003.644401,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.1439,13.360900,-699.5630,1894.3510,10244.3460,-258.7324,-67.0173,6643.3050,10441.4836,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261003.732649,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.2321,13.357200,-703.1690,1893.7500,10235.6320,-262.3384,-67.6183,6634.5910,10433.0675,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261003.820651,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.3210,13.356200,-701.9670,1896.7550,10240.4740,-261.1364,-64.6133,6639.4330,10438.2827,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261003.909805,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.4092,13.354600,-704.9720,1900.9620,10231.7600,-264.1414,-60.4063,6630.7190,10430.7025,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261003.997460,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.4977,13.349400,-701.9670,1891.3460,10237.5670,-261.1364,-70.0223,6636.5260,10434.4490,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261004.086154,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.5859,13.346400,-703.7700,1897.9570,10235.6320,-262.9394,-63.4113,6634.5910,10433.8725,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261004.174940,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.6746,13.343200,-704.3720,1897.3560,10244.3460,-263.5414,-64.0123,6643.3050,10442.3524,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261004.263114,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.7631,13.338900,-703.1690,1893.7500,10246.2820,-262.3384,-67.6183,6645.2410,10443.5162,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261004.351808,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.8513,13.336200,-705.5730,1899.1590,10235.6320,-264.7424,-62.2093,6634.5910,10434.2130,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782261004.439891,session_20260623_201622,2,2,2,local_heldout_dense_loop_6p1_H,loading_d_345,loading_dense,disp_path_hold,loading_branch,345,3.4500,4.2000,3.4400,3.4400,,-0.0100,-5.5300,0.9399,13.335700,-706.1740,1893.7500,10241.4390,-265.3434,-67.6183,6640.3980,10438.9676,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
