session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_345,loading_branch,loading_dense,3.4500,4.2000,15.0,5.0,114,3.4400,13.265600,10439.7735,-705.5730,1894.3510,10242.4050,-270.0802,-62.3576,6853.7598
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_355,loading_branch,loading_dense,3.5500,4.2000,15.0,5.0,114,3.5400,14.939450,10641.1779,-716.3910,1909.3760,10443.7490,-280.8982,-47.3326,7055.1038
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_365,loading_branch,loading_dense,3.6500,4.2000,15.0,5.0,114,3.6400,16.586850,10853.5375,-729.6130,1934.6180,10654.7730,-294.1202,-22.0906,7266.1278
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_375,loading_branch,loading_dense,3.7500,4.2000,15.0,5.0,114,3.7400,18.381450,11058.9433,-741.6330,1965.2690,10858.0580,-306.1402,8.5604,7469.4128
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_385,loading_branch,loading_dense,3.8500,4.2000,15.0,5.0,114,3.8500,20.318250,11245.7399,-753.0520,1998.9250,11041.0080,-317.5592,42.2164,7652.3628
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_395,loading_branch,loading_dense,3.9500,4.2000,15.0,5.0,114,3.8900,21.493100,11327.4089,-758.4610,2011.2455,11121.3540,-322.9682,54.5369,7732.7088
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,preload,preload_d_420,preload_loading,preload_dense,4.2000,4.2000,30.0,5.0,114,3.8900,21.278000,11328.8043,-759.6640,2011.5460,11123.2900,-324.1712,54.8374,7734.6448
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,unloading,unloading_d_395,return_unloading,unloading_dense,3.9500,4.2000,15.0,5.0,114,3.8900,21.192600,11331.8777,-759.9640,2012.1470,11126.1920,-324.4712,55.4384,7737.5468
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_385,return_unloading,unloading_dense,3.8500,4.2000,15.0,5.0,114,3.8100,18.131250,11261.7994,-753.9535,2016.9550,11054.0770,-318.4607,60.2464,7665.4318
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_375,return_unloading,unloading_dense,3.7500,4.2000,15.0,5.0,114,3.7200,15.835750,11162.1618,-747.6430,2013.9500,10952.9220,-312.1502,57.2414,7564.2768
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,11,unloading,unloading_d_365,return_unloading,unloading_dense,3.6500,4.2000,15.0,5.0,114,3.6400,14.004850,11048.4779,-741.0320,2004.9350,10839.6640,-305.5392,48.2264,7451.0188
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,12,unloading,unloading_d_355,return_unloading,unloading_dense,3.5500,4.2000,15.0,5.0,114,3.5200,11.448450,10805.6695,-729.6130,1974.8850,10598.6340,-294.1202,18.1764,7209.9888
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,13,unloading,unloading_d_345,return_unloading,unloading_dense,3.4500,4.2000,15.0,5.0,114,3.4400,10.177900,10645.1503,-722.1005,1953.8500,10439.8820,-286.6077,-2.8586,7051.2368
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,loading,loading_d_345,loading_branch,loading_dense,3.4500,4.2000,15.0,5.0,114,3.4400,13.155550,10436.6654,-702.5680,1893.7500,10239.5040,-261.7374,-67.6183,6638.4630
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,loading,loading_d_355,loading_branch,loading_dense,3.5500,4.2000,15.0,5.0,114,3.5400,14.832050,10637.7995,-713.9870,1911.1790,10439.8820,-273.1564,-50.1893,6838.8410
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,loading,loading_d_365,loading_branch,loading_dense,3.6500,4.2000,15.0,5.0,114,3.6400,16.487950,10851.1186,-726.6080,1935.8200,10651.8720,-285.7774,-25.5483,7050.8310
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,loading,loading_d_375,loading_branch,loading_dense,3.7500,4.2000,15.0,5.0,114,3.7400,18.289100,11052.6650,-739.2290,1967.0720,10851.2800,-298.3984,5.7037,7250.2390
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,5,loading,loading_d_385,loading_branch,loading_dense,3.8500,4.2000,15.0,5.0,114,3.8500,20.249500,11239.8503,-751.8500,1998.9250,11035.2000,-311.0194,37.5567,7434.1590
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,6,loading,loading_d_395,loading_branch,loading_dense,3.9500,4.2000,15.0,5.0,114,3.8900,21.452550,11321.8552,-757.8600,2012.1470,11116.0290,-317.0294,50.7787,7514.9880
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,7,preload,preload_d_420,preload_loading,preload_dense,4.2000,4.2000,30.0,5.0,114,3.8900,21.246250,11322.8748,-757.8600,2012.1470,11116.5120,-317.0294,50.7787,7515.4710
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,8,unloading,unloading_d_395,return_unloading,unloading_dense,3.9500,4.2000,15.0,5.0,114,3.8900,21.165150,11325.0239,-757.8600,2012.7480,11118.9325,-317.0294,51.3797,7517.8915
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,9,unloading,unloading_d_385,return_unloading,unloading_dense,3.8500,4.2000,15.0,5.0,114,3.8100,18.073500,11255.6662,-752.4510,2017.2555,11047.7810,-311.6204,55.8872,7446.7400
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,10,unloading,unloading_d_375,return_unloading,unloading_dense,3.7500,4.2000,15.0,5.0,114,3.7200,15.806100,11156.0468,-745.5395,2014.5510,10947.1090,-304.7089,53.1827,7346.0680
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,11,unloading,unloading_d_365,return_unloading,unloading_dense,3.6500,4.2000,15.0,5.0,114,3.6400,13.931150,11039.0884,-739.8310,2006.1370,10829.9840,-299.0004,44.7687,7228.9430
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,12,unloading,unloading_d_355,return_unloading,unloading_dense,3.5500,4.2000,15.0,5.0,114,3.5200,11.370750,10793.3884,-727.8100,1976.6880,10586.0470,-286.9794,15.3197,6985.0060
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,13,unloading,unloading_d_345,return_unloading,unloading_dense,3.4500,4.2000,15.0,5.0,114,3.4400,10.081350,10630.0444,-720.2980,1955.0520,10423.9060,-279.4674,-6.3163,6822.8650
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,loading,loading_d_345,loading_branch,loading_dense,3.4500,4.2000,15.0,5.0,114,3.4400,13.097050,10436.5846,-701.6665,1891.3460,10239.9890,-261.6812,-68.6575,6640.6092
session_20260623_201622,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,2,loading,loading_d_355,loading_branch,loading_dense,3.5500,4.2000,15.0,5.0,114,3.5400,14.772750,10640.9014,-712.7850,1908.1740,10443.7490,-272.7997,-51.8295,6844.3692
