time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782310485.026445,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.0000,21.355900,-773.4860,2081.2610,11264.6130,-325.9630,105.8215,7649.9950,11481.3516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.114063,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.0556,21.353700,-771.6830,2081.8630,11263.6480,-324.1600,106.4235,7649.0300,11480.3926,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.203562,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.1440,21.350600,-777.0920,2080.6610,11257.8400,-329.5690,105.2215,7643.2220,11474.8413,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.291430,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.2329,21.348300,-775.8900,2081.8630,11260.7460,-328.3670,106.4235,7646.1280,11477.8290,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.380530,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.3209,21.343300,-778.2940,2078.8590,11263.6480,-330.7710,103.4195,7649.0300,11480.2945,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.468721,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.4096,21.339300,-779.4960,2087.2730,11276.2340,-331.9730,111.8335,7661.6160,11494.2497,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.557993,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.4980,21.334900,-776.4910,2076.4540,11261.7120,-328.9680,101.0145,7647.0940,11477.8376,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.645511,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.5869,21.329900,-774.6880,2081.8630,11263.6480,-327.1650,106.4235,7649.0300,11480.5950,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.734599,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.6750,21.329600,-772.8850,2080.6610,11256.8740,-325.3620,105.2215,7642.2560,11473.6094,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782310485.823001,session_20260624_090338,1,1,4,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,400,4.0000,4.2000,3.9100,3.9100,,-0.0900,-6.0000,0.7637,21.326800,-774.6880,2078.8590,11264.6130,-327.1650,103.4195,7649.9950,11480.9974,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
