session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,d_target_mm,d_preload_mm,d_direct_mm,d_return_mm,d_diff_mm,F_direct_N,F_return_N,delta_F_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_N,same_d_ok,force_split_ok,b_signal_ok,verdict
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,340,3.4000,4.2000,3.3900,3.4100,+0.0200,12.602400,10.193100,-2.409300,10430.3426,10658.9363,+228.5937,-21.0350,+77.5290,+216.8320,231.2344,-94.8797,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,340,3.4000,4.2000,3.3900,3.3900,+0.0000,12.212600,9.599100,-2.613500,10375.7565,10562.3167,+186.5602,-19.8330,+70.9180,+176.1810,190.9514,-71.3833,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,340,3.4000,4.2000,3.3800,3.3800,+0.0000,12.927200,10.306400,-2.620800,10502.5478,10685.4204,+182.8726,-19.2320,+74.5240,+171.3390,187.8317,-69.7774,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,360,3.6000,4.2000,3.5800,3.5800,+0.0000,15.159800,12.907700,-2.252100,10859.2102,11022.0665,+162.8563,-12.6210,+76.3270,+151.0070,169.6709,-72.3131,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,360,3.6000,4.2000,3.5800,3.5800,+0.0000,16.049000,13.992600,-2.056400,10981.8426,11125.1548,+143.3122,-9.6160,+66.7110,+132.6140,148.7592,-69.6908,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,2,360,3.6000,4.2000,3.5800,3.5800,+0.0000,15.344400,12.988700,-2.355700,10891.3951,11035.9416,+144.5465,-11.4190,+74.5240,+132.6190,152.5517,-61.3603,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,380,3.8000,4.2000,3.7800,3.7800,+0.0000,18.058150,16.434300,-1.623850,11220.0704,11286.1283,+66.0578,-3.3065,+34.2570,+60.5010,69.6049,-40.6798,1,1,1,strong
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,380,3.8000,4.2000,3.7800,3.7600,-0.0200,18.384300,16.466600,-1.917700,11251.1163,11284.9517,+33.8355,+0.0000,+25.8430,+30.0050,39.6000,-17.6438,1,1,0,force_split_only
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,3,380,3.8000,4.2000,3.7800,3.7600,-0.0200,18.319900,16.411000,-1.908900,11249.4889,11285.4273,+35.9384,-1.2020,+26.7445,+31.9410,41.6766,-18.8268,1,1,0,force_split_only
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,400,4.0000,4.2000,3.9100,3.9100,+0.0000,20.751300,20.354000,-0.397300,11477.5981,11477.5008,-0.0973,+0.0000,+0.0000,-0.9710,0.9710,0.2448,1,1,0,force_split_only
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,400,4.0000,4.2000,3.8900,3.8900,+0.0000,20.653800,20.267700,-0.386100,11483.8636,11482.9049,-0.9587,+0.6010,-0.6020,-0.9710,1.2909,2.4831,1,1,0,force_split_only
session_20260624_090338,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,4,400,4.0000,4.2000,3.8000,3.8000,+0.0000,20.586600,20.212100,-0.374500,11490.9927,11488.7559,-2.2368,+0.0000,+0.0000,-1.9370,1.9370,5.9728,1,1,0,force_split_only
