session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_180,loading_branch,loading_dense,1.8000,2.6000,15.0,5.0,114,1.7800,2.361150,6797.3639,-587.1760,1827.0390,6520.4480,-146.8151,-135.9772,3108.3252
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_190,loading_branch,loading_dense,1.9000,2.6000,15.0,5.0,113,1.8900,2.701200,6983.7083,-590.1810,1804.2010,6720.8240,-149.8201,-158.8152,3308.7012
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_200,loading_branch,loading_dense,2.0000,2.6000,15.0,5.0,113,1.9800,3.024200,7192.5419,-592.5850,1784.3680,6942.4960,-152.2241,-178.6482,3530.3732
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_210,loading_branch,loading_dense,2.1000,2.6000,15.0,5.0,113,2.0800,3.384900,7401.7447,-593.1860,1765.1360,7164.1680,-152.8251,-197.8802,3752.0452
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_220,loading_branch,loading_dense,2.2000,2.6000,15.0,5.0,113,2.1800,3.771900,7612.4031,-596.1910,1745.9040,7385.8400,-155.8301,-217.1122,3973.7172
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_230,loading_branch,loading_dense,2.3000,2.6000,15.0,5.0,113,2.2900,4.202400,7824.6556,-600.3980,1727.8740,7607.5120,-160.0371,-235.1422,4195.3892
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,loading,loading_d_240,loading_branch,loading_dense,2.4000,2.6000,15.0,5.0,114,2.3900,4.674450,8034.3623,-605.8070,1711.0460,7826.2800,-165.4461,-251.9702,4414.1572
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,preload,preload_d_260,preload_loading,preload_dense,2.6000,2.6000,30.0,5.0,113,2.5800,5.706600,8489.2266,-613.6210,1712.2480,8291.8880,-173.2601,-250.7682,4879.7652
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_240,return_unloading,unloading_dense,2.4000,2.6000,15.0,5.0,114,2.4100,3.893700,8160.1307,-604.0040,1744.4015,7948.2480,-163.6431,-218.6147,4536.1252
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_230,return_unloading,unloading_dense,2.3000,2.6000,15.0,5.0,114,2.2900,3.149050,7902.7621,-598.5950,1771.7470,7678.1760,-158.2341,-191.2692,4266.0532
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,11,unloading,unloading_d_220,return_unloading,unloading_dense,2.2000,2.6000,15.0,5.0,113,2.2000,2.785600,7746.5728,-594.9890,1788.5750,7513.6160,-154.6281,-174.4412,4101.4932
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,12,unloading,unloading_d_210,return_unloading,unloading_dense,2.1000,2.6000,15.0,5.0,113,2.0800,2.304300,7461.7380,-592.5850,1815.0190,7213.5360,-152.2241,-147.9972,3801.4132
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,13,unloading,unloading_d_200,return_unloading,unloading_dense,2.0000,2.6000,15.0,5.0,113,2.0000,2.050700,7304.5396,-591.3830,1830.0440,7047.0390,-151.0221,-132.9722,3634.9162
session_20260624_122802,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,14,unloading,unloading_d_190,return_unloading,unloading_dense,1.9000,2.6000,15.0,5.0,113,1.9200,1.843200,7146.2901,-589.5810,1845.0690,6878.6080,-149.2201,-117.9472,3466.4852
