time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782328188.440675,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.0000,2.482900,-585.9740,1819.2260,6552.3920,-146.2102,-132.5504,3092.4589,6825.4516,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328188.529921,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.0569,2.482900,-585.9740,1813.8170,6566.9120,-146.2102,-137.9594,3106.9789,6837.9552,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328188.618214,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.1455,2.483200,-579.9640,1817.4230,6552.3920,-140.2002,-134.3534,3092.4589,6824.4579,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328188.706146,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.2337,2.481800,-585.9740,1824.6350,6559.1680,-146.2102,-127.1414,3099.2349,6833.3991,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328188.794520,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.3224,2.480100,-584.1710,1818.6250,6563.0390,-144.4072,-133.1514,3103.1059,6835.3591,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328188.883661,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.4107,2.479200,-582.3680,1822.8320,6567.8800,-142.6042,-128.9444,3107.9469,6840.9734,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328188.971586,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.4995,2.479700,-587.1760,1819.8270,6554.3280,-147.4122,-131.9494,3094.3949,6827.5736,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.060637,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.5880,2.480600,-584.7720,1816.8220,6559.1680,-145.0082,-134.9544,3099.2349,6831.2140,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.149480,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.6764,2.479500,-584.7720,1818.6250,6564.0080,-145.0082,-133.1514,3104.0749,6836.3408,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.237111,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.7649,2.476600,-582.3680,1818.6250,6560.1350,-142.6042,-133.1514,3100.2019,6832.4169,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.325440,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.8531,2.478200,-584.7720,1820.4280,6558.2000,-145.0082,-131.3484,3098.2669,6831.2447,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.413898,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,0.9416,2.479100,-583.5700,1819.2260,6547.5520,-143.8062,-132.5504,3087.6189,6820.5993,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.502575,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.0302,2.478100,-579.9640,1816.8220,6555.2960,-140.2002,-134.9544,3095.3629,6827.0862,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.591290,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.1187,2.475800,-582.9690,1819.2260,6555.2960,-143.2052,-132.5504,3095.3629,6827.9823,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.678990,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.2070,2.474100,-586.5750,1816.2210,6558.2000,-146.8112,-135.5554,3098.2669,6830.2794,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.768074,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.2955,2.474400,-580.5650,1817.4230,6561.1040,-140.8012,-134.3534,3101.1709,6832.8740,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.857177,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.3838,2.474400,-586.5750,1820.4280,6558.2000,-146.8112,-131.3484,3098.2669,6831.3992,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328189.944638,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.4726,2.475900,-584.1710,1819.2260,6557.2340,-144.4072,-132.5504,3097.3009,6829.9456,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.033812,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.5609,2.473100,-582.3680,1820.4280,6556.2640,-142.6042,-131.3484,3096.3309,6829.1806,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.122083,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.6493,2.472000,-585.3730,1818.6250,6562.0720,-145.6092,-133.1514,3102.1389,6834.5334,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.210540,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.7378,2.472600,-585.9740,1815.6200,6559.1680,-146.2102,-136.1564,3099.2349,6830.9975,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.299185,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.8265,2.471700,-584.1710,1822.2310,6556.2640,-144.4072,-129.5454,3096.3309,6829.8155,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.386763,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,1.9147,2.472300,-582.9690,1815.6200,6559.1680,-143.2052,-136.1564,3099.2349,6830.7403,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.475835,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.0032,2.472100,-584.7720,1820.4280,6556.2640,-145.0082,-131.3484,3096.3309,6829.3861,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.564821,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.0916,2.471000,-585.9740,1820.4280,6561.1040,-146.2102,-131.3484,3101.1709,6834.1356,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.652502,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.1803,2.471400,-587.7770,1819.8270,6552.3920,-148.0132,-131.9494,3092.4589,6825.7668,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.741572,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.2688,2.469500,-582.9690,1815.6200,6553.3590,-143.2052,-136.1564,3093.4259,6825.1625,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.829092,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.3572,2.468500,-583.5700,1821.6300,6561.1040,-143.8062,-130.1464,3101.1709,6834.2502,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328190.919155,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.4456,2.468500,-582.9690,1817.4230,6559.1680,-143.2052,-134.3534,3099.2349,6831.2198,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328191.007275,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.5348,2.468800,-590.7820,1820.4280,6562.0720,-151.0182,-131.3484,3102.1389,6835.4788,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328191.095900,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.6227,2.468200,-582.3680,1817.4230,6568.8480,-142.6042,-134.3534,3108.9149,6840.4636,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328191.183350,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.7114,2.466000,-582.3680,1821.6300,6559.1680,-142.6042,-130.1464,3099.2349,6832.2890,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328191.272145,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.7997,2.467900,-584.1710,1816.8220,6558.2000,-144.4072,-134.9544,3098.2669,6830.2332,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328191.361075,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.8882,2.467200,-587.7770,1818.6250,6558.2000,-148.0132,-133.1514,3098.2669,6831.0223,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782328191.449893,session_20260624_145548,2,2,2,local_minor_loop_5p1B_S,loading_d_180,loading_dense,disp_path_hold,loading_branch,180,1.8000,2.6000,1.7800,1.7800,,-0.0200,-3.9100,2.9767,2.464700,-585.9740,1821.6300,6557.2340,-146.2102,-130.1464,3097.3009,6830.7407,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
